SA4_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
312,458,547,1008,198,189,387,188,551,736,195,1026,1223,698,2391,3087,765,1642,2410,2277,1042,3323,1856,1443,3295,2235,1458,3699,2627,1123,3749,2056,1019,3070,2466,816,3286,5378,1692,7067,4317,189,4505,3826,498,4325,2445,71,2514,6206,538,6747,5558,485,6046,673,732,1402,44420,17453,61880
313,666,817,1484,308,311,616,288,779,1067,405,1959,2364,1322,5341,6666,1679,4015,5695,5662,2015,7678,4970,2534,7507,5506,2585,8093,6113,1686,7798,4395,1252,5649,4462,883,5345,8970,1260,10235,6316,191,6501,4631,272,4901,2819,55,2872,5771,406,6180,4929,382,5313,860,1121,1976,70061,27878,97938
314,357,413,769,175,135,311,168,322,489,172,764,933,630,2108,2735,868,1498,2365,2507,1031,3541,2528,1436,3970,3414,1622,5032,4143,1337,5487,3436,1144,4577,3799,833,4635,8558,1258,9820,6729,205,6933,5642,236,5876,3619,53,3671,8941,281,9226,3656,263,3916,455,431,888,59813,15371,75186
315,183,286,473,83,104,185,116,382,494,148,566,712,477,1080,1558,412,559,965,913,440,1350,876,595,1470,989,706,1697,1173,560,1730,837,509,1347,868,405,1271,1889,832,2727,1490,65,1556,1297,194,1490,830,49,879,1956,246,2205,2157,143,2293,493,479,971,17179,8203,25379
316,1042,1187,2231,532,510,1033,460,1181,1642,447,2499,2940,1708,6946,8656,2006,4986,6996,6825,3130,9956,6391,3674,10060,7762,3499,11265,9114,2694,11804,6296,2083,8378,6921,1674,8596,14113,2510,16620,10251,490,10739,7818,640,8461,4816,164,4982,12774,1019,13790,8143,896,9039,1157,1432,2591,108566,41207,149772
317,365,500,867,177,190,365,161,500,656,200,1081,1279,704,3052,3754,797,2221,3015,2813,1369,4186,2488,1738,4222,2930,1758,4694,3415,1394,4813,2630,1067,3700,2715,798,3516,5835,1078,6911,4089,186,4269,2994,230,3224,1845,59,1900,4068,330,4401,3136,297,3430,471,560,1025,41817,18408,60232
318,517,799,1317,230,294,529,220,866,1080,343,1605,1946,916,3667,4585,1093,2616,3711,3356,1801,5158,3020,2350,5375,3667,2524,6192,4261,2099,6352,3364,1731,5096,3717,1306,5022,7898,1828,9722,6214,320,6534,4719,427,5143,2903,103,3003,6155,502,6661,5638,583,6227,729,913,1641,58953,26331,85284
319,1086,1166,2251,547,467,1017,488,1345,1836,632,3075,3705,2355,9010,11368,2412,5160,7571,9798,2611,12409,7280,3319,10599,7484,2838,10326,7824,1805,9633,4935,1367,6300,4902,849,5751,8800,1186,9984,5635,173,5807,3868,228,4099,2140,49,2188,4194,465,4653,6206,529,6737,1567,1967,3529,82162,37588,119749
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,810,1429,2236,350,505,854,325,1298,1622,327,2267,2591,1002,5458,6464,1213,4232,5445,3378,2863,6243,3753,3216,6969,4752,3725,8474,5558,2849,8404,4175,2490,6671,4526,1991,6518,10107,3321,13433,7935,472,8399,6746,856,7608,4729,177,4906,17019,1474,18492,5047,718,5764,536,862,1401,82296,40208,122507
402,1091,1343,2437,401,516,922,562,1651,2211,770,3688,4456,2230,9080,11310,2867,5192,8060,8477,3351,11829,8114,4626,12735,9329,4772,14101,10655,3458,14106,7970,2614,10579,7997,1773,9769,16940,2427,19365,11713,447,12163,8173,431,8601,4700,140,4843,8267,532,8796,7417,705,8128,1219,1648,2869,118891,48390,167280
403,683,1106,1788,364,515,873,374,1496,1873,433,3071,3502,1564,7945,9511,1897,5413,7314,6153,3541,9700,6085,4144,10228,7341,4126,11464,8356,3193,11547,6053,2514,8566,6434,1792,8227,13668,2455,16122,10454,411,10871,8204,521,8720,5208,120,5328,11956,723,12683,6476,682,7156,810,1237,2050,102508,45003,147512
404,499,991,1487,238,385,626,264,1234,1498,333,2642,2974,1111,6163,7274,1236,3406,4642,3875,2310,6184,3623,2866,6491,4369,3139,7503,4903,2527,7430,3722,2026,5745,3908,1511,5415,8502,2256,10759,6792,464,7253,5274,526,5799,3453,164,3618,7546,699,8242,3666,646,4316,535,949,1488,63841,34910,98750
405,316,431,749,164,194,357,177,588,769,174,1245,1423,784,3689,4472,807,1789,2595,3092,1147,4234,2464,1276,3740,2508,1201,3719,2906,846,3756,1785,629,2415,1909,418,2317,3659,526,4189,2471,45,2519,1742,84,1831,998,12,1013,1864,171,2039,2609,136,2744,486,671,1157,30910,15111,46018
406,217,277,499,85,137,224,112,548,662,139,1025,1163,538,2189,2724,533,1051,1584,1648,732,2385,1340,963,2308,1496,900,2393,1672,685,2358,1116,592,1706,1204,399,1610,2314,672,2988,1770,68,1830,1354,152,1508,775,27,807,1561,211,1771,2066,128,2192,412,553,966,20364,11305,31665
407,535,667,1202,271,342,616,251,967,1215,330,2080,2411,1265,5765,7029,1360,3498,4866,5212,2114,7325,4274,2484,6758,4515,2220,6737,5168,1351,6519,3242,995,4239,3500,644,4142,6288,834,7118,3914,116,4035,2615,170,2783,1344,25,1371,2927,324,3250,3849,230,4080,827,1062,1888,51695,25888,77577
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,474,571,1048,238,254,494,254,681,933,283,1429,1717,1007,3643,4653,1097,2188,3289,3481,1486,4969,2818,1697,4517,3397,1710,5107,3667,1251,4920,2610,1027,3628,2872,807,3678,6049,1262,7311,4612,142,4755,3679,327,4015,2129,66,2191,4822,399,5218,5864,382,6244,565,713,1274,49914,20046,69965
502,369,443,817,145,149,296,159,444,603,204,964,1168,626,2558,3187,818,1678,2497,2605,899,3510,2069,935,3007,2124,886,3012,2125,567,2693,1324,554,1874,1440,410,1849,2993,764,3762,2211,63,2273,1916,183,2102,1116,27,1148,2940,237,3178,3710,182,3892,402,490,884,29308,12429,41734
503,454,902,1354,164,301,472,172,703,878,146,1385,1534,412,2365,2775,466,2062,2527,1023,1516,2543,1194,1835,3025,1662,2298,3963,2005,2112,4118,1558,1996,3556,1873,1637,3514,4087,3405,7487,3364,403,3765,3339,1097,4444,2506,215,2726,16899,2232,19135,3446,774,4219,255,478,736,45033,27722,72762
504,607,965,1569,258,315,574,291,836,1127,344,1669,2013,1010,3981,4986,1259,2345,3602,3597,1613,5211,3221,2159,5376,4138,2584,6726,4852,2211,7062,3842,1805,5650,4180,1472,5652,9627,2405,12039,7602,288,7890,6235,561,6794,4046,110,4162,9760,644,10402,7360,634,7996,704,737,1437,72943,27331,100273
505,1399,1819,3214,548,655,1206,670,1692,2358,757,3285,4042,2222,7981,10205,2535,5196,7732,6935,3513,10441,6797,4254,11051,8284,4900,13180,9576,4239,13813,7720,3688,11411,8106,2915,11021,18679,4976,23657,15241,593,15833,13593,1284,14875,9099,268,9367,27402,1674,29078,14799,1279,16080,1418,1401,2822,155787,55604,211386
