SA4_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
602,18716,37260,276,1589,1465,6735,448,2039,7906,30494,10096,40860,608,2465,1122,3614,2926,9209,4653,15288,14752,56143,83,362,530,1784,249,903,2897,7639,3759,10693,220,665,603,1286,2413,5191,3238,7142,6997,17836,545,1138,41009,112385
603,5899,11665,94,522,344,1602,162,760,2029,7840,2631,10729,173,721,262,833,902,2815,1345,4367,3981,15091,31,139,95,325,75,260,597,1610,795,2345,44,126,137,286,583,1263,765,1679,1558,4019,125,260,11559,31029
604,14900,29562,197,1056,1060,4922,399,1793,5873,22665,7537,30434,468,1911,799,2539,2238,6940,3502,11389,11038,41826,69,333,396,1372,213,734,2303,6062,2983,8501,176,519,442,933,1894,4003,2504,5460,5489,13956,400,829,31823,86180
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,12828,25135,277,1568,1436,6574,507,2292,9762,36850,11974,47292,500,2052,978,3121,2212,7016,3693,12193,15671,59485,81,391,368,1298,243,902,2584,6873,3278,9469,177,548,430,928,1725,3780,2333,5260,5609,14728,578,1219,34687,100563
702,6120,12585,240,1635,603,3062,869,5237,5428,22047,7141,31981,157,660,301,931,1100,4004,1557,5597,8698,37573,82,482,214,870,508,2644,2131,6414,2937,10409,66,240,161,359,1299,3456,1525,4053,4464,14458,539,1391,19823,66002
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,47064,94430,660,3677,5278,23930,940,4239,32746,125143,39629,156987,2380,9980,4816,16528,7448,23995,14646,50505,54271,207494,224,1037,1283,4083,410,1412,6535,16120,8451,22649,715,2240,1893,4127,5582,12157,8194,18523,16650,41174,1773,3726,119752,346821
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,496,985,5,23,36,149,21,86,259,1021,312,1278,10,48,19,56,67,211,99,317,413,1594,0,6,14,46,5,37,56,138,84,223,4,8,9,21,44,107,60,130,135,350,22,46,1064,2979
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
