SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
12601,11316,35249,509,1183,1114,2975,1624,4158,217,353,1460,3476,2950,7204,1024,2420,98,224,5747,13678,0,0,0,0,0,0,10,25,10,25,37,89,18738,53190,1365,..,20103,53190
12602,23658,72544,2833,6887,5123,12925,7961,19813,1746,2971,6994,12969,8174,17061,6380,12886,154,347,23453,46235,4,3,0,4,0,3,123,249,133,264,105,185,55301,139039,5460,..,60766,139039
12701,36722,126584,742,2002,2013,6002,2754,8000,464,753,265,398,25,66,0,0,275,759,1030,1981,0,8,88,124,0,4,14,38,103,173,145,415,40758,137148,1880,..,42637,137148
12702,41629,143307,1414,3492,5821,18572,7230,22067,2103,4796,2431,5652,1941,4515,554,1325,792,2321,7825,18603,59,74,0,0,9,9,53,127,116,212,171,471,56981,184667,3130,..,60108,184667
12703,26802,90320,819,1865,4334,11601,5151,13465,1188,2199,3815,8154,1778,4467,3322,7439,273,727,10376,22983,0,0,0,0,0,0,28,65,36,71,97,246,42456,127085,3347,..,45800,127085
12801,23190,70636,1380,2713,5602,13027,6983,15741,2371,3960,5694,10539,4124,7658,1564,2877,101,243,13852,25265,61,90,10,12,0,0,135,288,201,388,61,125,44287,112148,3523,..,47806,112148
12802,27293,84008,1266,2851,3307,8141,4576,10988,1294,2269,3038,5636,2201,4126,199,398,71,151,6803,12586,3,9,30,46,0,0,49,94,80,151,50,88,38809,107825,1830,..,40639,107825
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
20101,38773,97179,4802,7964,540,1012,5345,8975,1021,1462,88,129,3,5,0,0,12,29,1124,1619,12,22,4,13,0,6,47,103,68,137,73,151,45382,108061,3566,..,48947,108061
20102,11495,27317,210,332,44,76,251,405,102,120,0,0,0,0,0,0,5,17,105,137,48,71,13,22,9,16,39,77,110,186,22,47,11983,28094,2822,..,14802,28094
20103,10123,23032,400,549,16,35,422,582,66,86,0,0,0,0,0,0,0,0,64,82,77,109,51,74,3,12,53,103,184,298,30,48,10828,24047,1813,..,12642,24047
20201,36178,89387,2801,4350,454,849,3252,5201,399,626,17,44,0,0,0,0,15,19,429,688,27,37,22,41,0,3,32,74,84,158,77,178,40027,95612,3028,..,43048,95612
20202,19153,46219,719,1064,50,99,772,1163,24,37,0,0,0,0,0,0,3,8,33,48,47,65,61,150,9,20,55,112,171,339,22,36,20145,47803,2773,..,22924,47803
20203,4439,10499,77,119,0,3,76,126,4,3,0,0,0,0,0,0,0,0,4,3,38,67,9,15,8,7,24,46,81,138,24,35,4624,10803,1011,..,5631,10803
20301,7298,20791,131,224,8,12,133,236,9,4,0,0,0,0,0,0,6,4,7,16,3,0,5,8,0,7,0,6,8,21,7,8,7459,21073,644,..,8098,21073
20302,68363,175257,7905,12488,1665,3355,9570,15845,1817,2823,163,250,302,450,134,229,16,24,2432,3776,66,77,291,394,6,7,126,298,490,785,113,223,80964,195893,5802,..,86762,195893
20303,32417,81440,1286,2209,814,1691,2101,3897,178,275,41,74,7,16,0,0,11,10,239,375,25,41,63,107,4,6,24,41,116,197,47,82,34913,85990,13776,..,48687,85990
20401,21649,51051,1095,1577,45,76,1141,1654,56,93,8,22,10,22,4,3,12,31,81,179,82,135,138,188,8,21,36,66,265,412,53,113,23190,53410,5889,..,29080,53410
20402,17535,41488,1764,2458,58,99,1824,2559,19,19,0,0,0,0,0,0,0,3,21,26,62,89,22,34,0,4,37,90,124,215,29,55,19530,44333,2046,..,21585,44333
20403,26539,65395,1760,2613,103,202,1864,2817,386,567,10,29,5,15,10,17,15,25,421,660,76,113,20,30,6,12,60,119,160,281,77,189,29065,69340,3657,..,32725,69340
20501,19646,50637,847,1291,45,69,894,1358,590,877,0,0,0,0,0,0,6,16,595,895,16,25,282,395,0,0,9,23,310,444,28,59,21479,53392,1926,..,23403,53392
20502,17943,40968,1220,1787,123,238,1340,2021,155,232,9,12,0,0,0,0,0,8,168,247,100,134,168,259,4,10,24,56,297,461,67,137,19815,43837,4523,..,24343,43837
20503,26759,61709,974,1356,316,675,1288,2024,319,459,27,30,12,16,0,6,12,11,367,526,66,79,153,211,4,10,40,91,267,385,53,98,28734,64750,15050,..,43785,64750
