SA3_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
59999,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
60101,11,12,21,34,46,90,142,132,65,550,0,3,4,4,9,9,6,3,6,41,79,75,162,150,124,126,152,105,17,987,593,1286,2837,2452,2414,2196,1839,801,186,14599
60102,19,14,53,56,64,124,233,316,280,1158,4,9,26,25,31,29,31,21,7,175,118,142,380,332,233,282,362,322,200,2373,1230,3094,8430,7616,7051,7418,6679,3969,1630,47120
60103,28,27,98,113,133,213,366,535,436,1957,7,9,52,74,113,97,77,43,26,495,145,147,539,376,342,354,398,413,209,2923,1333,3496,10604,7473,6563,6835,5468,3446,1396,46607
60104,15,7,18,13,26,66,119,165,111,534,0,3,33,11,6,7,8,7,0,75,34,64,148,141,144,136,182,158,72,1082,762,1880,4761,4838,4716,4378,4094,2257,756,28434
60105,9,11,42,30,37,75,117,207,200,713,5,5,51,25,25,26,28,18,12,200,98,181,580,299,272,284,291,238,164,2399,1118,4157,10758,6992,6629,6314,5688,3017,1331,45999
60106,0,6,7,3,22,59,137,109,86,434,0,0,6,4,3,9,5,3,8,26,61,43,140,149,126,151,179,119,47,1018,432,894,2356,2272,2264,2795,2370,1087,334,14805
60201,19,45,157,153,156,253,478,596,581,2447,3,18,93,133,165,107,65,63,26,668,202,371,702,471,442,499,540,632,406,4262,2087,5691,13024,10526,10745,10248,9081,5725,2361,69484
60202,5,5,19,10,34,107,202,199,114,699,3,0,13,4,4,7,6,7,3,50,53,49,143,134,195,251,265,198,63,1355,534,1098,2334,2431,3141,4061,3719,1834,474,19626
60203,12,8,23,35,70,172,359,348,222,1240,0,0,10,9,4,11,12,14,12,80,130,97,230,302,343,450,518,402,205,2676,940,1678,3922,4015,5059,6623,6134,3039,912,32311
60301,11,0,7,14,29,81,125,113,43,417,0,0,6,3,0,4,9,0,4,24,64,58,104,117,153,176,162,77,28,944,397,668,1264,1433,1724,2096,1630,679,148,10022
60302,11,6,11,20,24,81,147,112,69,484,5,0,0,4,9,10,6,9,0,42,57,55,161,145,177,258,268,164,88,1377,468,868,2054,2523,2901,3602,3250,1438,388,17485
60303,6,0,5,3,13,27,84,73,54,264,0,0,0,4,3,0,0,8,0,14,22,21,71,62,58,116,137,89,29,611,148,205,695,706,862,1538,1608,750,200,6710
60401,11,11,32,60,106,213,467,532,490,1929,0,0,17,20,26,27,40,12,7,158,166,145,289,312,398,385,452,427,195,2764,1295,2688,5557,5363,6275,7288,6329,3828,1386,40012
60402,12,17,48,46,73,157,373,431,351,1509,0,13,19,11,14,33,23,12,5,128,108,105,333,262,327,429,519,424,200,2709,1167,2360,5688,5083,6204,7000,6614,3679,1196,38983
60403,7,3,10,22,26,88,152,141,113,564,6,0,5,9,0,3,4,8,5,34,62,77,208,207,206,242,248,154,61,1466,404,801,2111,1993,2403,2787,2302,1050,306,14160
69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
69999,6,4,5,9,3,8,8,7,0,48,0,0,0,0,3,0,0,0,0,8,19,16,49,50,48,60,72,8,3,325,74,119,228,197,203,199,163,31,3,1227
70101,14,4,18,19,39,52,101,86,36,372,0,4,21,15,19,21,11,15,12,123,83,271,723,374,299,270,162,81,52,2315,424,2015,6939,4443,3343,2894,1770,701,180,22710
