SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED25003,957,649,660,644,656,529,362,374,335,5166,13691,9265,10462,10458,9600,8690,5574,2568,1128,71436
SED25102,727,486,463,458,530,518,353,159,82,3776,11006,6737,6231,7852,8643,7942,6255,2821,900,58387
SED25205,712,445,464,514,609,484,317,222,123,3890,12233,7231,7118,9567,10143,8183,5936,3655,1736,65802
SED25302,791,499,286,451,650,513,527,448,322,4487,11662,7098,4230,7160,9688,8324,8456,6138,2509,65265
SED25402,1435,849,868,817,789,839,663,438,332,7030,12293,7737,8706,7961,8216,9346,7990,4307,1690,68246
SED25501,490,503,479,431,466,382,258,222,152,3383,11071,8877,7779,9066,8785,7606,5784,4457,2230,65655
SED25605,622,481,587,500,483,452,411,357,254,4147,10173,7306,8765,8550,7990,6995,6714,4903,2241,63637
SED25704,1286,685,636,682,767,897,778,502,317,6550,11334,6796,6890,6759,7841,9321,8420,5196,2206,64763
SED25802,1451,725,792,785,849,869,730,468,204,6873,14419,8289,9381,8708,9458,10382,9485,5246,1795,77163
SED25905,1032,757,820,673,667,570,376,165,110,5170,12724,8991,9721,8897,8735,8885,5917,2843,1273,67986
SED26005,1389,933,833,837,811,540,315,137,45,5840,19489,13161,11304,13074,12469,9090,5100,2210,596,86493
SED26102,944,589,529,619,830,902,993,673,300,6379,9350,5606,5487,6421,8423,10134,11544,7279,2714,66958
SED26207,630,449,479,496,536,425,348,308,134,3805,10463,6872,7034,8215,8613,7317,6307,4851,2133,61805
SED26303,585,430,795,660,593,405,246,155,73,3942,10105,6727,13292,11395,9848,7065,4553,2858,1441,67284
SED26406,567,790,998,597,515,375,286,225,170,4523,10371,11376,14750,10525,8717,7033,5061,3470,1820,73123
SED26504,952,577,525,563,621,692,664,470,225,5289,9981,5789,5921,6389,7548,8547,8402,5161,1980,59718
SED26603,891,649,1039,809,729,481,323,270,226,5417,13496,8844,15241,13229,9924,7585,4975,3618,2584,79496
SED26708,1069,620,599,640,788,803,727,381,183,5810,11604,6621,6942,7364,8393,9568,8571,4524,1709,65296
SED26806,465,645,1795,1038,713,579,466,402,380,6483,5817,7628,23016,12710,7908,6487,5208,3325,1452,73551
SED26903,777,546,914,714,700,506,414,309,333,5213,10683,7134,13486,11328,8996,6997,5016,3596,2099,69335
SED27003,644,607,1644,964,693,595,381,185,96,5809,7769,7384,23498,13098,8524,6923,4941,2533,1005,75675
SED27101,605,389,489,542,473,393,273,205,107,3476,11875,7203,9565,10496,8846,7005,5492,3567,1496,65545
SED27208,1140,681,806,914,1089,1046,936,604,315,7531,11067,6497,7083,7038,8740,10176,9886,5433,2034,67954
SED27305,461,409,328,342,427,434,222,155,56,2834,9433,7655,6196,7096,8367,8179,5012,2726,786,55450
