SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SED10091,0,4,5,0,0,0,0,41,0,0,12,4,9,7,8,23,0,0,0,0,0,0,4,63,3,6,42,42,43,38,34,23,0,0,0,0,0,0,7,241,5,98,107,23,19,7,9,9,4,0,6,0,0,0,21,310,0,0,0,7,3,6,7,0,0,0,0,0,0,0,3,31,0,0,0,3,4,6,16,9,0,0,0,0,0,0,0,43,0,5,22,35,29,26,8,9,0,0,0,0,0,0,9,151,0,3,13,27,13,9,11,4,0,0,3,3,5,0,0,84,0,0,0,0,0,0,80,75,37,25,48,32,10,0,0,318,10,101,44,23,8,13,13,4,0,6,0,3,0,0,6,240,9,25,89,202,217,153,116,89,5,7,8,14,0,0,35,967,0,0,24,7,6,3,0,0,0,0,0,0,0,0,0,45,0,0,4,0,0,6,3,6,0,0,5,8,0,0,0,38
SED10092,8,21,7,7,13,0,0,173,0,0,0,6,0,9,32,111,57,10,6,43,11,0,8,297,0,9,19,18,10,14,32,28,0,3,0,10,3,0,0,141,32,429,463,80,29,13,17,23,5,5,8,14,4,0,84,1198,6,0,0,4,9,14,16,20,3,6,3,5,0,0,3,89,0,0,0,4,23,21,62,39,12,0,6,4,3,0,3,177,0,5,47,112,92,58,79,36,4,6,9,5,3,0,17,470,0,0,6,7,15,12,29,38,14,12,17,22,9,0,6,188,0,0,0,0,0,3,42,57,32,42,31,44,21,0,8,278,18,117,29,5,6,10,13,10,0,0,0,4,0,0,8,218,10,15,65,147,145,160,179,88,17,11,5,22,13,11,33,909,0,37,819,864,213,126,101,23,7,13,9,7,5,0,82,2302,0,0,0,0,8,12,27,59,25,26,34,29,27,0,0,248
SED10093,0,0,0,0,0,0,0,45,0,0,0,0,0,8,4,3,0,0,0,0,0,0,0,12,0,11,53,39,53,15,29,25,6,4,6,0,0,0,8,247,7,68,78,10,5,9,8,8,0,0,0,3,0,0,14,212,0,0,0,3,11,11,13,7,5,0,0,0,3,0,4,60,0,0,0,9,16,31,69,29,3,4,3,4,0,0,4,172,0,3,16,10,6,7,8,0,0,0,0,0,0,0,0,52,0,0,15,12,18,12,14,17,0,0,4,4,4,0,3,103,0,0,0,0,0,3,29,25,12,23,12,11,3,0,4,123,11,91,42,16,9,11,15,3,0,0,0,3,0,0,6,214,3,14,97,233,292,262,214,90,21,24,10,24,10,4,46,1344,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,3,4,7,8,27,9,0,0,7,0,0,0,66
SED19494,0,0,0,0,0,4,3,28,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,10,0,0,0,5,4,0,5,5,0,0,0,4,3,0,0,29,0,8,3,3,0,0,0,0,0,0,8,0,4,0,0,31,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,14,0,0,0,0,0,0,10,0,0,0,3,6,0,0,0,21,0,0,7,3,3,3,0,0,4,0,0,0,0,0,0,20,0,0,4,3,6,0,0,9,4,10,12,9,7,3,4,67,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,17,0,9,3,0,5,0,0,4,0,0,3,0,0,5,0,37,0,4,8,22,52,42,17,16,0,0,5,0,0,5,8,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,14
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,26,29,37,43,29,7,6,487,0,0,0,6,3,15,11,13,3,4,0,5,0,0,0,51,0,8,21,18,42,33,151,177,53,41,99,154,43,7,6,848,22,133,119,27,9,11,79,165,30,40,27,34,16,0,10,718,0,6,4,12,21,33,76,50,20,27,41,47,23,13,10,378,0,0,0,4,15,33,244,138,40,32,39,43,20,4,13,638,0,6,13,15,12,11,8,5,4,0,4,0,0,0,0,77,0,0,30,76,149,119,390,254,70,75,66,60,29,3,22,1347,0,0,0,0,0,8,23,21,9,15,18,33,10,0,5,142,0,41,16,10,11,22,43,19,5,10,10,13,9,3,3,221,3,12,61,153,234,281,460,411,83,98,112,136,53,55,42,2185,0,0,5,17,23,8,18,5,0,7,6,6,0,0,5,95,0,0,0,0,3,10,28,24,5,20,19,9,3,3,0,120
SED20207,25,24,17,28,3,4,0,472,0,0,0,0,3,30,41,41,8,13,0,7,0,0,4,153,0,19,25,24,36,26,87,109,7,8,14,8,3,0,3,368,21,157,250,71,23,25,54,47,19,8,7,7,7,0,16,709,0,0,0,0,13,18,84,37,7,10,5,3,0,0,8,180,0,0,0,3,30,39,241,114,20,17,20,21,4,0,0,512,0,0,29,87,50,65,71,30,9,0,0,0,3,0,7,353,0,0,11,31,138,90,492,336,87,72,54,65,49,13,18,1452,0,0,0,0,0,15,99,61,12,15,38,50,11,0,5,311,4,52,14,11,6,14,22,15,4,4,10,0,0,0,4,160,0,5,21,123,259,361,919,896,156,102,174,179,75,56,88,3401,0,0,145,176,108,92,43,20,3,3,15,3,0,3,8,613,0,0,0,0,13,40,222,341,103,118,128,131,43,18,11,1159
SED20302,5,10,0,3,0,0,0,139,0,0,0,0,0,8,19,21,14,11,6,0,0,0,0,75,6,16,34,36,31,12,46,51,8,0,0,0,0,0,5,248,25,187,124,31,12,4,26,27,3,3,3,4,0,0,31,492,0,0,0,3,4,6,27,8,4,5,4,4,0,0,3,69,0,0,0,0,8,8,50,23,0,4,4,0,0,0,0,112,0,0,3,14,12,5,19,16,0,0,0,0,0,0,0,76,0,0,6,8,36,26,128,139,19,26,14,19,0,0,3,418,0,0,0,0,0,4,63,49,6,12,15,9,0,0,0,166,23,325,53,37,36,14,11,10,0,0,0,0,0,0,20,529,0,13,69,179,286,303,513,372,78,76,62,44,23,17,72,2115,0,0,3,9,6,5,5,6,0,0,0,0,0,0,0,31,0,0,0,0,8,20,178,271,31,61,30,28,11,9,7,656
SED20401,14,18,18,34,6,0,0,338,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,19,0,12,27,35,26,10,25,26,0,8,0,0,0,0,3,177,16,75,79,22,5,4,6,15,0,0,0,4,0,0,17,244,0,0,0,0,0,18,45,12,0,0,6,0,0,0,0,83,0,0,0,0,12,41,134,50,7,5,6,3,3,0,0,257,0,0,3,4,10,3,9,0,0,0,3,0,0,0,0,35,0,5,13,36,126,80,274,190,45,30,36,37,13,4,13,886,0,0,0,0,0,6,45,27,8,7,12,9,9,0,3,122,9,189,46,26,10,9,8,6,0,0,0,0,0,0,16,319,3,10,39,98,155,127,171,81,11,7,10,12,4,5,17,750,0,3,4,3,8,0,0,0,3,0,0,0,0,0,3,26,0,0,0,6,3,7,34,31,10,9,12,0,6,6,5,115
SED20508,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,0,15,26,29,27,13,54,17,0,0,0,6,0,0,9,193,21,161,103,24,10,4,9,17,0,0,0,0,0,0,20,366,0,0,0,0,7,6,14,3,0,0,0,0,0,0,3,38,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,9,10,5,23,8,4,4,6,0,0,0,0,71,0,0,0,0,0,0,3,4,3,3,0,4,0,0,0,19,11,240,45,7,14,11,15,12,0,0,4,8,0,0,14,385,5,14,76,121,170,111,142,85,14,0,4,11,6,4,30,797,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,3,0,3,8,8,0,0,3,0,0,0,26
SED20604,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,4,6,14,16,3,15,7,0,0,0,4,0,0,6,74,7,59,25,3,3,4,0,3,0,0,0,0,4,0,10,126,0,0,0,3,3,9,7,5,0,0,0,0,0,0,0,25,0,0,0,0,3,3,11,4,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,13,0,0,11,0,13,6,15,8,7,11,5,7,3,0,0,89,0,0,0,0,0,0,34,43,4,26,7,3,0,0,5,115,12,148,33,27,8,9,7,7,0,3,0,0,3,0,10,267,0,9,55,120,149,100,101,69,9,15,6,11,3,5,22,676,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,21
SED20704,6,0,0,0,0,0,0,23,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,20,0,7,9,4,12,12,19,12,0,0,0,0,0,0,8,76,9,36,37,3,4,3,0,5,0,3,0,0,0,0,12,105,0,0,0,0,4,4,7,8,0,0,3,0,0,0,0,22,0,0,0,0,3,3,8,16,3,4,8,0,0,0,0,51,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,11,0,5,9,14,19,8,37,16,7,12,16,8,4,0,0,156,0,0,0,0,0,0,4,10,16,12,6,12,7,0,0,70,3,69,21,10,4,3,0,7,0,0,0,3,0,0,0,123,3,3,30,75,90,85,107,44,6,25,5,7,0,5,21,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,22,21,10,7,12,3,0,0,0,78
SED20804,0,0,3,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,7,18,12,10,8,21,9,0,0,3,0,0,0,7,91,8,30,9,0,0,0,0,4,0,0,0,0,0,0,6,70,0,0,0,4,6,8,8,5,0,0,0,0,0,0,3,36,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,19,0,0,6,12,21,16,19,10,9,19,18,16,4,0,20,164,0,0,0,0,0,0,10,19,4,7,7,4,0,0,0,59,12,101,27,12,11,8,12,9,0,0,0,0,0,0,5,193,0,7,41,103,113,86,110,40,6,6,3,4,3,5,38,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,18,6,0,0,0,0,0,0,41
SED20906,9,4,12,8,0,0,0,156,0,0,0,0,0,3,13,0,0,0,3,0,0,0,0,21,0,6,24,25,44,16,94,104,7,16,12,15,0,3,0,364,22,230,193,35,15,15,28,42,0,4,3,10,0,0,11,604,0,0,3,10,15,44,93,58,3,9,12,16,14,0,10,296,0,0,0,0,11,44,137,103,11,19,4,17,14,3,9,376,0,11,28,39,19,11,12,3,0,0,0,0,0,0,3,124,0,3,20,56,121,69,144,77,23,26,29,23,9,0,5,604,0,0,0,0,0,3,14,11,3,12,12,10,3,0,3,72,0,20,7,12,8,8,18,9,0,8,0,3,0,0,0,94,6,8,27,105,145,142,262,139,20,22,23,19,8,10,15,956,0,0,6,3,16,5,9,5,0,0,0,0,0,0,0,42,0,0,0,0,0,3,6,8,0,3,5,0,4,0,0,47
SED21001,28,36,42,40,8,3,4,479,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,18,0,18,19,13,22,18,10,24,0,0,0,0,0,0,4,125,16,191,147,30,12,12,13,29,0,3,0,7,0,0,24,490,0,0,0,3,10,26,70,38,10,11,4,12,11,0,0,211,0,0,3,12,19,64,208,114,24,28,22,17,4,0,4,516,0,0,5,13,3,11,0,3,0,0,0,0,0,0,0,43,0,6,54,175,460,254,490,362,163,207,202,186,63,10,54,2676,0,0,0,0,0,3,17,20,17,42,51,37,16,0,0,193,9,69,13,7,3,10,5,4,0,9,0,0,0,0,4,127,9,16,47,90,109,157,179,100,22,24,13,28,9,6,12,826,0,9,12,5,0,5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,4,9,34,60,4,20,25,16,5,3,3,189
SED21106,0,0,0,3,0,0,3,98,0,0,0,5,0,5,6,3,0,0,0,0,0,0,0,12,0,11,17,23,51,36,102,109,15,26,14,29,13,0,15,460,35,162,93,35,17,7,37,46,4,19,13,11,7,0,19,497,0,3,5,5,10,28,31,23,4,9,19,21,15,6,3,188,0,0,0,3,9,8,27,12,0,6,13,14,0,0,0,98,0,0,4,19,9,6,12,0,0,5,0,0,0,0,0,56,0,4,25,40,76,45,46,17,7,10,3,3,4,0,8,285,0,0,0,0,0,5,7,0,0,0,9,3,0,0,0,36,6,43,11,11,11,12,36,17,9,3,11,10,0,3,8,188,6,15,64,117,178,184,269,130,21,14,28,36,18,4,20,1107,0,4,8,13,7,12,0,0,0,0,3,0,0,0,0,49,0,0,4,6,0,0,3,8,0,0,0,0,0,0,0,35
SED21203,8,0,7,5,0,0,28,347,0,0,0,32,61,875,954,791,250,249,129,300,104,9,59,3808,0,4,12,8,3,0,3,11,0,0,0,0,0,0,3,52,51,668,802,122,44,17,23,36,7,0,3,0,0,0,89,1873,0,0,0,0,0,3,17,0,4,3,0,0,0,0,0,41,0,0,0,0,3,0,23,8,3,0,0,0,0,0,0,40,0,8,136,573,494,419,677,329,76,70,80,52,19,14,112,3059,0,0,3,10,18,10,41,33,14,14,21,11,5,0,12,183,0,0,0,0,0,6,441,317,78,209,283,284,89,7,13,1736,0,26,6,0,3,0,7,0,0,0,0,0,0,0,0,52,4,3,3,37,88,118,221,173,12,18,12,11,3,5,29,739,0,0,24,20,12,13,7,3,0,4,0,5,0,0,3,100,0,0,0,3,47,125,599,826,227,229,300,319,141,23,77,2904
SED21303,12,16,14,16,5,3,6,193,0,0,0,9,11,19,19,3,4,4,0,0,0,0,4,75,0,3,14,20,32,32,80,65,16,17,7,21,3,8,7,335,59,846,925,160,35,31,69,110,27,21,29,20,4,0,57,2390,0,0,0,10,14,38,70,39,14,11,16,23,4,0,5,242,0,0,0,0,20,20,35,31,14,10,15,6,0,0,5,166,0,7,140,322,103,49,33,17,6,3,3,11,0,0,28,725,0,3,15,67,101,79,165,107,50,24,36,40,17,0,4,706,0,0,0,3,0,6,69,71,27,83,132,94,21,6,9,515,0,11,7,6,16,12,21,30,5,0,8,12,0,0,0,138,0,9,21,81,159,245,488,382,74,83,93,93,38,35,39,1828,0,7,14,13,10,3,7,4,0,0,0,0,0,0,0,58,0,0,0,3,6,21,43,61,7,11,15,26,10,3,0,197
SED21401,115,70,70,89,48,54,20,1765,0,0,0,0,3,23,27,18,3,4,0,0,0,0,0,77,0,5,10,3,16,5,13,12,0,0,0,0,0,0,7,78,131,1067,530,83,28,19,16,47,9,0,0,5,0,0,80,2028,0,0,0,17,13,18,39,13,5,9,0,0,3,0,0,114,0,0,0,9,46,73,238,92,6,19,6,10,18,0,11,528,0,11,71,99,71,24,12,8,0,0,3,0,0,0,9,317,0,14,66,207,513,271,684,365,80,108,89,75,31,5,35,2555,0,0,0,0,0,3,12,8,4,0,10,3,0,0,0,39,5,52,12,4,3,5,20,7,0,9,0,0,0,0,0,117,3,5,34,51,88,120,135,72,7,12,10,21,16,12,14,598,8,38,65,46,21,14,4,4,0,0,0,0,0,0,0,185,0,0,0,6,19,32,41,90,19,22,18,34,6,3,0,289
SED21503,25,23,21,21,6,5,3,484,0,0,7,6,3,39,34,29,0,0,3,0,0,0,0,125,0,4,15,16,35,14,44,30,6,9,7,4,0,3,0,186,27,464,426,56,28,18,21,34,5,11,9,6,0,0,49,1141,0,0,0,0,4,19,23,5,4,3,3,7,0,0,0,72,0,0,0,0,4,3,75,34,0,4,4,9,0,0,0,132,0,7,29,60,48,30,29,12,0,3,14,4,5,0,4,250,0,0,17,46,150,69,168,96,44,56,49,47,15,0,8,766,0,0,0,0,0,15,18,11,10,15,19,16,0,0,0,112,4,44,11,3,3,3,8,3,0,0,0,0,0,0,0,84,5,3,22,62,78,100,137,95,11,12,16,16,5,10,21,579,0,22,217,179,139,66,31,12,4,0,3,6,5,0,16,691,0,0,0,3,9,8,19,50,11,17,16,33,9,0,4,186
SED21608,0,0,0,0,0,0,0,35,0,0,0,0,0,7,3,5,0,0,0,0,0,0,0,8,0,5,21,18,14,17,27,19,0,0,0,0,0,0,0,124,3,51,27,15,3,4,6,10,0,0,0,0,0,0,7,130,0,0,0,0,5,6,12,3,0,5,0,0,0,0,0,36,0,0,0,0,3,0,12,4,0,0,0,0,0,0,0,27,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,12,0,0,8,9,23,3,18,10,6,0,3,3,0,0,4,98,0,0,0,0,0,0,10,13,8,22,17,21,5,0,0,95,8,217,23,19,15,9,15,7,0,0,0,0,0,0,19,333,0,6,35,106,142,126,110,83,8,3,14,12,5,0,25,681,0,0,5,0,6,5,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,25,26,5,0,14,9,3,0,9,88
SED21706,23,10,3,14,8,3,4,314,0,0,0,0,0,3,14,7,0,0,3,0,0,0,0,39,3,16,15,11,20,17,42,24,0,3,8,0,0,0,4,156,23,155,135,24,13,12,17,14,3,0,8,5,0,0,22,433,0,0,8,7,23,25,46,27,5,4,4,11,3,0,0,163,0,0,0,12,26,68,187,79,10,6,11,17,4,0,3,433,0,0,8,14,9,9,8,0,0,5,0,0,0,0,0,56,3,5,66,120,398,198,353,181,68,76,54,50,22,0,26,1616,0,0,0,0,0,7,15,12,3,18,20,13,4,0,0,95,5,35,16,7,5,8,18,11,0,5,0,0,0,0,5,117,9,14,42,102,130,132,228,103,13,13,24,28,14,10,9,857,0,4,9,0,0,7,4,0,0,0,0,0,0,0,0,30,0,0,0,0,13,3,19,24,9,16,23,11,16,6,4,143
SED21805,5,0,3,4,0,0,0,71,0,0,0,5,0,6,8,3,9,0,4,0,0,0,0,28,0,9,38,29,57,15,50,70,4,0,9,4,0,0,8,288,19,83,122,29,16,9,16,23,3,3,0,0,0,0,12,338,0,0,0,0,8,10,18,3,0,0,0,0,0,0,0,43,0,0,0,0,8,8,29,3,7,0,0,0,0,0,0,62,0,3,10,24,12,12,13,11,3,0,0,0,0,0,3,89,0,5,9,20,54,33,68,13,5,4,4,0,3,0,3,218,0,0,0,0,0,3,10,6,0,7,4,3,0,0,0,37,4,156,36,19,19,10,17,3,6,0,0,0,0,0,21,296,0,11,52,170,324,282,408,262,29,20,26,14,4,8,39,1661,0,3,6,14,6,4,9,0,0,0,0,0,0,0,0,41,0,0,6,4,9,14,18,8,9,0,8,0,0,0,0,62
SED21906,0,7,6,6,4,0,0,89,0,0,9,4,3,5,3,0,0,0,0,0,0,0,0,24,0,3,17,16,32,22,107,113,53,48,79,74,32,0,4,597,18,92,70,25,14,16,23,71,17,11,3,3,11,0,11,387,0,0,0,18,24,37,82,59,25,3,17,38,13,16,14,335,0,0,0,3,17,19,36,27,15,10,5,5,4,0,0,134,3,0,11,16,8,3,0,0,0,0,4,0,0,0,0,42,0,0,17,56,82,52,90,61,21,22,28,16,14,0,7,464,0,0,0,0,0,4,16,45,32,48,69,72,8,0,7,305,6,17,10,5,9,11,13,17,3,4,3,0,0,0,0,99,8,9,36,115,190,148,247,181,51,43,47,47,13,19,15,1160,0,0,4,0,5,6,7,6,3,0,0,0,0,0,0,23,0,0,0,0,0,6,11,16,3,14,16,8,0,0,3,78
SED22005,5,10,5,14,0,0,5,131,0,0,0,4,3,25,20,17,0,0,0,0,0,0,4,71,4,6,11,10,25,7,32,36,4,6,0,5,0,0,4,164,8,349,415,58,21,6,27,30,14,9,12,7,4,0,51,1007,0,0,4,0,18,47,91,40,15,8,4,11,0,6,0,248,0,0,0,0,21,48,226,127,28,28,43,18,11,0,15,567,0,5,33,55,41,15,25,6,0,0,0,0,0,9,4,185,0,5,14,65,162,79,210,237,163,196,221,149,32,0,46,1584,0,0,0,0,0,5,49,49,33,77,109,94,13,0,5,422,0,35,16,4,10,5,14,0,0,0,0,0,0,0,5,92,0,6,18,51,117,145,204,110,16,17,21,27,7,7,20,754,0,4,10,22,3,3,0,6,0,0,0,0,0,0,0,44,0,0,0,9,15,28,50,77,35,35,39,30,16,0,9,335
SED22105,31,26,10,27,8,7,0,427,0,0,0,0,3,39,59,43,16,4,3,4,0,0,0,177,0,0,36,40,28,6,30,50,10,9,6,0,0,0,9,219,9,87,140,29,12,10,22,17,0,0,3,7,0,0,20,371,0,0,0,0,0,15,35,6,4,3,4,4,0,0,0,78,0,0,0,0,6,6,79,29,4,7,7,5,0,0,4,141,0,0,7,26,33,35,29,15,4,4,4,0,0,0,0,161,0,0,8,15,67,51,223,107,41,17,26,9,0,0,8,570,0,0,0,0,0,24,181,113,19,11,34,32,12,0,9,452,12,189,42,19,27,3,14,5,0,0,0,0,0,0,7,321,6,3,25,153,352,524,994,752,95,105,108,125,28,34,83,3384,0,0,11,23,34,26,30,8,4,3,0,0,4,0,10,151,0,0,0,0,13,56,351,563,79,111,116,83,44,25,19,1451
SED22201,16,17,18,15,4,3,5,358,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,17,5,9,25,41,27,10,16,17,0,0,0,0,0,0,6,152,7,103,79,20,5,3,9,13,3,6,0,0,0,0,19,273,0,0,3,6,4,4,10,11,0,0,0,0,0,0,4,51,0,0,0,0,12,12,71,28,3,0,3,0,0,0,0,132,0,0,5,9,9,7,10,8,0,0,0,3,0,0,0,53,0,6,10,31,61,37,177,128,36,28,20,19,5,6,7,564,0,0,0,0,0,0,26,19,5,4,6,5,0,0,3,62,8,211,56,30,12,14,3,7,0,0,0,0,0,0,9,350,6,3,42,104,155,114,112,86,16,10,3,8,5,0,11,677,0,3,8,0,3,0,8,0,0,0,0,0,0,0,0,23,0,0,0,0,9,7,13,17,0,3,9,3,0,0,0,56
SED22305,46,69,25,29,19,4,5,751,0,0,0,0,0,69,51,85,11,13,6,3,7,0,3,246,0,0,13,16,23,3,11,14,0,0,0,0,0,0,4,95,28,246,347,58,17,9,9,17,0,4,0,3,0,0,34,776,0,0,3,0,4,5,24,6,0,3,3,0,0,0,0,43,0,0,0,0,8,23,109,37,3,8,0,0,0,0,0,195,0,0,56,138,82,56,47,38,11,7,0,11,6,0,13,470,0,3,6,22,93,54,175,132,86,97,95,69,13,0,14,848,0,0,0,0,0,0,19,16,6,20,16,20,10,0,5,105,11,166,21,3,12,0,9,5,0,3,0,0,0,0,18,247,0,4,17,75,153,165,293,209,24,38,32,18,11,16,42,1095,0,6,67,199,236,208,128,44,4,4,0,5,0,0,26,929,0,0,0,3,20,49,294,854,131,148,173,194,89,73,34,2063
SED22404,0,0,0,0,0,0,3,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,8,26,18,27,3,22,8,0,0,0,0,0,0,0,118,20,74,53,10,6,0,3,10,0,0,0,0,0,0,10,186,0,0,4,4,4,10,12,7,0,0,0,0,0,0,0,46,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,7,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,8,0,6,7,13,17,5,12,14,4,0,0,0,0,0,0,87,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,13,191,59,32,42,22,27,4,0,0,0,0,0,0,10,406,8,11,63,146,185,146,125,49,4,9,4,6,8,4,35,797,0,0,9,10,3,0,3,0,0,0,0,0,0,0,0,29,0,5,0,0,0,0,4,0,9,0,0,0,4,0,0,22
