SED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SED10089,0,0,5,20,0,6,0,0,0,40,0,15,32,51,33,13,6,0,0,149,0,4,10,33,15,15,4,4,4,89,0,0,3,13,0,0,0,0,0,18,0,3,14,21,7,0,0,0,0,46,0,0,0,3,0,4,4,3,0,16,0,4,15,38,21,10,11,5,0,108,0,18,29,60,20,15,6,3,0,146,0,3,0,5,6,10,8,3,8,37,0,4,18,22,12,0,0,0,0,52,19,129,151,368,100,79,73,69,36,1019,75,178,392,519,173,173,154,141,78,1890,2539,5301,6790,12107,4922,4424,3626,2204,839,42742,6,35,17,66,8,5,0,0,0,127,2253,4383,5418,8962,4150,3786,3265,2021,1215,35461,0,16,8,69,4,3,0,0,0,104,0,0,0,7,8,13,9,3,0,46,0,0,0,27,4,0,0,0,0,38,0,0,0,9,0,3,3,0,0,20,0,8,3,47,18,7,5,0,3,82
SED10090,6,48,27,64,27,28,21,0,0,222,5,25,23,183,100,77,67,26,7,506,0,0,3,35,13,12,15,3,5,91,3,31,21,197,65,25,41,15,3,391,3,10,34,106,27,15,4,0,0,197,0,3,0,21,11,14,9,0,3,69,22,74,50,93,81,53,31,17,7,434,0,10,16,66,55,23,28,5,0,198,0,0,0,13,15,13,5,0,0,49,0,0,0,14,8,3,3,3,0,32,6,95,56,493,236,145,153,111,56,1369,62,134,133,408,169,103,119,73,48,1245,2479,5658,4591,12175,5888,4489,3518,1909,771,41480,0,0,0,8,0,5,0,0,0,13,2057,4277,2992,5410,2919,2215,1788,1071,685,23420,0,4,0,30,0,5,0,0,0,39,0,0,0,3,0,3,0,0,0,13,0,14,15,137,23,4,7,0,0,198,0,0,3,9,0,0,4,0,0,21,0,13,5,54,28,20,14,7,0,147
SED10091,0,12,7,4,6,8,3,3,0,35,0,9,11,31,33,28,15,18,9,148,0,0,0,12,9,9,3,0,0,27,0,0,4,5,3,0,3,0,0,10,0,9,3,16,5,3,0,0,0,38,0,0,0,4,3,3,0,0,0,11,0,13,10,29,13,22,18,13,4,121,0,0,0,11,6,5,0,0,0,25,0,0,3,3,5,9,10,7,3,48,0,0,0,8,5,5,0,4,0,27,0,18,11,116,98,125,153,95,32,644,75,223,216,418,253,213,226,192,129,1945,2703,5805,4985,9332,5370,4817,4378,2678,837,40907,0,0,0,0,0,0,0,0,0,0,2464,5109,4251,8037,4464,3920,3348,1953,658,34202,0,0,0,10,0,0,0,0,0,13,0,0,0,9,0,3,0,0,0,20,0,0,0,6,0,0,4,0,0,11,0,0,0,11,4,4,0,0,0,22,0,6,6,13,15,22,11,8,6,84
SED10092,0,5,4,11,8,3,0,0,0,31,0,7,8,49,15,11,11,9,0,118,0,0,14,31,4,3,10,3,0,63,0,3,0,21,4,0,0,0,0,27,0,12,48,55,12,7,0,0,0,139,0,0,5,31,40,56,16,27,4,185,5,10,31,46,25,13,19,4,0,147,4,9,50,71,31,49,34,17,0,259,0,0,0,6,8,20,18,9,7,65,0,0,4,12,4,7,0,0,0,19,21,120,150,431,240,302,295,230,89,1867,96,239,277,676,287,239,218,175,71,2273,2282,4320,5992,12019,4950,5203,4086,2502,962,42327,0,0,0,5,0,0,0,0,0,17,1961,3553,5014,7910,3466,3277,2150,1330,679,29343,0,4,7,36,5,5,0,0,0,55,0,0,0,32,10,24,16,15,0,102,0,0,6,33,4,3,3,0,0,50,0,4,0,4,0,5,0,0,0,11,0,9,9,65,16,17,4,0,3,114
SED10093,0,0,0,4,4,5,9,4,0,25,0,10,18,45,42,23,15,11,0,165,0,0,0,7,4,0,3,0,0,25,0,0,0,0,0,0,0,0,0,6,0,7,4,27,7,7,0,0,0,56,0,0,0,3,0,3,4,3,0,13,0,14,10,46,14,14,17,8,0,120,0,4,3,20,11,5,5,0,0,47,0,0,0,5,9,11,4,9,4,39,0,0,8,22,12,9,5,0,0,61,0,15,22,100,109,102,112,101,26,582,100,254,226,534,275,235,246,208,100,2171,2630,5624,5159,9650,5007,4697,4006,2492,840,40098,0,0,0,0,0,0,0,0,0,4,2440,4841,4523,8196,4177,3735,3163,1971,976,34033,0,0,0,6,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,5,0,0,0,21,0,0,0,0,0,26,0,0,0,16,5,0,0,0,0,19,0,3,0,24,14,9,8,4,0,62
SED19494,0,0,0,0,0,0,0,0,0,3,0,0,5,10,3,0,6,0,0,26,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,7,16,5,3,4,0,0,33,0,0,0,6,3,5,3,0,0,19,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,4,12,56,17,17,18,3,0,132,79,160,218,814,375,289,120,30,7,2087,258,382,658,2271,1010,949,648,166,19,6375,0,0,0,0,0,0,0,0,0,0,109,203,390,775,368,422,252,64,17,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,7,9,0,3,0,0,0,15
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,3,14,30,131,19,20,7,0,0,221,0,3,21,166,60,30,21,3,0,307,0,0,4,128,19,14,9,3,0,174,0,0,9,61,8,3,4,0,0,92,0,4,11,79,11,3,0,0,0,114,0,0,5,61,15,10,10,0,0,100,19,27,36,167,52,59,35,14,3,416,0,3,39,81,33,29,18,0,0,203,0,0,3,28,8,11,3,0,0,63,0,0,4,37,7,14,4,0,0,62,17,65,182,1481,246,155,151,108,41,2445,69,111,187,1039,345,317,196,136,40,2451,1585,2587,3883,17245,5271,4402,2989,1601,421,39988,0,0,0,24,6,0,0,0,0,27,1339,2037,2435,6888,3239,2649,1848,858,276,21579,0,0,3,22,0,4,0,0,0,30,3,0,0,33,8,5,6,0,0,62,0,4,24,225,21,8,4,6,0,282,0,0,0,12,0,0,0,0,0,18,0,3,15,119,28,17,9,0,0,192
SED20207,8,71,45,95,60,34,13,0,0,333,4,83,70,176,128,73,18,13,0,565,4,24,31,160,81,35,24,10,0,368,3,4,3,36,4,3,0,0,0,56,0,43,46,53,12,0,3,0,0,156,0,0,3,25,15,12,7,4,0,69,13,49,29,47,23,23,9,3,3,193,6,20,32,165,154,124,76,16,4,589,0,0,3,15,10,11,4,0,4,53,0,9,10,48,27,7,0,0,0,104,27,191,183,826,439,310,210,127,41,2347,152,363,303,902,295,200,117,76,24,2433,4206,8939,5928,18012,7118,4699,3179,1384,397,53859,0,0,0,24,4,9,0,0,0,36,3574,6122,3562,6441,3399,2147,1236,669,289,27427,0,12,7,113,28,5,8,0,0,175,0,0,0,27,21,24,14,4,0,91,0,6,8,81,10,0,0,0,0,114,0,0,6,24,31,21,14,11,4,111,3,11,6,47,6,6,0,4,0,83
SED20302,0,8,10,25,14,3,3,0,0,67,0,23,31,87,57,41,30,14,0,277,8,102,141,935,313,111,66,31,0,1707,0,0,3,63,5,0,0,0,0,77,3,14,11,42,5,3,0,0,0,81,0,0,0,20,8,6,5,6,0,39,3,10,17,34,16,17,15,5,0,115,0,7,8,41,22,11,5,0,0,96,0,0,6,10,6,15,18,6,0,63,0,4,22,73,28,12,8,0,0,144,8,79,127,478,205,193,136,90,24,1338,177,393,281,800,382,339,384,241,90,3085,4564,8285,5962,17010,6257,5655,5333,2851,788,56705,4,23,64,209,61,18,11,4,0,382,4055,6740,4217,9389,4051,4085,3765,1896,731,38928,0,14,11,70,9,8,0,0,0,110,0,0,0,18,10,6,3,6,0,48,0,0,5,17,4,5,0,0,0,35,3,0,16,56,8,16,6,0,0,100,3,3,6,14,7,6,4,0,0,48
SED20401,0,11,16,39,21,17,13,3,0,120,0,5,0,52,30,23,20,8,0,143,4,13,32,198,57,35,55,16,0,409,0,0,8,22,4,8,3,0,0,36,3,15,17,22,9,0,0,0,0,60,0,0,0,7,9,0,0,0,0,18,0,6,4,34,12,6,9,0,0,76,0,0,9,48,60,42,23,12,4,206,0,0,3,9,6,7,16,9,3,51,0,0,3,8,7,0,5,0,0,29,6,26,37,187,77,80,92,99,62,671,50,124,115,359,162,140,115,84,38,1183,1923,3932,3587,9250,4204,3630,2770,1667,632,31604,0,0,0,5,4,0,0,0,0,9,1785,3201,2734,5881,2935,2427,2049,1148,509,22672,0,0,4,10,3,4,0,0,0,17,0,0,0,5,5,8,0,0,0,21,0,0,0,15,0,0,0,0,0,20,0,0,0,33,17,16,12,4,0,80,0,0,0,14,11,10,0,0,0,45
SED20508,0,4,3,13,5,3,4,0,0,32,0,6,11,31,20,27,18,8,0,126,0,0,0,7,4,9,5,3,0,19,0,0,0,0,4,0,0,0,0,3,0,7,5,13,0,0,0,0,0,24,0,0,0,0,0,0,4,0,0,9,4,15,10,22,13,15,20,10,0,102,0,0,0,7,4,0,0,0,0,16,0,3,0,0,6,13,17,3,0,50,0,0,0,8,5,0,0,0,0,22,8,16,14,79,46,74,81,47,20,381,42,166,112,282,231,257,328,241,76,1731,1784,4392,3365,6873,4111,4568,5450,2890,856,34296,0,0,0,0,0,0,0,0,0,0,1596,3818,2863,6302,3853,4390,4393,2225,862,30307,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,6,0,0,0,12,0,0,0,12,4,0,0,0,0,19,0,0,0,0,0,5,0,0,0,8,0,3,0,24,17,13,7,7,0,73
SED20604,0,0,0,0,7,0,0,0,0,13,0,0,11,19,14,13,9,4,0,69,0,3,0,19,13,0,5,0,0,36,0,0,0,9,0,0,0,0,0,11,0,3,6,6,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,3,0,3,7,21,5,6,19,4,0,77,3,21,11,52,9,0,3,0,0,102,0,0,0,9,3,10,9,8,0,45,0,4,3,3,9,5,4,0,0,26,12,56,80,108,79,74,81,78,29,583,86,246,233,495,266,308,268,171,60,2124,1982,4694,4093,8034,4289,4599,4243,2103,594,34619,0,0,0,0,0,0,0,0,0,0,1891,4106,3292,7008,3788,4054,3434,1623,694,29892,0,0,0,6,0,0,0,0,0,15,0,0,0,0,5,0,3,0,0,9,0,0,0,4,0,0,0,0,0,11,0,3,0,6,0,0,0,0,0,13,0,0,3,20,8,12,6,3,0,46
SED20704,0,0,0,9,3,3,0,0,0,16,0,7,10,25,24,11,7,0,0,98,3,5,15,45,21,7,6,3,0,106,0,3,0,5,4,0,0,0,0,11,6,44,103,58,6,3,0,0,0,207,0,0,0,0,4,0,3,0,0,7,0,6,9,7,5,11,16,0,0,53,0,5,3,8,0,8,0,0,0,19,0,0,0,4,3,5,3,5,0,23,0,0,4,16,8,0,0,0,0,25,3,19,27,53,34,32,30,20,5,231,82,235,183,447,254,275,210,125,65,1872,2259,5087,4420,8565,4121,4194,3729,1881,659,34915,0,0,0,12,0,0,0,0,0,12,2013,4327,3883,7724,3863,3994,3393,1732,855,31786,0,0,3,17,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,3,4,0,0,0,0,11,0,5,0,19,11,0,3,3,0,45
SED20804,0,0,3,0,5,5,0,0,0,12,0,0,12,19,11,5,11,6,0,70,0,6,8,22,9,7,4,4,0,50,0,0,3,13,0,0,0,0,0,15,3,54,67,29,0,0,0,0,0,151,0,0,0,8,0,0,0,0,0,8,0,9,0,11,16,15,25,9,0,83,0,4,0,42,23,6,0,0,0,83,0,0,0,0,4,6,8,4,4,29,0,0,4,5,4,0,0,0,0,11,3,11,15,87,35,46,39,29,8,274,87,203,185,445,226,243,241,190,94,1918,1689,3818,3342,7575,3855,4008,3880,2168,735,31050,0,0,12,12,6,0,0,0,0,30,1578,3160,2849,6300,3388,3699,3477,1962,900,27308,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,11,0,3,0,7,3,0,0,0,0,16,0,0,0,19,8,3,4,3,0,39
SED20906,5,28,19,32,19,20,7,4,0,133,0,42,46,164,165,80,45,25,9,570,0,5,8,82,43,45,32,29,13,250,6,4,5,39,7,0,0,0,0,57,0,6,9,21,7,0,3,0,0,53,0,3,0,13,11,10,7,7,0,55,6,34,26,41,31,24,18,8,5,178,0,31,26,64,62,20,14,4,0,219,0,0,0,7,11,0,0,0,0,24,0,0,0,8,3,12,4,0,0,32,22,132,127,602,445,338,285,194,70,2225,31,126,82,271,135,120,81,72,35,947,1829,4899,4203,8329,4976,3736,2464,1396,642,32467,0,0,0,6,0,0,6,0,0,8,1600,3639,2926,4391,3120,2204,1338,757,632,20604,0,0,0,6,5,5,0,0,0,12,0,0,0,20,11,4,4,0,3,39,0,0,3,51,20,3,4,0,0,81,0,0,0,12,10,4,0,0,0,33,0,8,5,33,16,10,4,0,0,73
SED21001,0,19,13,68,37,27,18,14,6,203,0,5,14,38,31,27,14,9,0,146,0,9,34,175,54,24,30,13,14,346,0,15,22,178,31,13,20,7,0,286,0,7,9,31,7,0,0,0,0,66,0,0,0,6,7,4,3,0,0,26,3,34,31,38,24,20,14,7,0,160,0,12,36,97,88,95,48,12,0,392,0,0,0,6,10,6,9,4,0,31,0,0,0,23,4,11,0,0,0,38,5,37,60,197,93,78,96,75,37,681,35,111,176,429,131,117,120,93,95,1306,1531,4120,5281,10032,4638,3979,3005,1812,910,35316,0,0,0,3,0,0,0,0,0,10,1341,3162,3159,3725,2697,2356,1786,1253,944,20424,0,0,10,15,6,4,0,0,0,34,0,0,0,3,7,3,0,0,0,18,0,0,0,7,4,0,0,0,0,18,0,0,5,15,10,9,8,0,0,48,0,4,3,14,17,16,9,0,0,63
SED21106,0,32,21,23,6,3,8,0,0,100,0,22,24,92,81,78,52,17,7,381,0,0,5,30,17,11,20,0,3,94,0,0,0,15,4,0,0,0,0,17,0,3,14,14,4,0,0,0,0,31,0,11,3,14,4,8,6,0,0,60,12,66,50,51,51,43,17,12,0,299,0,5,9,26,17,11,0,7,0,75,0,0,0,13,15,9,10,7,0,54,0,0,0,9,6,10,3,0,0,25,7,60,58,369,234,182,192,145,57,1303,33,145,95,314,196,127,107,80,48,1141,1275,3920,3653,6771,4584,4022,2956,1728,698,29617,0,0,0,3,0,0,0,0,0,0,1219,2861,2843,4707,3468,2908,2097,1280,761,22140,0,0,0,0,0,3,0,0,0,8,0,0,0,11,5,3,0,0,0,28,0,4,3,45,21,0,6,0,0,76,0,0,0,4,3,0,0,0,0,8,0,11,3,71,38,17,8,0,0,157
SED21203,4,4,3,13,7,9,0,0,0,47,0,0,7,11,5,0,3,4,0,24,0,16,44,164,46,67,38,9,6,385,0,0,0,5,0,0,0,0,0,7,0,5,9,29,3,6,0,0,0,48,3,30,64,441,477,580,265,195,21,2073,3,11,4,18,4,4,0,0,0,47,0,9,13,134,104,145,63,21,3,495,0,0,0,0,0,0,0,0,0,8,0,0,0,5,5,0,0,0,0,11,17,237,250,765,369,339,245,139,52,2409,195,436,383,979,337,309,156,122,44,2951,2673,5327,5398,11750,4220,3922,2347,1521,598,37760,0,11,9,27,6,5,0,0,0,65,2254,3662,3260,4159,1396,1151,592,438,237,17155,0,15,21,129,35,14,14,0,0,222,0,0,0,23,7,18,11,9,4,67,0,0,0,11,0,0,0,0,0,13,0,0,5,4,0,3,0,0,0,12,0,3,3,5,6,0,0,0,0,21
SED21303,6,4,14,54,25,3,4,0,0,111,0,0,11,83,18,10,7,3,0,131,0,0,10,74,17,15,6,5,0,124,0,0,0,47,0,0,3,3,0,59,0,0,7,32,7,0,0,0,0,53,0,5,0,64,35,47,33,12,0,199,6,21,20,195,49,19,13,0,0,328,0,6,21,67,29,35,30,8,0,188,0,0,3,18,8,0,0,0,0,30,0,0,3,14,4,0,0,0,0,25,9,39,70,716,136,107,87,63,21,1253,47,60,99,559,136,116,95,59,37,1200,1654,2915,4106,15675,4315,3097,2029,1232,558,35576,0,0,3,3,0,0,0,0,0,4,1471,2566,3680,10771,3192,2213,1105,387,222,25610,0,4,4,27,3,0,3,0,0,46,0,0,0,7,6,5,3,0,6,24,0,3,4,104,14,0,0,0,0,125,0,0,0,3,0,5,0,0,0,13,3,3,5,132,21,6,8,0,0,181
SED21401,4,15,24,68,32,25,19,18,0,202,0,8,30,62,42,44,34,16,4,241,0,10,20,101,33,47,31,13,6,269,0,10,10,107,22,23,28,12,0,209,4,0,8,25,0,0,3,0,0,43,0,0,3,14,19,23,6,9,5,68,0,14,18,34,19,16,8,6,0,120,0,3,16,56,75,100,51,14,3,314,0,0,4,5,0,4,3,0,0,28,0,0,4,13,7,9,0,4,0,30,8,48,61,233,115,153,119,117,74,917,41,86,95,270,116,113,101,105,64,989,1521,3626,3994,8135,4077,3950,3129,2737,1195,32367,0,0,0,4,0,0,0,0,0,5,1393,2744,2532,3169,2191,1745,1298,1356,698,17129,0,0,0,7,4,0,4,0,0,15,0,0,0,5,0,4,4,0,0,12,0,0,3,11,10,5,0,0,0,25,0,0,0,9,8,13,0,5,0,37,0,0,3,19,12,3,4,0,0,45
SED21503,0,3,14,39,9,11,7,3,0,85,0,3,13,38,19,11,4,4,0,98,0,7,56,194,71,83,56,25,7,497,0,0,7,27,0,5,0,0,0,44,4,6,8,16,5,4,0,0,0,51,0,0,0,15,7,11,4,3,0,41,5,10,14,27,17,4,5,0,0,76,0,22,55,118,70,68,43,13,0,385,0,0,0,0,6,0,3,0,0,20,0,0,6,8,3,0,5,0,0,23,10,51,71,349,151,122,115,63,27,957,46,89,223,370,110,117,103,88,36,1176,1679,3426,4304,8890,3963,3265,2628,1650,576,30385,0,0,3,8,0,0,0,0,0,14,1475,2678,2887,4866,2697,2011,1576,1044,485,19721,0,0,8,26,9,4,0,0,0,47,0,0,0,14,14,22,7,6,0,60,0,0,8,21,0,5,0,3,0,35,0,0,3,3,4,3,7,0,0,25,0,4,3,24,10,8,0,0,0,46
SED21608,0,3,0,0,3,4,0,0,0,19,0,4,5,21,19,15,11,5,0,78,0,0,9,31,4,3,4,0,0,56,0,0,0,3,0,0,0,0,0,3,0,7,12,8,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,6,9,24,13,9,14,8,0,90,0,0,0,13,5,5,0,0,0,28,0,0,0,0,8,6,5,4,0,26,0,0,0,8,5,0,0,0,0,18,0,14,18,100,53,65,59,40,18,369,89,250,224,471,248,248,244,148,60,1992,1976,4688,4124,8368,4253,4104,3543,1693,491,33246,0,0,0,0,0,0,0,0,0,0,1811,4075,3389,7155,3774,3525,2834,1320,572,28454,0,3,0,9,0,0,0,0,0,11,0,0,0,6,0,3,4,0,0,10,0,0,0,3,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,6,0,0,3,19,6,4,6,0,0,40
SED21706,0,20,22,65,33,24,19,6,0,188,0,13,15,65,36,27,29,12,8,200,6,15,108,309,73,63,53,33,11,669,0,5,9,51,21,3,13,0,0,104,0,3,12,31,11,3,5,5,0,70,4,0,0,19,9,13,3,3,0,53,9,32,30,28,26,16,17,8,0,157,0,14,49,85,96,69,60,20,12,401,0,0,0,3,3,7,3,0,0,16,0,0,14,17,6,4,0,0,0,34,7,43,92,287,113,117,101,73,41,876,48,104,200,443,128,98,107,69,51,1256,1631,4109,5200,9198,4412,3755,2738,1531,742,33317,0,0,0,16,8,10,0,3,0,39,1456,3387,3646,3888,2919,2296,1616,1075,819,21102,0,6,5,22,3,0,3,0,0,36,0,0,0,6,4,4,3,0,4,20,0,3,0,26,4,0,5,0,0,36,0,0,7,16,9,6,0,3,0,49,4,7,5,22,12,14,7,0,0,67
SED21805,0,8,5,7,3,12,6,0,0,37,0,25,30,105,79,57,39,7,0,332,0,0,5,68,37,48,29,14,9,214,0,0,0,8,0,4,3,0,0,24,9,11,5,25,10,5,0,0,0,61,0,3,4,17,15,18,6,5,0,72,0,0,8,26,20,23,13,0,0,110,0,6,3,25,22,18,3,3,0,86,0,5,0,8,7,7,11,9,0,53,0,0,0,8,11,4,3,0,0,27,3,23,54,277,187,164,114,83,23,927,72,162,144,405,222,169,124,118,52,1467,2342,4376,3805,9682,4913,4252,3063,1601,478,34514,0,0,0,18,20,17,4,0,0,57,2175,3701,3048,7244,3369,2850,2082,1058,478,26014,0,0,4,3,0,3,0,0,0,15,0,0,0,19,5,12,4,0,0,41,0,4,0,24,4,3,0,0,0,29,0,0,3,29,11,11,7,0,0,59,0,4,5,35,14,5,0,0,0,66
SED21906,5,11,5,45,12,6,5,9,3,93,3,27,73,310,203,202,149,75,17,1059,0,0,9,68,9,13,15,15,7,147,3,0,0,30,4,0,4,0,0,41,0,3,15,42,6,5,0,0,0,62,0,0,0,22,8,0,0,0,0,34,21,57,47,148,45,44,33,9,4,404,0,3,16,49,10,14,14,0,0,119,0,0,0,14,4,7,0,0,0,23,0,0,0,17,9,13,8,5,0,51,15,96,101,795,359,344,530,271,128,2637,47,94,169,512,148,96,142,80,41,1326,1810,3745,3852,10960,3988,3303,3082,1448,613,32795,0,0,0,8,0,0,0,0,0,7,1662,3135,2919,5869,2654,2036,1605,671,353,20904,0,0,0,17,0,0,0,0,0,25,0,0,0,13,3,0,6,0,0,29,0,4,6,68,10,7,0,0,0,99,0,0,0,0,3,0,4,0,0,10,0,3,8,51,38,13,0,3,0,115
SED22005,3,12,25,56,17,6,3,0,0,128,0,7,16,53,50,29,23,5,4,191,4,13,90,348,65,71,119,40,19,769,0,0,11,81,3,3,5,0,0,105,5,33,40,105,30,7,7,0,0,224,0,0,5,15,16,24,14,16,7,93,6,18,10,44,11,10,0,0,0,100,6,53,152,514,398,498,319,104,46,2086,0,0,0,5,0,0,0,0,0,10,0,0,6,17,3,0,0,0,0,29,11,100,119,542,292,249,265,187,53,1818,70,127,204,611,147,133,120,103,59,1569,2101,3904,5188,13169,4376,3737,2991,1958,905,38329,0,0,4,14,7,3,0,0,0,29,1775,2867,2479,3566,1775,1321,866,550,497,15697,0,11,8,63,13,11,6,0,0,114,0,0,0,14,11,8,16,5,0,46,0,3,0,24,9,3,0,0,0,44,0,13,70,257,196,206,155,58,36,990,0,4,3,24,11,0,5,0,0,52
