SED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED21706,0,0,0,0,0,5,6,9,0,15,0,0,8,18,12,10,14,4,8,65,0,0,7,10,0,3,4,0,0,23,0,0,14,19,0,0,0,0,0,42,0,5,11,3,5,0,8,16,4,47,3,34,64,110,94,62,42,18,16,436,0,0,0,0,4,5,9,0,3,15,0,0,5,21,6,4,0,0,0,38,0,0,0,0,8,3,0,0,0,15,0,9,21,163,43,35,27,7,0,300,0,0,0,24,6,18,35,11,10,108,0,0,0,5,0,6,4,0,0,9,0,0,8,15,17,23,23,18,14,120,5,16,28,72,28,34,33,10,0,219,0,14,13,72,37,27,24,7,6,213,0,12,97,232,81,79,66,49,13,624,0,3,4,75,22,13,11,0,0,138,0,4,16,71,33,11,7,5,0,142,0,0,0,10,9,0,8,0,0,33,6,37,18,40,23,14,15,4,0,161
SED21805,0,0,0,0,5,6,14,9,3,44,0,0,4,48,19,32,30,7,3,146,0,0,0,9,0,5,0,3,0,17,0,0,0,13,3,4,0,0,0,21,0,0,0,7,7,18,34,36,55,159,4,42,63,304,145,149,83,32,4,828,0,0,0,3,0,3,0,4,0,17,0,3,4,9,8,0,0,0,0,30,0,0,0,0,14,7,4,0,0,22,0,22,42,192,115,94,67,12,0,546,0,0,0,31,24,20,29,12,5,122,0,4,0,3,11,7,8,4,0,33,3,0,14,44,31,69,65,42,21,289,3,7,4,17,5,11,0,0,0,44,0,21,33,97,83,47,32,6,7,336,0,0,5,59,42,50,40,16,9,227,0,0,0,17,6,9,4,0,0,30,0,8,9,113,40,9,4,0,0,190,0,0,0,15,14,20,4,5,0,59,3,12,14,41,19,21,14,4,0,131
SED21906,0,0,0,0,0,0,4,3,0,10,0,0,4,25,4,4,4,3,0,57,0,0,0,0,3,3,0,0,5,15,0,0,42,77,0,0,0,0,0,126,0,3,4,10,4,3,10,5,0,49,0,21,48,282,89,87,64,21,8,621,0,0,0,5,4,0,0,0,0,14,0,0,3,12,0,5,0,0,0,16,0,0,0,5,10,4,4,0,0,19,0,11,17,170,34,24,14,3,0,277,0,0,0,31,12,29,113,62,162,414,0,0,0,0,0,0,0,0,0,0,0,7,6,58,23,9,24,13,6,143,0,7,13,46,12,12,12,4,0,101,5,23,58,351,237,197,150,77,44,1146,0,3,7,68,19,20,17,7,3,147,0,3,8,61,4,0,3,0,0,83,0,8,12,64,16,13,3,0,0,113,0,0,0,19,7,3,3,0,0,28,13,48,28,164,71,55,28,5,0,411
SED22005,0,0,0,7,0,5,10,25,5,50,0,0,17,46,21,46,37,35,12,215,0,5,11,105,27,20,12,6,4,192,0,4,69,114,8,0,0,0,0,196,0,0,5,3,3,0,14,7,8,38,5,24,49,130,51,52,26,8,3,357,0,0,0,0,0,4,8,5,0,26,0,13,14,61,15,6,3,0,0,120,0,0,0,4,4,0,0,0,0,13,0,25,43,295,110,113,84,15,11,697,0,0,3,22,16,26,44,23,12,146,0,0,4,4,0,6,0,0,0,20,0,3,3,9,13,12,19,11,11,78,0,13,17,64,25,5,13,5,0,136,3,10,23,56,50,29,25,16,5,216,0,14,46,283,54,98,125,52,29,706,0,0,4,119,6,5,4,0,0,137,3,33,55,156,62,35,15,4,0,361,0,0,5,14,20,23,17,14,3,99,6,11,17,32,5,8,0,3,0,94
SED22105,0,0,0,0,0,9,16,12,0,45,0,7,47,225,88,95,76,26,16,567,0,0,0,23,13,3,3,5,0,49,3,5,25,151,15,10,3,0,0,212,0,5,0,6,6,22,54,47,23,162,35,233,353,664,203,145,60,26,3,1732,0,0,4,22,13,16,10,0,0,66,11,120,141,355,52,23,15,0,0,722,0,0,0,5,4,4,0,0,0,11,4,124,224,757,379,200,83,24,5,1803,0,0,10,26,27,24,28,6,0,127,4,13,54,111,90,66,19,5,0,369,0,3,15,27,29,66,53,46,8,249,0,21,20,50,24,18,8,5,0,144,0,13,39,110,68,35,29,16,10,326,3,96,215,1058,386,211,146,48,14,2182,0,0,5,39,9,9,0,0,0,55,0,7,19,152,59,23,3,4,0,272,6,3,4,28,37,25,15,0,0,120,0,22,33,38,14,10,8,0,0,133
SED22201,0,0,0,0,3,4,11,16,4,41,0,0,3,17,4,6,9,0,0,37,4,46,145,382,86,31,23,3,0,717,0,0,5,20,0,0,0,0,0,25,0,5,0,4,4,14,51,78,30,184,0,11,14,103,68,73,37,21,7,334,0,0,0,0,0,0,6,3,0,12,0,0,0,12,0,3,3,0,0,21,0,0,0,0,5,12,0,0,0,23,0,6,3,79,41,55,18,6,5,212,0,0,0,8,7,8,13,3,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,14,18,35,46,44,25,189,0,9,5,21,15,12,11,0,0,76,4,10,20,61,54,38,37,14,7,246,0,0,3,70,26,18,20,10,7,156,0,0,0,32,11,3,0,0,0,48,0,9,20,68,20,13,7,0,0,138,0,0,0,5,4,0,0,0,0,7,0,3,12,34,17,11,17,0,0,98
SED22305,0,0,0,0,0,4,17,9,5,43,0,0,10,54,15,50,70,58,28,287,0,0,10,49,27,11,4,3,0,110,0,0,17,29,0,0,0,0,0,48,0,0,8,6,7,0,37,48,39,137,6,71,108,211,70,55,33,12,0,561,0,0,5,107,105,110,75,50,18,472,14,180,192,415,42,23,10,0,0,885,0,0,0,3,0,0,0,0,0,5,3,33,59,312,123,116,77,28,9,767,0,0,5,34,17,64,71,39,26,254,0,6,18,22,32,37,10,9,3,135,0,0,0,0,7,18,32,30,18,108,0,9,6,23,10,10,15,0,0,70,0,6,4,27,17,12,28,19,6,133,17,74,149,862,231,243,181,106,49,1901,0,0,0,37,0,3,0,3,0,48,0,7,35,91,29,11,7,0,0,174,0,3,0,19,43,34,42,15,3,154,0,3,3,15,3,8,0,4,0,37
SED22404,0,0,0,0,0,4,6,3,4,15,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,4,15,11,17,82,41,19,196,0,5,19,93,100,105,79,14,3,410,0,0,0,0,0,4,3,0,0,9,0,0,0,5,0,0,0,0,0,9,0,0,0,5,6,8,0,0,0,19,0,0,0,50,13,17,10,0,0,98,0,0,3,9,7,6,13,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4,20,12,36,47,32,8,157,0,0,0,4,3,3,0,0,0,23,0,0,15,27,19,25,26,9,0,116,0,0,0,6,8,4,5,0,0,26,0,0,0,14,0,0,0,0,0,20,0,0,10,21,18,9,0,0,0,59,0,0,0,0,0,0,0,0,0,9,0,6,9,23,18,25,16,10,0,97
SED22501,0,0,0,5,0,12,34,10,4,65,0,0,0,10,4,9,4,0,0,30,0,0,0,0,0,0,4,0,0,6,0,0,0,6,0,0,0,0,0,8,0,6,5,15,9,13,16,14,3,76,6,24,23,92,79,76,26,21,4,349,0,0,0,12,11,22,21,11,6,78,0,0,0,0,3,5,0,0,0,11,0,0,0,3,7,5,4,0,0,23,0,5,0,42,13,12,15,3,0,93,0,0,0,16,10,8,10,7,0,48,0,0,0,0,0,0,0,0,0,0,0,5,6,23,22,32,36,18,7,148,0,14,8,17,19,9,9,7,0,81,0,12,13,48,53,29,19,8,5,188,0,0,0,38,15,14,19,10,3,96,0,4,0,12,4,0,0,0,0,21,0,4,8,39,21,9,0,0,0,76,0,0,0,11,0,12,4,4,0,36,0,15,12,34,30,23,20,4,0,139
SED22607,0,0,0,0,5,20,38,34,17,116,0,0,0,20,6,8,5,3,0,37,0,0,0,8,3,0,0,0,0,22,0,0,97,140,0,0,0,0,0,241,0,0,0,8,4,0,9,8,0,36,4,18,48,256,97,73,48,8,3,559,0,0,0,18,13,7,3,3,0,48,0,0,7,27,0,6,4,0,0,38,0,0,0,6,7,3,0,0,0,13,0,5,22,182,38,22,17,4,0,298,0,0,0,34,8,15,17,7,5,76,0,0,0,7,3,0,0,0,0,10,0,0,0,31,15,20,12,18,3,101,0,10,13,50,16,10,9,0,0,103,0,4,6,48,6,4,8,3,0,77,0,5,4,98,21,22,21,8,3,172,0,0,0,36,4,3,4,0,0,51,0,3,10,106,21,7,5,0,0,154,0,4,0,57,42,30,25,11,0,176,12,15,14,81,21,15,7,3,6,169
SED22704,0,0,0,7,4,8,19,15,11,60,0,0,0,6,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,4,6,13,15,42,22,12,113,0,10,19,77,77,84,69,30,7,363,0,0,0,4,0,3,3,0,0,10,0,0,4,5,0,0,0,0,0,15,0,0,0,3,6,0,7,0,0,19,0,13,13,95,48,50,30,0,0,246,0,0,0,3,0,0,3,3,7,20,0,0,0,0,0,4,0,0,0,5,0,0,0,12,4,34,33,28,13,122,0,0,0,0,8,0,4,0,0,13,0,4,4,32,11,8,6,3,0,74,0,6,0,19,5,3,4,0,0,29,0,0,0,10,0,0,0,0,0,10,0,3,10,50,27,9,3,0,0,105,0,0,0,4,0,0,0,6,0,7,0,0,4,13,17,14,17,0,0,69
SED22802,0,0,0,0,0,3,7,7,6,21,0,0,0,6,0,9,0,3,0,21,0,19,63,107,32,19,6,0,0,258,0,0,0,15,4,0,0,0,0,24,0,0,0,11,15,16,106,78,20,255,0,22,27,107,59,62,24,11,8,315,0,0,0,0,0,5,4,4,0,13,0,4,0,15,0,0,0,0,0,18,0,4,0,4,5,4,0,0,0,21,0,12,10,76,42,30,17,9,0,199,0,0,0,16,14,9,18,6,3,73,0,0,0,0,0,0,0,0,0,4,0,0,3,17,17,38,38,29,4,154,0,0,9,10,10,9,9,0,0,41,0,12,15,61,48,29,25,9,0,199,0,6,4,55,15,15,11,6,0,108,0,0,0,14,0,3,0,0,0,20,0,6,17,60,12,3,4,0,0,103,0,0,0,4,5,0,0,0,0,6,0,7,6,30,13,0,13,7,0,81
SED22901,0,0,0,0,0,10,12,6,0,28,0,0,0,10,3,10,13,6,3,43,0,0,7,13,4,0,0,0,0,27,0,0,6,16,11,4,0,0,0,41,0,0,5,3,8,9,42,35,27,123,0,32,48,101,58,46,50,24,3,359,0,0,0,4,0,0,0,0,0,8,0,6,5,29,6,0,6,0,0,56,0,0,0,9,12,0,0,0,0,18,0,12,23,129,69,48,49,17,3,350,0,0,3,9,4,16,32,6,6,80,0,0,0,0,3,0,5,0,0,13,0,0,0,10,6,26,38,23,17,126,0,15,41,70,47,32,41,7,6,265,0,6,18,51,42,29,43,18,9,216,0,27,43,222,126,133,114,39,15,717,0,11,0,48,10,8,12,0,0,97,0,3,6,49,26,13,0,3,0,106,0,0,0,0,0,3,7,0,0,15,0,12,15,42,5,12,6,0,5,93
SED23007,0,0,0,4,8,25,131,117,54,335,0,0,6,21,0,11,4,0,3,52,0,10,26,136,25,17,0,0,0,209,0,0,96,196,6,4,0,0,0,302,0,5,5,6,0,5,9,6,0,39,3,36,62,356,87,68,41,8,5,658,0,0,3,37,38,54,113,62,15,329,3,23,12,88,3,0,0,0,0,139,0,0,4,17,5,6,0,0,0,35,0,23,73,454,134,136,104,41,11,971,0,0,0,40,19,26,43,20,17,172,0,0,7,19,12,10,3,0,0,55,0,0,0,26,11,14,12,16,3,82,3,0,10,99,17,6,15,3,0,143,0,0,4,35,14,0,5,0,0,61,0,7,13,99,20,15,6,3,11,180,4,5,5,60,4,4,5,5,0,86,0,4,14,156,41,15,4,5,0,243,0,0,5,39,35,40,20,8,6,151,3,0,11,76,13,3,3,0,0,115
SED23101,0,0,0,0,0,3,9,11,6,26,0,0,0,17,0,9,9,4,0,44,0,0,0,5,3,6,0,0,0,14,0,0,7,23,4,0,0,0,0,32,0,0,0,4,0,10,9,29,21,76,0,32,44,73,58,42,35,16,14,299,0,0,0,0,5,5,0,3,5,13,0,10,7,66,3,12,3,0,0,101,0,0,0,0,0,4,0,3,0,11,0,7,21,104,42,61,33,3,3,287,0,0,0,17,12,21,23,16,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,21,18,42,13,111,0,41,50,66,55,41,28,11,3,294,0,0,17,46,28,26,17,20,8,163,0,29,67,248,111,100,108,51,23,739,0,4,9,97,26,13,25,9,0,179,0,6,12,70,26,11,11,0,0,131,0,0,0,9,0,3,3,0,0,28,7,25,17,23,13,12,9,0,0,98
SED23205,0,0,0,0,0,7,11,0,0,22,0,0,0,25,6,12,6,3,3,68,0,0,0,0,0,0,0,0,0,9,0,0,5,21,5,0,0,0,0,28,0,0,3,7,9,14,28,29,23,115,0,13,56,213,125,117,99,23,8,651,0,0,0,5,7,0,0,0,0,9,0,0,0,4,0,6,0,0,0,14,0,0,0,9,10,8,5,4,0,36,0,16,22,151,67,58,22,13,3,357,0,0,4,22,10,17,26,12,3,89,0,0,0,3,3,4,3,0,0,22,0,4,10,36,24,64,68,51,49,299,0,5,6,12,4,4,6,5,0,39,0,4,12,47,43,27,13,8,5,165,0,0,7,26,7,16,19,16,0,93,0,0,3,23,4,0,3,0,0,30,0,9,10,70,26,11,0,0,0,136,0,0,0,4,5,3,7,0,0,24,4,8,11,40,11,24,17,7,0,125
SED23308,0,0,0,5,0,4,6,5,0,17,0,0,3,7,0,0,0,0,0,13,0,0,4,4,0,0,0,0,0,10,0,0,5,68,0,0,0,0,0,73,0,3,4,15,7,12,64,42,25,170,5,10,21,136,69,59,37,16,8,357,0,0,0,3,9,9,3,6,8,45,0,3,7,28,0,4,0,0,0,51,0,0,0,6,12,3,0,0,0,21,0,3,14,103,37,23,30,9,0,232,0,0,0,6,5,3,9,7,0,40,0,0,0,0,0,0,0,0,0,0,0,7,0,25,21,45,46,35,12,189,0,0,4,14,9,0,12,0,0,50,0,4,15,41,17,10,13,4,4,99,0,6,9,63,9,4,12,5,0,113,0,0,4,15,0,0,0,0,0,21,0,3,10,44,19,7,6,0,0,82,0,0,0,4,3,0,0,3,0,13,4,10,13,61,12,11,17,6,0,137
SED23402,0,0,0,3,0,3,13,8,4,39,0,0,13,71,28,36,29,10,3,197,0,0,3,38,4,0,4,0,0,56,0,0,7,23,0,0,0,0,0,31,0,6,3,9,12,25,73,74,26,234,9,52,60,227,108,89,51,28,4,618,0,0,0,5,0,8,4,0,0,10,3,24,22,125,14,12,4,0,0,197,0,0,0,0,4,4,0,0,0,15,0,19,44,186,78,59,22,8,0,421,0,0,0,32,16,16,20,3,3,95,0,3,5,15,7,7,0,3,0,37,0,5,5,29,39,70,64,41,21,276,0,8,11,19,21,7,3,3,0,79,4,9,33,84,79,51,17,14,0,293,0,55,61,476,133,87,57,22,0,897,0,4,0,24,6,0,3,0,0,37,4,0,0,66,20,12,0,0,0,108,0,3,0,3,12,0,3,0,0,26,0,13,11,32,23,16,13,8,0,112
SED23502,0,0,0,0,3,9,11,5,5,25,0,0,0,3,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,14,0,0,0,8,6,26,68,50,11,172,0,14,11,72,60,82,76,32,5,354,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,8,0,0,0,0,7,0,3,3,0,25,5,20,12,111,43,48,29,8,0,275,0,0,0,0,0,0,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,38,42,41,8,158,0,0,0,0,7,0,0,0,0,13,0,0,0,22,16,18,18,7,0,95,0,0,0,15,0,0,0,8,0,22,0,0,0,21,0,0,0,0,0,20,0,3,9,37,16,11,4,0,0,77,0,0,0,0,3,0,0,0,0,4,0,6,6,7,14,15,26,10,0,82
SED23602,0,0,0,0,0,6,3,8,0,15,0,0,0,0,3,7,11,0,0,28,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,9,0,0,3,10,6,25,86,53,21,207,0,20,24,73,75,87,72,22,7,382,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,0,3,6,0,0,0,13,0,8,12,87,53,43,25,8,3,232,0,0,0,4,3,7,3,8,4,31,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,38,41,41,10,155,0,0,3,6,4,0,4,0,0,17,0,9,11,19,24,14,14,0,0,93,0,0,0,16,7,6,8,5,0,46,0,0,0,18,0,3,3,0,0,23,0,0,3,26,14,3,6,0,0,58,0,0,0,0,0,0,0,0,0,0,0,7,3,18,10,12,30,3,0,84
SED23702,0,0,0,4,0,3,13,3,0,23,0,0,0,6,3,17,4,9,0,41,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,15,65,49,26,177,0,14,32,133,104,106,80,23,5,496,0,0,0,4,0,9,0,0,0,10,0,0,0,4,0,0,3,0,0,10,0,0,0,3,10,6,0,0,0,21,0,14,17,119,46,35,15,0,0,248,0,0,0,14,5,10,8,4,7,46,0,0,0,0,5,0,4,0,0,7,0,5,5,28,43,86,80,63,20,336,0,0,0,10,8,7,3,0,0,27,0,6,12,39,30,16,19,16,4,144,0,0,0,13,8,6,3,5,0,44,0,0,0,4,0,6,0,0,0,10,0,4,11,62,32,9,4,0,0,120,0,0,0,6,3,3,0,0,0,9,0,5,0,28,10,11,13,0,0,73
SED23806,0,0,0,0,4,4,9,5,4,21,0,0,0,26,5,8,6,0,3,42,0,0,0,14,0,4,0,0,0,22,0,0,21,28,0,0,0,0,0,53,0,3,4,12,8,4,20,6,3,61,0,15,40,218,82,97,63,30,12,566,0,0,0,5,0,6,3,0,0,16,0,4,3,24,0,6,0,0,0,35,0,0,0,6,5,3,0,0,0,13,0,0,13,82,22,7,12,3,0,157,0,0,0,15,12,8,15,8,11,64,0,0,0,0,0,0,0,0,0,3,0,0,5,31,14,21,27,14,12,136,0,30,25,86,34,27,32,9,0,234,4,11,21,62,41,26,19,9,0,200,0,0,30,108,32,38,27,19,4,260,5,3,4,77,30,8,18,0,0,135,0,6,17,106,15,15,9,0,0,168,0,3,0,18,7,0,0,0,0,30,16,52,36,95,37,27,10,3,3,280
SED23901,0,0,0,0,3,5,21,14,5,45,0,0,3,12,7,7,4,7,0,43,0,0,3,10,3,0,0,0,0,10,0,0,11,37,4,0,0,0,0,55,0,3,5,7,8,0,10,10,7,55,0,21,22,175,67,56,40,15,10,415,0,0,0,20,7,21,26,11,7,99,0,4,0,28,7,4,0,0,0,47,0,0,0,4,8,8,0,0,0,19,4,8,14,136,41,34,29,4,4,276,0,0,3,23,11,17,10,11,13,91,0,0,0,0,5,3,4,0,0,7,0,4,11,30,19,25,29,20,8,143,3,10,11,45,16,16,7,6,0,118,0,6,5,66,23,27,7,15,0,152,0,4,16,93,46,37,32,27,16,268,0,0,0,60,8,6,4,0,0,86,0,7,10,61,29,15,10,0,0,140,0,3,0,8,7,6,10,0,0,34,7,25,18,73,21,9,16,3,0,179
SED24006,0,0,0,0,0,3,12,0,4,20,0,0,0,10,6,0,9,0,0,26,0,0,0,9,3,3,4,0,0,20,0,0,3,12,4,0,0,0,0,20,0,3,6,7,6,4,11,13,3,60,4,32,36,88,68,72,35,22,12,354,0,0,0,5,0,9,8,7,0,31,0,6,8,26,8,9,0,0,0,56,0,0,0,6,7,3,3,0,0,27,0,8,14,46,28,15,18,8,0,132,0,0,0,15,6,10,23,15,18,93,0,0,0,0,0,0,0,0,0,4,0,3,7,11,16,14,17,12,4,83,0,42,32,72,43,40,37,9,0,276,0,12,14,50,49,33,20,15,0,188,0,11,18,79,62,52,30,18,9,279,3,9,8,105,34,35,32,8,0,238,0,4,8,45,21,12,3,0,0,93,0,0,0,10,11,11,5,3,3,39,10,29,35,53,28,26,23,13,6,211
SED24105,0,0,0,0,0,4,25,24,16,66,0,5,11,65,37,50,72,46,16,294,0,5,11,84,36,21,13,6,0,169,0,0,14,36,0,5,0,0,0,45,0,0,0,5,3,5,12,14,12,55,8,58,110,147,56,43,15,6,8,445,0,3,0,8,12,8,8,6,3,49,3,13,16,83,12,8,8,0,0,143,0,0,0,5,5,0,0,0,0,11,4,22,72,268,108,100,59,23,9,652,0,0,0,18,6,31,42,18,14,126,0,5,9,11,10,9,7,0,0,48,0,4,3,6,11,13,20,21,10,100,0,6,10,32,15,18,9,0,0,87,0,3,21,32,43,24,17,10,6,174,3,28,59,309,144,162,185,93,42,1020,0,0,3,44,0,9,0,0,0,61,0,27,51,248,55,19,9,0,0,416,0,5,6,58,90,60,43,18,5,281,0,19,9,19,0,5,0,0,0,55
SED24207,0,0,9,37,31,145,301,168,35,733,0,0,9,31,9,4,7,0,0,59,0,24,82,267,52,15,10,0,0,445,0,0,9,88,4,9,0,0,0,116,0,0,0,5,0,3,11,12,4,33,23,172,223,338,75,73,23,4,0,929,0,0,7,129,106,140,196,60,10,656,11,79,38,302,29,15,17,5,0,490,0,0,4,6,0,0,0,0,0,9,3,84,242,920,545,458,263,74,23,2610,0,0,4,30,39,44,43,17,9,185,0,12,30,60,47,24,16,9,0,201,0,5,3,9,8,15,24,12,5,76,0,19,17,29,20,8,3,3,0,108,0,0,10,28,20,10,0,0,0,79,0,11,34,197,111,48,37,13,3,460,0,5,0,26,8,4,3,0,0,52,0,3,6,89,46,20,9,4,0,185,0,6,4,40,47,37,17,11,0,164,7,25,18,21,7,0,0,0,0,78
SED24308,0,0,0,4,0,4,22,11,0,41,0,0,0,10,4,3,0,0,0,27,0,11,32,127,52,29,17,3,0,271,0,0,14,14,0,0,0,0,0,27,0,0,0,3,3,17,77,70,29,208,5,15,29,109,58,50,28,12,9,312,0,0,0,26,29,58,98,52,22,286,6,32,46,62,0,3,0,0,0,161,0,0,0,7,7,6,0,3,0,17,3,26,60,211,118,88,39,10,0,556,0,0,0,21,15,21,31,20,27,129,0,0,0,0,0,0,0,0,0,5,0,3,3,13,13,43,54,49,14,198,0,5,12,19,9,12,9,3,0,56,0,0,5,24,7,9,8,0,0,48,0,3,13,56,12,6,4,3,0,97,0,0,0,15,0,0,0,0,0,9,0,85,97,91,22,18,3,0,0,312,0,0,0,8,15,9,15,10,0,55,0,8,5,29,9,7,3,0,0,63
SED24408,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,4,0,0,6,0,0,0,52,14,14,0,0,0,85,0,5,4,33,0,0,0,0,0,39,0,0,0,8,4,7,27,39,10,95,0,5,19,64,47,68,30,17,3,263,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,8,0,0,0,0,7,9,3,3,0,23,5,15,16,99,30,22,24,11,0,212,0,0,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,19,17,23,7,71,0,0,0,5,6,3,0,0,0,15,0,11,11,29,13,8,8,7,0,76,0,0,0,14,0,0,4,0,0,21,0,0,0,6,0,0,0,0,0,6,0,13,28,42,15,6,0,0,0,103,0,3,0,6,0,0,0,0,0,9,0,3,0,24,9,13,13,3,0,70
