SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED23602,34,15,62,95,139,295,630,759,447,2482,3,7,9,18,30,44,30,39,18,193,193,182,498,574,542,656,716,527,271,4155,1313,2549,6034,6532,7666,9164,8946,4532,1570,48309
SED23702,28,34,103,117,178,277,564,617,314,2224,6,11,24,25,30,32,37,40,32,232,192,168,368,457,430,420,437,376,202,3055,1985,4244,9193,8997,9460,9471,7529,4037,1298,56210
SED23806,6,3,20,23,26,36,130,229,208,683,0,10,23,16,32,26,29,38,47,211,114,163,432,309,260,233,263,238,182,2190,1394,5230,10753,8485,8343,7139,5832,3549,1543,52255
SED23901,7,15,49,57,84,170,378,687,609,2059,5,12,48,56,51,89,91,88,95,542,108,161,398,375,307,309,329,236,138,2362,1231,4017,9409,9751,8901,8048,6309,3829,2017,53508
SED24006,11,11,14,30,63,96,219,432,330,1199,0,15,32,32,53,74,71,81,73,432,92,114,232,198,283,253,230,248,206,1853,1495,4502,6740,7262,9394,8516,6193,3883,2020,49996
SED24105,34,36,177,393,546,838,827,818,408,4080,18,83,239,351,455,713,494,290,162,2807,129,204,531,458,320,343,342,311,164,2802,1742,5301,11177,10912,9676,8434,6795,3846,1479,59366
SED24207,32,46,245,448,577,819,1378,881,249,4663,14,36,223,292,439,527,468,253,102,2351,331,449,1262,1013,695,517,437,285,121,5115,2360,6483,16146,17465,12903,9165,6819,2805,735,74879
SED24308,54,57,189,251,308,459,966,1009,598,3877,8,21,111,158,172,136,127,145,83,955,246,290,747,622,589,476,487,470,285,4221,1751,4463,10772,8906,8942,8199,6921,3883,1635,55483
SED24408,34,37,104,111,153,293,583,911,692,2921,5,6,34,30,51,43,30,31,9,245,215,188,390,366,461,590,699,630,417,3955,1292,2690,6255,5957,7036,8779,7863,4706,2073,46649
SED24504,13,14,31,44,91,165,403,502,263,1535,3,8,7,16,20,14,25,20,13,124,205,154,334,406,534,566,568,424,235,3421,1364,2547,5495,8151,9965,9498,8235,3986,1195,50434
SED24606,7,6,19,20,26,31,160,363,230,865,0,7,24,16,21,33,26,72,48,247,88,148,400,300,267,237,294,293,236,2264,1153,4377,9168,7567,8094,6892,5983,4046,1887,49164
SED24703,7,39,145,116,127,171,216,234,181,1239,5,74,285,121,104,117,87,73,48,912,397,1604,3418,1550,843,651,471,273,138,9339,4339,22412,42978,18324,9646,7566,5362,2484,885,113999
SED24808,50,81,262,303,336,463,887,734,294,3409,3,26,135,176,181,153,123,98,27,917,372,389,1063,937,705,543,530,380,118,5040,2378,5732,15299,14953,11180,9012,7658,3323,1014,70546
SED24904,53,56,202,221,275,512,891,989,623,3816,5,42,145,127,114,135,90,98,58,825,314,293,821,751,723,800,787,592,373,5462,1637,3581,8870,7879,8202,8898,7399,4113,1827,52396
SED25003,17,20,97,151,205,441,897,751,349,2931,3,18,71,81,96,130,194,178,105,887,163,182,459,436,322,325,347,403,401,3046,1713,4762,10448,10445,9584,8679,5561,2565,1129,54882
SED25102,17,11,63,61,77,112,229,317,147,1040,4,6,20,24,36,18,17,28,17,170,101,83,255,241,271,267,257,228,178,1882,1307,3102,6231,7852,8644,7939,6255,2826,900,45044
SED25205,18,11,28,40,73,156,305,543,390,1562,4,7,27,30,38,44,53,57,50,314,94,76,288,306,302,272,290,305,243,2160,1299,3284,7112,9557,10142,8174,5932,3654,1737,50890
SED25302,20,5,27,37,63,90,239,513,352,1354,0,3,13,20,24,15,20,26,20,135,132,76,172,256,347,286,430,506,455,2670,1445,2842,4232,7154,9684,8318,8450,6136,2502,50779
SED25402,57,36,150,149,211,409,741,864,520,3136,5,13,38,47,49,40,54,50,38,326,261,323,677,650,611,683,689,571,447,4911,1740,3830,8697,7958,8221,9343,7983,4303,1691,53773
SED25501,10,13,42,53,102,144,345,545,392,1647,3,12,53,50,60,96,114,82,96,563,119,205,401,346,296,281,204,268,252,2366,1437,4590,7772,9056,8777,7595,5773,4448,2231,51679
SED25605,11,23,77,129,217,365,793,1024,551,3175,10,15,120,134,142,219,253,256,156,1294,126,192,479,354,324,326,374,507,474,3161,1206,3933,8759,8535,7978,6987,6705,4897,2244,51241
SED25704,42,33,123,132,183,397,789,1026,641,3369,4,18,35,48,53,52,49,38,24,323,240,232,498,535,607,707,792,676,500,4787,1429,3212,6893,6754,7832,9311,8423,5191,2206,51250
SED25802,49,30,125,146,194,349,726,960,556,3147,6,14,43,23,45,47,36,39,24,274,253,212,596,598,638,717,701,577,271,4571,1784,3911,9381,8705,9443,10375,9479,5249,1789,60119
SED25905,25,29,149,202,232,403,617,604,346,2614,12,47,182,218,252,215,189,157,83,1347,206,269,611,474,417,397,318,272,198,3174,1644,4760,9705,8896,8719,8873,5902,2840,1273,52607
SED26005,36,40,258,383,362,427,552,450,158,2675,13,63,313,466,461,339,197,95,45,1996,234,296,608,576,488,381,285,170,56,3098,2399,6378,11277,13051,12444,9078,5093,2207,596,62521
SED26102,32,20,67,61,124,162,535,808,505,2313,3,8,15,24,18,58,47,55,40,264,200,210,420,510,661,737,905,813,484,4958,1228,2549,5485,6419,8411,10135,11544,7272,2712,55759
SED26207,6,4,38,58,82,217,865,1539,834,3640,3,6,23,27,47,63,156,279,175,773,81,104,300,266,302,257,316,408,268,2307,1177,3366,7027,8213,8604,7304,6304,4843,2133,48965
SED26303,7,7,27,39,72,173,568,1042,612,2541,4,14,21,40,38,76,154,281,208,839,75,148,488,415,309,278,239,246,205,2397,970,3658,13289,11395,9843,7060,4551,2855,1438,55064
SED26406,7,9,36,47,74,178,511,983,629,2463,0,20,71,44,36,69,134,214,98,692,110,447,848,412,293,226,273,224,222,3068,1818,7593,14743,10515,8720,7030,5052,3467,1820,60760
SED26504,25,20,68,99,142,266,640,907,555,2734,4,3,23,23,25,34,33,52,25,223,196,193,408,424,472,551,706,652,367,3976,1306,2507,5918,6385,7544,8547,8403,5161,1978,47731
SED26603,12,20,61,119,173,351,795,1298,1065,3898,3,22,60,58,94,156,212,303,192,1107,145,285,846,568,466,365,371,383,441,3873,1360,5276,15229,13219,9911,7576,4964,3612,2580,63725
SED26708,19,23,98,105,133,270,565,809,518,2542,0,7,41,32,40,43,37,27,12,243,220,166,466,498,563,635,716,511,317,4096,1456,2864,6937,7364,8386,9558,8567,4522,1704,51358
SED26806,4,7,32,40,57,87,153,317,211,907,0,6,38,35,35,40,35,84,63,337,140,353,1413,831,574,489,435,435,390,5047,871,5702,23013,12711,7897,6482,5203,3320,1452,66648
SED26903,16,26,88,133,193,396,909,1451,898,4108,3,22,66,62,101,173,237,351,223,1245,118,227,758,556,446,403,401,381,387,3684,1085,4323,13470,11316,8978,6977,5014,3597,2098,56857
SED27003,0,8,78,84,156,230,338,472,291,1668,3,9,44,68,96,146,133,149,140,783,108,319,1169,706,518,461,357,250,105,3994,825,5331,23488,13086,8511,6924,4943,2529,1005,66639
SED27101,7,42,126,143,124,198,318,482,361,1794,0,14,110,87,89,155,115,63,44,681,78,113,332,360,274,241,216,261,146,2014,1145,3735,9562,10493,8844,6998,5488,3560,1494,51316
SED27208,42,46,117,138,216,410,845,1046,567,3428,0,13,29,21,55,52,47,26,15,263,239,206,522,569,731,840,907,786,395,5200,1478,2996,7080,7035,8732,10168,9881,5428,2029,54842
SED27305,5,3,33,39,81,188,352,432,178,1314,3,5,24,26,43,69,84,79,41,364,77,101,192,204,154,195,205,171,74,1367,1359,3858,6190,7089,8365,8170,5006,2726,786,43549
SED27406,14,3,19,24,47,72,197,328,278,979,0,3,8,12,23,13,42,47,30,175,82,67,239,283,289,231,296,312,271,2074,1255,3205,6261,8090,10039,8557,6913,4192,1938,50450
SED27504,38,43,223,287,291,448,845,967,534,3672,8,26,119,169,197,149,109,111,53,936,316,315,797,707,698,765,738,700,450,5500,1804,4126,9531,8756,9137,9364,8044,4799,1925,57494
SED27608,27,15,60,62,83,145,305,512,441,1645,3,15,31,32,30,35,26,16,20,206,195,331,543,440,389,333,449,412,351,3440,2229,6452,13143,13214,11108,9364,8321,4700,2053,70575
SED27708,39,24,88,118,142,265,665,845,522,2708,0,5,40,42,24,37,31,16,10,200,245,195,465,512,516,530,634,534,341,3963,1592,3124,7406,7558,8531,9271,8441,4343,1819,52088
SED27807,21,45,211,400,595,875,1516,1468,644,5766,8,34,268,290,409,561,549,425,282,2826,290,444,1212,917,702,645,622,537,392,5756,1608,5403,13119,10032,8744,8591,7340,4135,1793,60767
SED27907,26,8,93,91,143,239,665,685,338,2289,4,9,21,29,43,65,103,136,45,472,149,177,493,409,373,341,334,306,130,2703,1506,3823,9907,9123,8587,8003,6477,3370,1114,51909
SED28007,14,24,96,145,233,562,1042,805,293,3210,0,11,56,85,131,252,222,195,96,1052,180,186,477,486,394,339,278,188,66,2601,2242,5562,10623,11673,11930,9376,5615,2449,806,60268
SED28107,39,66,232,308,336,509,616,484,165,2752,4,51,193,207,230,269,195,108,43,1293,441,671,1955,1607,712,498,381,194,68,6522,2702,8825,25631,26972,12751,9261,5691,2177,521,94520
SED28203,18,28,142,316,428,718,1835,1919,792,6201,3,37,123,180,226,367,496,558,314,2307,199,301,836,677,510,402,419,335,140,3817,1605,5173,13758,13541,8861,7316,6584,4257,1573,62661
SED28301,9,5,23,28,68,164,431,620,428,1778,3,4,31,40,47,79,92,131,95,516,78,96,178,218,276,237,278,295,196,1851,1374,3844,5715,8022,9166,8471,6488,4330,1769,49174
SED28408,46,51,95,100,149,234,503,608,462,2251,0,17,32,24,39,19,35,18,8,191,163,217,453,378,397,405,420,403,310,3149,1508,3884,8375,7525,7703,7576,6767,3994,1815,49151
SED28507,48,75,246,249,295,416,670,665,325,2990,15,45,196,274,310,224,141,111,67,1383,283,377,1056,902,569,449,425,359,250,4666,2044,5741,15922,15123,10066,8407,5955,2891,1115,67262
SED28607,11,10,50,70,109,241,595,970,611,2665,0,16,26,58,63,108,188,280,201,930,130,147,566,466,411,303,310,280,235,2854,1218,3501,10700,12526,11006,8291,5372,3245,1658,57518
SED28704,22,28,98,150,161,284,583,566,254,2142,8,11,55,60,63,52,84,63,22,415,236,204,603,575,460,384,339,234,98,3127,2412,5798,14742,16889,13245,9775,6869,2991,834,73557
SED28803,61,128,502,817,840,905,1126,725,206,5315,16,76,276,395,464,680,481,339,127,2862,391,418,1237,1106,703,535,373,198,113,5069,3279,8949,22972,22209,14705,11551,6505,2487,674,93333
SED29494,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
SED30001,12,21,64,122,185,241,364,376,205,1594,0,20,119,118,130,122,106,37,30,683,160,213,581,459,356,258,222,195,133,2572,1604,3874,10026,10159,7590,6339,4407,1897,680,46569
SED30002,9,0,16,26,55,104,273,588,400,1459,0,9,10,26,23,42,38,26,30,204,64,96,259,223,200,176,204,270,312,1791,1319,3163,6527,7822,7189,6192,5047,3420,1782,42468
SED30003,20,18,59,82,122,190,460,578,233,1748,4,9,36,33,27,36,25,17,15,195,132,192,422,410,354,259,285,329,254,2632,1760,3639,7400,8287,7981,5926,4976,3069,1086,44120
SED30004,8,3,25,51,50,127,229,233,138,870,3,3,15,26,12,20,25,13,8,133,195,187,480,522,575,560,372,246,97,3239,1464,2531,6101,7906,8691,8004,5839,2571,702,43804
SED30005,22,22,56,64,96,192,361,439,215,1462,0,9,47,51,30,39,37,38,22,271,191,357,678,486,517,480,516,546,400,4171,1506,4557,8556,7067,7284,7152,6103,3706,1390,47315
SED30006,12,3,13,32,57,118,310,437,248,1218,0,0,8,14,24,14,34,32,16,153,138,136,290,310,433,414,543,453,232,2946,1108,2209,4002,5244,7058,7449,7821,4944,1534,41373
SED30007,10,6,16,17,46,63,178,355,230,926,3,4,14,6,19,11,6,5,13,85,194,225,403,322,274,221,262,291,323,2513,1941,3552,6508,7047,7445,6020,5291,3657,1643,43098
SED30008,0,3,18,20,42,89,200,328,304,1011,0,0,22,16,15,19,23,20,15,126,99,161,443,342,291,218,188,143,102,1983,1302,3950,9578,9742,8314,5893,3688,1790,908,45168
SED30009,28,26,53,101,173,277,735,1231,706,3335,0,21,54,30,48,55,30,58,23,320,168,184,470,368,410,403,412,515,298,3236,1472,2998,6095,5370,5710,6161,6001,4529,1820,40154
SED30010,36,25,104,224,253,331,488,451,207,2119,6,28,79,86,123,121,105,40,19,608,330,385,969,748,536,404,283,168,76,3903,2224,5290,12318,10003,7653,6201,4179,1919,551,50350
SED30011,12,24,47,84,145,248,562,730,349,2198,0,3,41,22,33,26,29,27,23,203,351,739,1814,1294,1278,1077,567,359,134,7619,1434,3242,8192,7373,7550,7366,5240,2619,887,43897
SED30012,9,5,20,39,63,113,195,320,196,955,0,3,12,13,13,7,18,17,18,98,96,187,557,427,375,313,327,321,258,2859,1063,2753,7334,7191,6768,5789,5241,2968,1217,40323
SED30013,10,9,60,70,134,292,840,875,292,2581,0,3,14,24,18,23,33,28,15,156,144,137,359,422,566,703,667,372,103,3459,1120,1705,4090,4958,6784,8785,8542,4088,878,40953
SED30014,18,24,84,161,168,240,348,413,279,1730,4,13,51,89,123,84,72,55,23,523,335,587,1448,994,910,808,683,423,218,6402,1506,3626,8954,8054,8280,7434,5591,2855,1172,47474
SED30015,15,11,57,81,148,326,816,1034,391,2891,0,9,11,9,16,30,30,25,15,150,321,356,857,690,777,798,691,511,192,5184,1394,2521,6196,5972,6437,6947,5692,3202,960,39316
SED30016,20,10,33,39,80,154,366,632,349,1679,3,4,7,13,4,18,22,19,12,101,114,126,334,358,379,370,371,337,196,2594,1353,2812,6257,6687,7337,7477,7171,4193,1435,44732
SED30017,14,7,49,50,83,126,428,518,217,1500,0,0,17,15,18,20,27,28,8,129,78,95,277,240,236,228,234,249,314,1962,1360,2759,6398,7001,6712,6633,5592,2601,967,40015
SED30018,4,7,11,21,39,90,247,400,235,1051,0,3,13,18,15,33,36,37,17,174,59,90,214,247,187,163,148,138,84,1334,1268,3073,6120,7885,7422,5989,4459,2306,810,39337
SED30019,3,3,28,37,44,76,149,236,163,746,0,3,23,20,18,11,11,19,25,145,87,268,659,437,347,291,244,185,137,2648,1209,4865,11571,8800,7962,6265,4142,2274,973,48066
SED30020,20,16,35,64,111,245,576,830,256,2159,0,4,15,21,22,18,22,11,13,134,210,205,430,393,463,490,437,355,239,3207,1603,2921,6327,6528,7189,7296,5766,2965,886,41468
SED30021,65,35,80,99,157,357,633,598,244,2268,8,5,38,19,32,31,58,58,33,286,300,396,1060,793,879,854,649,343,104,5383,1714,3041,7376,6277,6844,6724,4875,2417,623,39893
SED30022,33,23,76,123,119,208,362,266,108,1316,11,10,37,44,44,37,29,19,6,241,303,389,1102,832,607,343,230,144,37,3987,2498,5885,14557,13146,10442,7056,4790,1942,397,60719
SED30023,7,0,5,17,19,23,86,183,132,483,0,0,18,3,16,12,15,17,13,97,53,108,281,216,222,167,108,92,38,1291,1450,4210,7305,7437,8089,5513,3842,2055,654,40561
SED30024,6,4,31,22,43,105,203,304,227,948,0,3,10,6,9,11,20,12,17,93,106,135,386,359,350,329,319,356,307,2646,1109,2425,5682,6278,6486,6448,5571,3007,1356,38364
SED30025,6,6,19,12,37,55,191,390,213,922,0,3,12,24,20,13,19,13,10,107,58,104,202,162,166,144,130,100,58,1131,1353,3402,6973,7637,7862,5989,4238,2246,733,40429
SED30026,18,7,28,24,44,58,169,341,264,959,3,0,13,24,23,17,19,16,12,125,91,200,267,235,175,153,154,130,117,1511,1380,3308,6988,8060,7543,4877,4007,2274,1043,39468
SED30027,18,12,29,54,78,143,292,362,152,1140,0,4,12,18,21,29,29,23,12,136,123,133,320,341,317,243,284,238,158,2166,1321,2785,6334,6953,6932,6033,4742,2853,922,38874
SED30028,20,13,43,66,114,194,394,436,204,1487,4,4,9,14,26,17,23,15,4,115,169,183,475,495,513,450,303,204,103,2898,1392,2732,6525,6737,7155,6483,4068,1784,576,37452
SED30029,17,21,48,55,65,131,392,490,194,1406,0,6,7,14,22,16,13,20,10,105,159,142,423,472,458,432,422,260,114,2880,1265,2246,5288,5958,6977,7456,6704,3121,860,39866
SED30030,7,4,15,22,39,80,166,273,225,837,0,5,25,17,28,29,25,24,20,168,73,162,423,287,239,213,204,160,151,1921,1194,4344,10020,8658,7238,5137,3441,1902,1029,42969
SED30031,17,9,46,60,109,236,391,392,123,1378,0,7,12,16,9,10,23,21,6,113,226,316,711,710,586,652,413,266,132,4001,1138,2436,5652,5501,5072,4929,2979,1440,419,29566
SED30032,16,15,40,74,151,292,783,943,398,2720,0,3,5,14,18,27,35,31,7,148,217,139,436,470,582,651,602,434,169,3708,1468,2179,4944,5526,7029,8807,8412,4204,1196,43765
SED30033,19,22,57,81,140,259,774,1000,474,2831,3,0,9,14,20,31,30,33,13,162,136,128,303,328,403,466,694,739,378,3568,1237,2111,4601,5074,6213,7918,9629,6161,1988,44937
SED30034,17,32,106,112,137,319,690,916,473,2796,3,6,43,27,38,55,58,37,32,302,353,263,797,705,836,843,815,535,284,5435,1432,2312,6102,6150,7333,8792,7925,4111,1436,45595
SED30035,13,9,38,45,101,209,474,612,286,1791,3,7,15,13,14,22,19,23,16,132,152,190,513,526,529,430,365,254,105,3067,1261,2787,7002,6727,6271,6389,5034,2374,760,38607
SED30036,53,54,204,356,393,493,491,492,232,2758,7,31,168,205,335,369,235,115,74,1530,231,281,810,681,480,426,294,224,128,3558,2050,4816,10636,9366,8238,6756,4419,2459,942,49680
SED30037,24,24,51,74,112,234,478,688,327,2013,6,7,28,22,47,56,28,19,13,227,146,172,419,406,339,287,260,285,271,2588,1401,3230,7461,6701,6205,5734,4109,2442,1081,38362
SED30038,35,24,67,99,138,210,514,748,317,2154,0,7,16,16,35,32,36,23,16,174,225,332,515,421,383,308,274,258,122,2838,1743,3694,7371,6887,6901,6312,4658,2540,744,40847
SED30039,20,12,46,78,110,147,275,257,67,1014,8,11,33,30,50,68,46,31,22,286,162,209,466,472,389,211,163,93,16,2180,2080,4248,10287,11813,9279,5848,3409,1267,240,48472
SED30040,15,5,23,35,53,98,308,545,353,1432,3,4,12,11,21,13,14,16,5,100,125,140,357,323,306,302,341,411,362,2660,1372,2663,5727,6454,6935,6429,5839,4221,1793,41430
SED30041,15,6,38,87,110,183,518,793,299,2045,3,4,20,21,21,37,19,15,15,143,184,224,572,567,602,580,368,300,167,3573,1497,2696,6266,6670,6762,7446,5863,3136,981,41311
SED30042,14,11,49,59,101,135,378,450,185,1383,4,7,31,29,26,29,24,19,8,178,163,160,377,347,318,250,220,172,67,2073,1825,3774,7785,7872,7825,6115,4498,2124,598,42418
SED30043,19,18,71,99,177,291,785,900,322,2692,6,10,67,57,38,46,36,26,4,289,237,217,458,445,472,440,389,305,135,3115,1627,3016,6413,6400,6952,7044,5551,2828,779,40616
SED30044,25,17,73,97,156,206,477,480,178,1709,5,12,50,60,84,91,68,54,12,426,240,300,708,559,491,377,317,282,103,3376,1971,4466,9985,8444,7873,7121,5288,2606,695,48439
SED30045,13,4,33,42,91,135,379,551,318,1561,0,6,15,20,29,14,18,25,17,146,88,104,258,292,309,264,264,299,275,2148,1252,2784,6136,7734,8123,6738,5071,2980,1312,42138
SED30046,31,14,82,127,193,210,514,484,238,1885,4,14,46,65,62,51,47,33,13,338,270,325,751,598,510,381,326,275,104,3530,1799,4011,9062,7935,7410,6433,5429,2907,884,45870
SED30047,17,15,43,70,101,237,568,836,435,2327,0,3,15,20,29,25,27,23,10,161,215,331,777,750,684,644,455,434,317,4607,1468,3498,7338,7227,7319,7150,5231,3086,1358,43671
SED30048,4,5,21,14,28,27,65,97,75,326,0,7,24,25,9,22,7,7,4,112,141,329,536,304,226,180,211,183,112,2213,3349,8862,10759,8545,7109,5129,4246,2431,833,51257
SED30049,10,11,26,49,79,121,274,494,291,1342,5,12,46,34,51,46,59,45,35,331,121,174,347,301,246,247,165,220,182,2003,1666,4028,8077,9035,7679,5561,3941,2650,1136,43773
SED30050,12,13,20,28,45,109,231,377,232,1071,0,0,25,12,14,18,11,13,5,102,127,214,529,438,502,480,475,436,345,3555,1067,2874,6690,6029,6585,7596,6835,3766,1455,42890
SED30051,26,31,61,83,153,307,889,924,426,2913,4,5,13,11,27,21,47,29,18,172,170,169,336,370,430,525,637,452,211,3287,1287,2281,4603,5214,6536,8547,9104,4353,1203,43133
SED30052,6,19,54,44,56,64,117,161,105,607,0,21,68,38,43,23,22,25,9,257,133,597,1635,921,500,439,325,242,159,4952,1831,8750,21478,11286,7141,5691,3795,1858,700,62535
SED30053,6,9,22,28,48,103,206,258,162,838,0,3,23,22,23,23,29,23,29,169,116,203,600,378,323,302,278,303,272,2772,1428,3838,8649,7586,7094,5826,5117,2914,1147,43599
SED30054,7,7,18,33,61,64,125,232,195,741,6,9,23,38,27,33,23,16,15,171,51,106,282,238,211,224,155,132,102,1496,1189,3892,7389,7732,7091,5413,3662,2043,964,39373
SED30055,12,17,42,50,105,278,693,774,220,2194,3,12,11,13,9,24,20,24,17,125,292,267,719,811,866,835,587,310,99,4786,1450,2550,5935,6534,6861,7286,5246,2276,559,38694
SED30056,3,4,12,25,23,31,86,163,108,452,0,6,4,3,10,7,19,10,8,77,48,60,98,137,140,144,159,248,310,1355,1370,2512,3680,6949,8106,6146,4814,2940,1182,37695
SED30057,29,30,91,136,197,263,592,701,321,2377,6,10,51,42,44,39,37,30,17,280,229,343,667,537,455,386,440,395,312,3751,1907,4046,8332,7103,7068,6518,5582,3177,1174,44904
SED30058,10,7,16,35,76,133,205,286,187,953,0,7,29,37,43,75,59,28,23,305,55,77,193,216,181,181,205,230,196,1534,1240,2784,6327,7736,7055,5982,4939,2629,1104,39788
SED30059,8,8,22,45,43,107,249,314,156,964,0,10,11,22,18,11,17,10,10,120,153,164,325,426,350,320,315,340,323,2725,1519,3155,6234,8335,8580,7027,5517,3140,1134,44638
SED30060,33,9,60,85,119,204,380,443,158,1498,6,5,40,47,69,80,48,44,14,350,313,294,730,696,605,455,387,268,145,3889,1743,3241,7505,7490,7438,6239,4732,2163,593,41146
SED30061,16,28,66,107,116,162,301,493,248,1546,8,12,43,44,44,50,32,16,9,253,324,858,758,486,430,382,296,309,262,4090,2230,5485,7311,6293,6340,5606,4012,2471,973,40725
SED30062,17,16,63,69,121,190,418,479,251,1615,4,3,32,25,50,58,48,19,9,251,140,192,560,524,346,253,267,268,304,2846,1806,4395,11194,10561,8054,6026,4772,2666,1091,50562
SED30063,16,19,49,101,166,401,996,1153,473,3372,4,6,23,12,21,31,38,26,25,185,249,216,476,511,639,767,783,578,172,4392,1405,2256,4879,5196,6647,8058,8179,4255,1151,42025
SED30064,18,13,22,58,83,151,310,519,344,1515,8,3,11,14,27,30,33,17,9,151,126,137,308,405,410,377,360,301,254,2673,1294,2383,5271,5990,6787,6866,6011,3380,1281,39257
SED30065,8,4,18,34,43,92,250,396,225,1079,7,8,10,11,9,14,11,11,4,89,117,99,253,411,332,298,285,235,138,2176,1294,2190,5413,7776,7955,7316,6750,3468,1085,43245
SED30066,13,11,12,18,46,97,213,306,191,910,0,8,5,11,14,10,6,13,10,80,103,103,293,350,430,416,407,406,324,2827,952,1670,3596,5198,7164,8004,7823,4363,1386,40154
SED30067,8,14,48,51,108,152,303,465,290,1433,0,7,28,45,44,39,33,31,25,269,111,191,546,378,290,227,203,162,126,2243,1179,3764,10371,9183,7229,5708,4120,2173,1070,44798
SED30068,6,3,15,20,44,84,266,473,243,1153,0,3,5,12,23,18,14,16,7,95,67,84,140,156,204,235,283,292,253,1705,1282,2243,3280,4920,6562,6637,5895,3643,1412,35866
SED30069,9,11,30,55,72,99,279,441,157,1156,5,3,22,28,19,39,31,15,6,174,101,126,278,292,319,219,223,163,71,1796,1541,3092,6486,7858,8231,6701,5051,2332,566,41863
SED30070,15,7,52,54,119,235,679,947,324,2432,0,0,18,17,23,21,21,20,16,137,133,123,261,273,342,383,551,454,227,2751,1131,2064,4507,4937,5892,7576,9731,5806,1472,43115
SED30071,22,10,36,63,123,197,481,726,372,2040,0,6,12,14,26,39,29,28,26,178,130,153,322,375,447,444,456,427,310,3071,1343,2329,4533,6147,7790,7976,7748,4349,1628,43845
SED30072,16,4,34,66,91,160,431,595,335,1729,7,0,11,18,19,19,18,16,11,116,103,93,211,269,323,343,399,313,180,2233,1460,2758,5350,6171,7173,7626,6958,3948,1361,42800
SED30073,21,25,68,112,170,271,600,909,517,2684,3,9,38,31,35,30,40,26,19,237,251,299,598,629,514,423,402,403,328,3862,1670,3594,7563,6756,6215,6080,4678,2908,1389,40847
SED30074,10,14,31,49,79,148,451,672,332,1789,0,11,24,39,32,63,37,30,17,244,67,102,259,254,252,237,249,282,254,1952,1220,2728,6709,8097,7531,6361,5126,3109,1281,42167
SED30075,17,8,39,82,129,232,659,725,329,2224,0,0,14,13,14,25,30,25,11,135,226,145,424,492,549,508,497,394,208,3437,1553,2308,5119,6534,7954,7904,6786,3437,1069,42664
SED30076,3,16,48,47,65,99,190,277,140,882,0,12,56,37,26,37,49,54,57,323,268,600,1287,705,504,350,300,192,114,4330,2105,8732,17450,9784,7454,5525,3690,1856,734,57330
SED30077,16,13,48,76,167,284,757,954,459,2771,3,6,22,17,25,38,44,43,23,211,198,198,482,427,530,642,628,528,207,3839,1289,2256,5030,5033,6189,7303,6973,3983,1323,39376
SED30078,11,16,43,50,96,163,261,390,227,1253,3,0,31,33,28,38,37,28,24,217,201,317,658,521,506,460,458,523,484,4121,1582,4401,8390,7159,7328,6439,5771,4006,1726,46806
SED30079,8,3,33,41,60,122,268,354,148,1037,0,0,21,25,40,34,29,35,6,183,110,84,215,268,241,203,214,150,85,1571,1365,2734,6501,8270,7245,5927,5064,2288,638,40025
SED30080,14,3,34,44,73,107,222,465,319,1286,0,4,34,43,37,32,31,22,19,220,110,191,528,372,271,216,209,245,309,2452,1333,4368,10089,8692,7501,5483,3793,2495,1392,45152
SED30081,12,5,76,103,177,243,411,455,213,1696,3,19,96,136,106,147,134,86,77,807,117,171,454,429,289,247,230,165,104,2209,1440,3974,8938,9454,6900,6390,5092,2449,910,45539
SED30082,6,14,42,58,54,104,226,316,193,1012,3,7,31,25,32,28,32,24,24,203,179,424,1229,755,705,812,737,503,174,5520,1079,3729,9181,6901,7370,7807,7177,4227,1264,48741
SED30083,16,10,36,70,87,127,262,283,100,988,8,3,15,34,27,32,28,20,10,178,180,161,368,397,360,246,185,160,82,2148,1813,3559,7450,9051,8545,6113,4330,2225,710,43793
