GCCSA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7GDAR,0,4,5,119,513,325,1511,1463,310,285,252,293,84,19,97,5283,3,0,4,8,24,11,18,7,10,12,0,0,0,0,0,93,0,5,23,46,36,29,33,23,5,22,15,17,12,0,5,274,3,3,11,22,27,46,222,103,47,26,33,72,17,8,9,645,0,0,10,34,62,42,138,236,131,119,131,111,31,3,18,1060,0,0,0,6,12,20,85,175,43,28,22,19,0,0,12,415,0,0,6,52,100,112,278,171,50,32,38,50,20,6,32,947,49,238,892,608,416,338,758,594,90,64,82,135,63,20,134,4482,0,0,25,50,35,55,81,84,8,15,24,16,21,3,6,425,0,0,0,64,156,101,157,237,90,75,68,89,50,7,44,1137,18,86,314,801,750,550,1220,1001,313,223,239,378,127,23,170,6221,151,694,2077,2878,3375,2799,7834,8126,2273,2225,2093,2336,858,169,1008,38891
7RNTE,0,0,0,16,95,107,223,252,70,53,75,98,40,11,50,1096,0,0,0,0,13,0,7,3,3,0,0,0,0,0,0,34,0,0,3,7,5,5,9,0,0,0,0,0,0,0,0,31,0,0,0,5,16,22,116,70,10,11,13,6,14,0,15,297,0,0,4,3,4,12,24,69,22,23,15,11,4,3,0,199,0,0,0,0,0,10,23,42,4,3,4,3,0,0,6,94,0,0,0,0,14,11,46,29,11,8,8,11,8,0,9,155,10,80,295,219,136,117,182,123,22,21,34,33,23,8,56,1370,0,0,19,23,23,43,50,97,33,45,74,123,107,108,15,756,0,0,0,12,19,19,29,36,9,11,17,35,10,0,14,217,5,21,70,107,126,160,630,314,120,92,85,117,91,41,74,2062,34,200,550,673,798,848,2384,2088,631,547,682,865,425,227,380,11338
79499,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,19,13,11,6,26,6,0,3,4,27,12,11,6,144,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,5,7,9,9,0,6,10,35,25,3,8,124,0,15,31,38,47,32,70,39,7,13,25,83,52,30,22,492
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,0,0,0,0,0,4,22
8ACTE,0,3,32,158,608,562,1107,1201,281,250,290,304,125,48,86,5051,42,39,71,84,430,121,103,62,10,11,15,8,5,0,18,1009,8,24,61,135,160,126,272,159,47,43,37,22,17,17,28,1166,0,38,57,185,217,330,690,453,56,84,62,100,28,17,23,2337,0,15,55,122,518,566,931,637,91,109,90,89,35,14,24,3306,0,0,6,15,60,90,161,183,47,36,38,23,10,3,15,688,0,6,14,81,166,219,477,308,53,71,65,67,25,8,44,1616,454,1573,3818,2554,1836,1219,2211,1221,180,153,164,151,99,54,312,15997,19,29,163,333,351,432,712,514,92,138,139,180,157,67,44,3369,0,5,21,552,839,592,745,559,153,154,134,126,68,4,127,4077,298,701,1836,2148,2359,2551,4444,3126,794,953,1100,1201,545,135,423,22603,1456,4609,9402,9483,12395,13088,28224,22096,5459,6487,6314,5704,2606,750,2479,130539
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,0,0,0,0,5,26,0,0,10,7,15,14,12,18,6,0,3,9,3,5,13,121
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,5,3,19,23,9,0,0,0,0,0,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,12,0,6,0,0,0,0,0,0,0,4,44,0,0,0,0,5,0,4,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,0,0,0,0,0,0,16,0,11,31,25,19,8,12,7,3,0,0,0,0,3,8,122,0,0,0,3,0,3,5,6,0,0,0,6,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,5,0,9,6,10,3,21,14,0,3,3,4,3,0,104,190,8,28,91,195,232,100,168,128,38,18,17,14,21,8,308,1382
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
