LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA16350,58,50,247,324,541,1145,1892,1252,531,6051,10,18,109,159,199,217,253,219,93,1286,712,994,2454,2134,1590,1240,1175,1018,699,12013,6394,14767,32953,31753,26832,23311,17400,8157,2713,164293
LGA16380,23,11,56,92,152,343,830,794,574,2879,0,3,12,17,19,32,33,27,23,168,214,213,418,441,460,568,740,724,520,4292,2136,3861,7641,8649,10445,12070,13175,8685,3412,70065
LGA16400,27,24,99,100,172,369,737,584,291,2390,4,10,17,21,31,29,33,25,14,190,188,185,391,388,461,545,768,727,343,3998,2001,3586,7049,7880,9267,10757,11057,6562,1860,60014
LGA16490,18,6,59,50,107,215,391,391,174,1409,0,5,16,25,18,25,39,46,36,207,142,163,551,462,410,449,370,206,86,2833,1382,3401,9344,9002,9198,8023,5278,2476,777,48881
LGA16550,8,13,61,56,110,246,589,839,553,2480,0,22,57,54,60,99,125,178,155,750,281,619,1673,1278,995,768,810,817,823,8069,2914,9487,24555,20342,17453,14066,10647,6892,3366,109712
LGA16610,6,7,31,42,67,166,326,322,199,1163,0,0,8,8,3,7,11,16,10,56,138,139,244,287,277,300,300,257,146,2088,706,1210,2290,2331,2813,3330,3290,1853,765,18582
LGA16700,8,13,54,97,132,321,667,731,525,2527,7,25,148,118,110,192,177,210,170,1151,164,362,1117,886,569,592,485,467,482,5120,2382,8602,23699,21245,15214,13967,10467,5831,3106,104523
LGA16900,23,25,71,97,141,433,895,715,364,2763,5,9,21,24,42,56,73,104,62,395,186,190,438,430,358,386,442,523,428,3385,2242,4582,9586,9336,9674,9662,7818,4448,1691,59038
LGA16950,40,26,97,130,227,580,1295,985,645,4022,4,10,14,31,36,47,62,61,40,304,406,398,1042,946,937,975,1086,978,516,7282,2538,4754,11031,11121,12291,16083,17079,9824,3504,88218
LGA17000,8,11,34,29,57,110,195,150,98,701,3,0,3,13,4,13,6,9,3,59,146,139,206,171,190,197,159,88,26,1316,951,1547,3218,3030,3337,3076,2155,1033,353,18697
LGA17040,5,0,24,16,36,90,174,166,81,602,0,0,5,0,5,6,17,18,11,66,90,100,324,243,249,255,206,144,74,1682,548,1149,2803,2475,3013,3181,2449,1349,483,17455
LGA17080,0,0,14,25,57,98,177,158,101,626,0,5,5,0,4,4,16,9,0,47,58,60,164,187,174,176,166,180,79,1245,366,659,1468,1689,1835,2209,1915,1143,399,11684
