LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA12700,1267,2519,20,112,89,425,39,185,592,2371,743,3093,42,178,52,171,281,881,375,1243,1119,4329,4,13,27,93,20,71,123,321,177,502,17,47,16,30,137,289,170,369,349,869,28,61,2759,7781
LGA12730,1055,2092,16,105,92,425,32,126,418,1666,551,2326,23,100,53,164,135,428,218,700,769,3028,6,20,25,73,22,67,113,316,161,474,6,22,18,42,112,242,140,310,297,784,35,69,2160,5969
LGA12750,6400,12780,52,286,290,1338,128,602,1544,6111,2023,8339,133,540,193,620,723,2250,1046,3414,3071,11750,28,140,127,465,75,291,667,1802,903,2700,47,145,114,240,667,1422,820,1808,1722,4510,120,251,11318,29288
LGA12850,13091,27261,842,5163,2809,14239,813,4118,10025,42046,14489,65561,2233,10325,2121,7819,7754,27281,12112,45422,26596,110990,251,1269,865,3383,408,1603,3086,9200,4610,15460,726,2645,1122,2839,5758,14174,7607,19663,12217,35122,1229,2738,53134,176104
LGA12870,1839,3663,19,101,133,592,49,213,590,2394,796,3300,45,179,63,209,237,725,349,1111,1143,4415,6,22,33,122,14,59,177,481,233,691,16,42,38,77,192,400,246,519,476,1206,30,61,3490,9345
LGA12900,1096,2173,26,122,89,400,34,145,487,2030,632,2695,32,133,53,165,146,451,233,753,861,3449,5,19,25,88,22,89,180,530,240,732,11,32,35,69,150,320,194,424,431,1156,31,66,2414,6839
LGA12930,14273,29204,234,1330,1745,8107,323,1502,9834,37772,12138,48718,1305,5684,2146,7676,4334,14384,7784,27746,19917,76462,52,261,332,1143,130,455,1615,4265,2132,6127,347,1169,769,1803,2803,6377,3922,9348,6053,15475,904,1979,41152,123123
LGA12950,512,1020,6,34,39,173,12,52,209,823,262,1082,15,59,23,74,62,188,101,317,364,1398,3,15,14,42,8,39,102,305,126,389,8,28,8,19,65,145,82,196,207,586,20,35,1102,3038
LGA13010,1179,2338,17,87,77,358,21,120,338,1337,453,1898,24,96,47,145,142,445,208,682,664,2580,3,27,21,90,15,50,177,485,216,654,9,25,32,55,143,308,177,397,403,1052,32,74,2271,6034
LGA13310,3552,7133,78,450,261,1234,161,765,1702,6703,2205,9148,109,467,195,653,650,2082,955,3202,3163,12349,24,111,63,227,80,293,604,1707,766,2329,37,115,106,237,537,1143,681,1498,1447,3829,107,222,8268,23538
