LGA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
LGA20740,0,0,0,4,0,0,0,0,4,0,0,3,0,3,0,0,0,12,0,22,38,77,99,348,244,131,968,0,24,36,77,107,348,244,131,978,1553,1567,1843,2090,2821,2942,1387,287,14493,123,103,145,167,190,227,152,92,1204,1679,1699,2025,2339,3122,3523,1787,504,16670,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,8,14,46,24,13,9,126,0,9,9,14,46,24,13,9,125,1472,1750,2053,2308,3289,3406,1650,602,16526,120,130,155,151,214,241,193,99,1296,1592,1886,2215,2480,3549,3664,1852,706,17951,0,0,0,4,0,0,0,0,4,0,0,3,0,3,0,0,0,12,0,27,46,94,149,373,265,140,1090,0,30,50,94,157,373,265,140,1107,3023,3314,3893,4400,6112,6348,3038,889,31014,249,232,295,318,406,466,340,188,2500,3273,3585,4242,4815,6672,7185,3641,1218,34626
LGA20830,3,4,0,0,0,0,0,0,15,0,6,4,4,6,0,0,0,27,3,61,76,108,167,357,251,146,1160,9,72,78,119,177,357,251,146,1200,2860,3123,2894,2990,3218,2924,1559,332,19901,179,176,211,202,194,178,130,64,1335,3046,3377,3186,3304,3583,3461,1935,537,22429,0,4,0,5,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,16,23,25,43,31,14,7,154,11,13,23,27,43,31,14,7,163,2881,3517,3165,3415,3764,3404,1839,699,22681,162,225,197,176,185,189,158,104,1387,3052,3758,3378,3620,3989,3618,2008,817,24236,6,3,0,5,0,0,0,0,19,0,8,4,4,8,0,0,0,29,8,78,91,135,207,385,258,156,1315,19,85,101,140,220,385,258,156,1365,5740,6637,6056,6406,6982,6324,3397,1037,42587,339,405,408,379,379,365,284,163,2721,6098,7130,6567,6921,7577,7078,3940,1359,46666
LGA20910,4,4,4,7,0,0,0,0,18,11,12,12,12,8,0,0,0,51,12,31,83,164,170,411,360,289,1520,25,42,102,182,179,411,360,289,1590,6170,3610,5131,7196,6360,4559,2570,807,36402,162,153,203,264,167,163,173,129,1415,6359,3806,5443,7639,6700,5125,3097,1225,39406,0,0,0,5,0,0,0,0,5,3,0,0,8,7,0,0,0,13,4,0,10,33,47,27,17,45,183,5,0,9,39,51,27,17,45,200,5661,3952,6144,8325,7094,5691,3587,1866,42321,145,150,209,253,195,234,233,285,1709,5810,4101,6372,8621,7337,5952,3838,2201,44233,4,4,4,9,0,0,0,0,21,14,12,15,12,9,0,0,0,60,13,35,97,197,212,437,375,335,1706,34,45,114,217,230,437,375,335,1782,11837,7554,11278,15520,13457,10250,6152,2668,78725,309,300,417,521,356,396,403,415,3121,12177,7912,11814,16260,14041,11081,6937,3422,83632
LGA21010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,4,10,18,26,69,124,88,66,408,5,13,18,31,73,124,88,66,415,644,621,570,706,959,941,518,123,5085,71,63,56,67,81,91,52,25,504,718,693,637,805,1118,1157,662,219,5999,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,9,13,10,8,4,53,0,5,6,9,17,10,8,4,55,565,631,639,845,1138,1103,640,289,5854,65,63,62,68,84,72,81,54,546,636,694,712,925,1237,1189,728,345,6459,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,4,10,25,34,81,137,97,70,457,5,14,24,37,88,137,97,70,465,1212,1253,1209,1549,2104,2050,1159,407,10938,135,128,118,133,164,159,130,82,1050,1347,1389,1350,1725,2350,2342,1392,566,12460
LGA21110,5,6,14,13,0,0,0,0,37,19,41,21,19,23,0,0,0,123,15,68,103,234,235,450,457,382,1943,39,116,138,259,263,450,457,382,2099,11958,9897,9021,10403,9379,6745,3707,1304,62408,331,417,315,350,275,221,180,136,2222,12329,10424,9469,11016,9915,7420,4347,1820,66732,4,0,5,3,0,0,0,0,12,0,5,3,3,4,0,0,0,14,5,12,13,38,39,34,13,33,195,10,18,18,49,49,34,13,33,219,11583,10228,10606,12407,10539,8211,5194,2799,71570,340,372,307,341,247,262,277,305,2445,11929,10620,10937,12800,10831,8499,5479,3143,74237,7,6,16,17,0,0,0,0,47,23,45,22,21,24,0,0,0,135,19,81,114,269,278,486,470,415,2135,47,129,157,308,305,486,470,415,2322,23539,20120,19626,22818,19919,14951,8903,4101,133977,669,789,623,691,522,480,456,441,4668,24255,21044,20408,23812,20747,15917,9829,4961,140967
LGA21180,7,8,11,6,12,0,0,0,45,10,16,14,11,4,0,0,0,56,15,61,89,123,173,335,203,87,1086,26,93,117,143,191,335,203,87,1189,11756,14487,12122,10976,10624,8048,4081,1154,73247,918,1368,1002,731,587,447,360,148,5558,12694,15946,13239,11849,11396,8831,4643,1391,79991,4,6,6,7,3,0,0,0,26,0,0,0,0,0,0,0,0,3,3,5,10,25,34,21,11,8,109,5,17,18,28,36,21,11,8,140,11098,13492,12309,12018,11156,8996,4709,1950,75735,726,1101,852,657,516,456,357,313,4980,11835,14610,13179,12708,11706,9475,5071,2271,80858,7,18,18,14,15,0,0,0,73,9,17,21,9,6,0,0,0,62,20,70,97,146,215,354,211,94,1198,32,103,128,169,229,354,211,94,1330,22852,27983,24432,22998,21777,17049,8786,3101,148979,1645,2467,1857,1389,1101,901,713,465,10537,24536,30553,26419,24555,23114,18308,9714,3664,160852
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,51,16,22,114,0,0,0,17,19,51,16,22,117,288,245,222,356,478,436,223,65,2316,40,28,23,41,45,51,29,16,270,334,272,253,408,533,531,267,106,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,21,0,0,0,3,6,0,0,3,21,219,258,222,363,473,386,241,142,2299,19,23,20,32,35,27,38,38,226,234,276,237,397,516,416,285,182,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,56,14,25,139,0,0,0,17,21,56,14,25,139,502,497,444,722,951,815,462,202,4606,60,46,39,74,83,74,72,53,505,568,550,490,805,1051,945,547,286,5241
LGA21370,0,0,0,0,0,0,0,0,8,0,5,5,0,0,0,0,0,13,9,12,24,76,117,251,188,120,801,9,21,30,74,118,251,188,120,815,1962,1725,1678,2130,2527,2153,1243,322,13732,154,152,126,183,180,186,138,70,1191,2127,1894,1834,2384,2822,2585,1573,507,15740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,17,24,20,11,5,92,3,7,7,17,30,20,11,5,97,1830,1856,1910,2380,2706,2378,1450,596,15094,134,138,133,134,157,166,169,164,1193,1962,2005,2050,2532,2891,2552,1629,766,16383,0,0,0,0,6,0,0,0,3,0,5,3,0,0,0,0,0,11,12,17,29,91,140,266,201,123,892,13,25,38,94,144,266,201,123,912,3788,3581,3583,4503,5235,4526,2696,914,28835,289,292,256,317,334,352,311,232,2382,4085,3902,3885,4918,5716,5143,3201,1273,32122
LGA21450,0,11,5,0,3,0,0,0,25,9,19,11,4,4,0,0,0,46,17,92,142,207,259,349,246,134,1452,30,126,163,217,263,349,246,134,1524,6935,8301,8077,6488,5114,3548,1822,404,40682,412,489,436,368,237,212,140,57,2352,7374,8915,8672,7063,5618,4103,2210,591,44553,0,3,0,3,0,0,0,0,10,3,3,0,0,0,0,0,0,10,0,16,31,35,62,38,9,16,212,5,25,32,39,63,38,9,16,232,6600,9173,8397,7017,5706,4339,2210,754,44196,368,492,405,340,275,222,207,138,2448,6974,9685,8841,7396,6045,4599,2430,902,46867,3,14,6,4,6,0,0,0,29,13,25,8,8,4,0,0,0,57,21,108,175,244,318,384,264,148,1662,32,147,190,256,333,384,264,148,1751,13538,17472,16474,13500,10820,7884,4036,1155,84871,779,980,840,705,514,432,341,198,4797,14348,18597,17514,14459,11663,8701,4640,1494,91426
LGA21610,17,43,40,10,6,0,0,0,118,15,40,37,16,18,0,0,0,126,29,173,256,388,543,674,459,264,2780,66,259,328,416,566,674,459,264,3027,23108,25215,27369,21002,16624,10179,4684,1151,129336,1268,1658,1393,965,736,481,335,148,6996,24449,27135,29092,22386,17923,11340,5468,1567,139362,3,20,5,4,3,0,0,0,39,5,6,3,6,3,0,0,0,25,9,24,30,87,79,72,24,24,358,15,54,44,97,86,72,24,24,419,21929,26963,27626,21801,17501,11684,5799,2328,135633,1080,1537,1240,966,690,563,418,291,6785,23017,28552,28909,22866,18281,12320,6242,2646,142834,21,60,42,17,15,0,0,0,158,25,47,38,24,14,0,0,0,147,44,201,286,472,622,749,482,283,3136,82,307,369,514,659,749,482,283,3441,45040,52174,54996,42806,34123,21862,10482,3484,264964,2347,3200,2635,1928,1424,1051,753,444,13780,47470,55683,58004,45253,36204,23658,11711,4207,282197
LGA21670,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,13,32,57,115,88,58,372,0,12,14,30,59,115,88,58,377,596,518,462,718,880,934,570,129,4805,51,45,46,90,69,74,63,23,464,652,574,526,843,1006,1115,714,210,5645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,9,19,16,3,0,48,0,3,8,9,21,16,3,0,55,541,571,542,773,1019,1052,637,258,5384,50,36,43,61,64,74,73,36,435,590,608,590,836,1098,1138,716,294,5867,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,3,5,22,42,75,128,88,57,420,3,9,22,39,79,128,88,57,429,1135,1088,999,1482,1895,1984,1209,389,10183,103,83,94,149,131,149,135,56,900,1238,1185,1108,1678,2111,2260,1433,501,11511
LGA21750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,20,30,63,132,92,63,409,0,10,20,33,63,132,92,63,413,1126,1201,1129,1254,1447,1266,661,150,8227,72,95,79,94,106,100,56,30,635,1204,1305,1230,1380,1612,1497,806,240,9276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,11,14,0,4,52,0,5,0,11,11,14,0,4,52,980,1194,1160,1329,1505,1450,758,364,8747,53,73,73,88,96,105,78,38,620,1036,1271,1238,1435,1613,1573,842,415,9412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,24,46,75,150,92,65,465,0,13,24,48,75,150,92,65,468,2108,2390,2287,2584,2946,2722,1421,515,16974,132,170,151,186,199,205,136,72,1251,2237,2573,2463,2814,3223,3071,1651,651,18690
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,25,53,96,59,51,292,0,5,5,27,53,96,59,51,295,799,742,707,910,1127,963,510,125,5883,102,72,57,87,76,74,45,39,553,907,818,774,1024,1257,1130,610,214,6731,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,7,11,0,3,9,38,0,6,0,7,11,0,3,9,41,679,699,757,976,1196,957,633,238,6137,90,49,63,67,63,61,74,62,529,772,757,815,1041,1275,1023,709,307,6705,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,8,28,66,97,64,54,335,5,8,8,32,66,97,64,54,337,1479,1444,1461,1880,2323,1922,1142,362,12019,191,119,116,151,140,134,120,102,1075,1679,1571,1591,2065,2536,2154,1322,517,13433
LGA21890,5,18,23,16,0,0,0,0,66,13,23,20,6,3,0,0,0,65,7,83,105,154,158,191,159,103,961,27,122,138,183,167,191,159,103,1097,7691,13091,11022,9360,6888,4451,2841,1227,56572,428,684,516,407,310,263,210,210,3018,8139,13897,11681,9948,7361,4900,3216,1543,60688,3,5,10,0,0,0,0,0,14,4,3,3,0,0,0,0,0,11,8,11,15,39,30,19,11,18,150,15,19,28,42,28,19,11,18,174,7630,14042,11717,10045,7649,5377,3851,2032,62332,362,635,466,362,280,272,283,367,3020,8009,14685,12205,10441,7959,5666,4143,2406,65528,9,22,27,16,0,0,0,0,83,15,24,16,13,3,0,0,0,77,16,92,123,196,188,206,169,123,1113,42,138,171,221,198,206,169,123,1269,15321,27133,22737,19405,14530,9829,6695,3256,118908,788,1314,985,761,595,534,489,574,6034,16148,28587,23888,20391,15323,10566,7356,3949,126214
LGA22110,3,4,3,5,0,0,0,0,13,0,6,0,0,3,0,0,0,13,3,27,52,110,199,516,368,201,1468,6,32,56,111,204,516,368,201,1496,1938,1889,1871,2291,3242,3601,1888,350,17067,203,173,197,214,281,293,213,98,1675,2146,2099,2122,2620,3725,4408,2464,640,20241,0,4,0,4,0,0,0,0,4,0,0,3,3,0,0,0,0,9,0,5,7,33,51,46,12,6,164,0,7,12,39,50,46,12,6,177,1800,2094,2179,2744,3730,3912,2164,705,19326,179,184,184,208,248,295,230,159,1682,1976,2284,2372,2992,4027,4258,2408,877,21189,3,3,3,4,5,0,0,0,22,0,6,5,8,7,0,0,0,23,3,32,60,140,245,560,381,205,1636,6,41,67,153,255,560,381,205,1671,3734,3980,4047,5041,6966,7515,4050,1055,36390,382,351,382,425,529,589,444,259,3359,4125,4378,4496,5618,7752,8664,4873,1516,41422
LGA22170,8,19,14,11,11,0,0,0,58,6,21,17,11,14,0,0,0,63,14,116,201,264,393,606,433,229,2248,22,156,231,284,418,606,433,229,2381,7605,8612,8791,8497,7338,5170,2606,731,49348,405,546,528,535,422,285,240,143,3096,8026,9306,9551,9322,8179,6062,3272,1106,54823,6,0,8,3,0,0,0,0,18,0,0,6,4,3,0,0,0,20,4,18,47,66,103,52,37,27,354,11,21,62,78,108,52,37,27,388,7116,9210,9588,9166,8323,6510,3599,1571,55091,431,541,498,416,321,290,329,312,3138,7557,9767,10147,9666,8752,6858,3965,1913,58620,13,24,23,13,11,0,0,0,78,4,21,18,18,19,0,0,0,82,17,136,249,325,496,659,466,253,2604,32,180,293,364,524,659,466,253,2769,14721,17816,18384,17668,15666,11681,6205,2304,104440,830,1083,1021,951,745,583,563,463,6239,15585,19076,19695,18983,16928,12919,7236,3017,113444
LGA22250,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,3,8,29,46,78,55,41,254,0,7,8,29,46,78,55,41,263,445,406,441,559,728,750,436,115,3863,44,32,54,43,52,69,26,24,358,487,440,495,633,826,898,524,179,4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,9,0,0,36,0,0,4,3,12,9,0,0,36,403,412,466,602,776,774,492,205,4130,47,28,46,52,55,65,55,27,363,444,440,512,662,846,848,543,234,4526,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,3,16,34,53,89,55,41,291,0,7,16,34,53,89,55,41,295,838,816,902,1154,1504,1525,929,319,7993,93,60,96,96,109,134,83,50,722,932,884,1013,1293,1670,1744,1068,409,9007
LGA22310,7,18,13,6,0,0,0,0,43,12,21,16,10,11,0,0,0,75,4,53,94,150,146,322,217,193,1186,27,96,125,172,154,322,217,193,1302,8695,10403,10092,9309,7402,5600,2790,1109,55398,323,535,364,271,203,206,139,92,2131,9044,11037,10579,9747,7756,6133,3136,1396,58836,0,3,3,0,0,0,0,0,9,0,0,0,3,3,0,0,0,9,0,12,17,31,42,22,20,35,178,9,20,22,36,47,22,20,35,200,8455,10900,10938,10316,8068,6594,3827,2272,61372,297,480,362,285,220,277,240,269,2431,8759,11399,11322,10630,8338,6896,4084,2577,64003,8,23,14,6,0,0,0,0,55,12,25,16,13,13,0,0,0,81,9,64,112,184,188,349,230,225,1362,29,116,147,208,201,349,230,225,1506,17153,21306,21029,19621,15473,12190,6616,3388,116771,626,1014,725,557,425,490,376,360,4562,17799,22436,21899,20378,16099,13025,7220,3979,122840
LGA22410,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,12,22,34,76,162,84,55,447,0,15,23,37,76,162,84,55,455,965,833,891,1169,1484,1319,617,145,7414,80,63,72,90,101,103,62,27,602,1042,910,990,1288,1668,1587,762,222,8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,14,8,0,62,0,0,0,17,18,14,8,0,67,848,896,973,1288,1548,1366,700,314,7932,57,56,88,74,88,98,71,63,597,905,959,1066,1377,1659,1480,781,375,8590,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,14,25,47,98,177,91,54,510,0,14,24,52,98,177,91,54,515,1811,1728,1862,2456,3031,2682,1320,453,15352,133,117,162,158,192,202,134,88,1195,1949,1865,2050,2667,3330,3059,1545,594,17065
LGA22490,0,0,0,0,0,0,0,0,5,0,3,5,3,0,0,0,0,10,6,12,42,99,96,120,72,28,468,4,19,45,106,96,120,72,28,485,1403,1210,1471,1676,1452,1179,429,65,8872,83,65,81,96,68,84,41,9,530,1495,1290,1603,1875,1617,1379,545,96,9891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,12,13,23,8,0,0,72,0,7,12,13,23,8,0,0,73,1235,1193,1661,1724,1515,1127,431,151,9047,82,54,81,81,79,57,31,10,470,1323,1258,1750,1818,1626,1197,462,161,9589,0,0,0,0,0,0,0,0,9,0,3,5,3,0,0,0,0,9,4,22,50,114,118,132,75,24,543,7,25,56,119,120,132,75,24,555,2641,2399,3130,3398,2965,2304,858,210,17917,164,120,160,180,150,141,68,21,1005,2813,2547,3348,3693,3234,2568,1007,258,19477
LGA22620,3,3,6,9,6,0,0,0,29,8,27,24,16,18,0,0,0,90,14,121,206,332,393,697,524,374,2671,19,154,237,362,415,697,524,374,2787,6690,6927,6330,6265,6350,5449,2755,657,41428,410,459,412,448,430,367,245,179,2953,7121,7547,6981,7072,7199,6518,3527,1212,47166,0,3,4,0,0,0,0,0,11,3,0,3,3,3,0,0,0,15,8,24,40,82,101,72,23,23,372,5,30,53,89,107,72,23,23,398,6774,7663,7221,7118,7590,6622,3592,1533,48124,361,454,417,394,398,334,355,333,3041,7142,8147,7693,7605,8098,7032,3970,1886,51561,3,4,12,12,6,0,0,0,38,11,27,29,17,22,0,0,0,107,21,149,248,418,497,769,546,390,3037,34,184,290,443,525,769,546,390,3189,13464,14594,13551,13385,13945,12074,6350,2189,89549,765,914,832,843,831,700,601,515,5999,14265,15687,14674,14673,15299,13545,7499,3097,98733
LGA22670,10,17,12,3,5,0,0,0,43,7,8,8,6,4,0,0,0,35,12,51,49,73,126,258,229,113,919,25,79,75,79,137,258,229,113,992,9764,13534,11010,8728,7726,5780,3336,1121,60991,633,1175,756,525,475,316,253,110,4247,10423,14783,11844,9338,8340,6356,3811,1346,66239,4,6,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,10,0,7,10,15,20,15,12,7,92,4,16,12,19,24,15,12,7,106,9028,12143,10537,8666,7888,6662,3983,1862,60773,532,838,644,451,397,333,292,189,3680,9565,12996,11202,9133,8304,7013,4288,2061,64563,9,16,21,4,9,0,0,0,60,8,18,8,6,8,0,0,0,36,11,63,59,90,148,278,238,119,1007,34,96,89,96,158,278,238,119,1107,18786,25670,21551,17394,15614,12437,7317,2986,121762,1166,2012,1401,981,874,658,540,304,7931,19987,27782,23041,18472,16646,13369,8102,3400,130795
LGA22750,12,10,17,14,10,0,0,0,63,16,44,30,25,30,0,0,0,144,34,237,345,522,772,1365,967,585,4825,64,284,390,564,812,1365,967,585,5032,15431,17450,15188,14402,13546,11885,6124,1768,95786,977,1426,1081,893,719,663,498,265,6528,16463,19168,16663,15855,15080,13910,7589,2619,107346,0,3,0,4,3,0,0,0,18,5,3,6,7,10,0,0,0,26,6,33,92,157,200,156,46,49,740,14,44,101,160,215,156,46,49,787,15030,18138,16868,16301,16260,14845,8380,3659,109485,790,845,782,660,609,767,689,526,5678,15832,19032,17750,17127,17086,15775,9113,4228,115941,16,16,21,20,7,0,0,0,80,22,45,36,30,39,0,0,0,174,42,269,434,674,973,1523,1014,628,5564,74,333,494,724,1029,1523,1014,628,5816,30456,35590,32052,30703,29802,26728,14509,5423,205271,1762,2278,1861,1559,1331,1433,1188,789,12202,32292,38200,34409,32985,32161,29684,16706,6844,223284
LGA22830,3,4,0,4,3,0,0,0,18,4,5,7,3,3,0,0,0,18,16,33,53,129,157,301,207,153,1061,30,44,58,141,165,301,207,153,1100,3741,3867,3537,3798,3675,2964,1644,414,23639,383,442,372,353,321,257,184,79,2387,4155,4353,3967,4288,4157,3524,2044,645,27123,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,6,7,7,4,36,39,22,18,7,137,8,8,4,39,41,22,18,7,146,3514,4181,3876,3944,4017,3436,1959,879,25807,289,355,321,261,289,237,239,113,2111,3810,4540,4207,4245,4344,3694,2217,1004,28064,6,4,0,4,3,0,0,0,21,4,4,7,8,8,0,0,0,26,22,45,61,166,194,325,226,157,1202,32,51,67,177,201,325,226,157,1243,7259,8049,7417,7735,7690,6402,3606,1294,49450,670,796,698,615,605,496,424,192,4493,7966,8899,8176,8527,8503,7214,4255,1649,55188
LGA22910,0,0,0,6,0,0,0,0,6,0,0,0,0,4,0,0,0,3,0,8,18,36,65,108,90,39,367,0,9,18,41,67,108,90,39,372,571,583,760,1062,1238,1217,500,103,6030,51,45,60,85,93,98,64,42,539,617,635,844,1188,1397,1426,651,183,6943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,17,4,3,58,0,0,3,14,13,17,4,3,59,524,606,826,1150,1423,1324,564,222,6628,46,62,72,81,97,114,88,61,616,569,661,901,1242,1529,1451,656,284,7309,0,0,0,6,0,0,0,0,6,0,0,0,0,7,0,0,0,7,0,12,27,47,74,122,98,43,422,0,10,27,55,81,122,98,43,430,1094,1181,1590,2214,2660,2542,1065,321,12659,97,109,135,165,187,211,147,108,1158,1192,1297,1748,2432,2927,2881,1311,467,14251
