LGA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA20740,6010,3104,3374,4059,4564,6096,6455,3382,1160,38205,3,0,0,6,16,19,19,4,3,72,6,3,3,3,6,5,6,0,0,41,189,248,239,199,258,369,324,117,50,1982,5,0,3,5,3,11,4,0,0,31,0,0,0,0,3,0,0,0,0,8,0,0,5,0,5,3,7,0,0,18,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,202,253,253,206,275,385,346,120,50,2083,209,258,254,210,291,403,362,123,51,2161,6218,3360,3627,4267,4855,6498,6821,3507,1210,40367
LGA20830,10741,5817,6838,6413,6701,7205,6568,3709,1298,55282,3,8,8,5,13,11,14,12,5,80,6,3,3,4,0,3,0,0,5,15,164,243,242,120,123,119,114,57,29,1206,0,0,6,4,6,3,6,0,0,24,0,4,0,0,0,4,0,0,0,5,0,0,0,0,5,5,4,0,0,11,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,247,254,125,132,132,126,57,35,1277,170,259,258,128,151,148,137,70,38,1353,10916,6073,7096,6539,6847,7353,6706,3770,1330,56635
LGA20910,17265,11712,7567,11486,15788,13440,10443,6582,3294,97583,9,9,5,7,8,10,13,8,7,84,0,18,17,5,7,17,10,3,3,80,261,265,258,206,215,217,165,138,66,1786,0,0,0,0,9,9,9,9,0,40,0,4,0,0,0,4,0,0,0,13,0,0,0,5,0,0,9,0,0,11,0,0,0,0,0,8,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,258,293,285,215,230,257,197,151,68,1959,275,305,290,226,239,266,214,157,80,2040,17540,12015,7856,11716,16027,13705,10659,6737,3373,99625
LGA21010,2006,1279,1315,1302,1657,2251,2213,1320,531,13882,3,3,5,0,8,7,6,0,10,34,0,3,7,0,5,13,0,0,0,33,52,54,66,58,53,62,53,23,13,436,0,0,0,3,4,4,0,0,0,11,0,0,0,0,0,4,0,0,0,9,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,61,74,68,56,81,60,23,13,492,55,66,76,70,60,87,67,25,23,525,2066,1342,1393,1367,1721,2341,2276,1345,555,14409
LGA21110,26326,23299,20254,19860,23180,19914,15138,9380,4778,162118,8,6,3,12,8,9,15,12,14,95,12,39,15,10,13,16,14,6,5,127,268,514,536,352,314,347,306,221,124,2976,4,11,7,10,12,8,16,4,3,71,0,4,3,0,0,0,4,4,5,23,0,4,3,4,0,0,5,0,0,26,0,10,8,5,5,0,5,3,0,36,0,6,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,288,585,584,381,343,384,343,235,135,3276,302,590,588,391,350,393,359,249,144,3371,26624,23886,20842,20252,23529,20303,15493,9629,4930,165491
LGA21180,33353,24063,29875,25920,24133,22679,17877,9460,3585,190940,21,19,17,20,33,31,48,36,12,241,0,10,11,14,9,8,6,3,0,55,382,358,541,445,370,288,225,146,78,2837,3,4,7,0,11,9,6,4,0,42,4,4,6,3,7,0,4,0,0,30,4,0,0,3,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,402,375,569,467,397,315,244,148,77,2996,419,393,587,488,425,353,298,187,85,3239,33771,24459,30457,26413,24558,23030,18172,9642,3673,194181
LGA21270,931,529,525,481,784,1014,903,523,274,5968,0,0,0,0,0,5,5,0,0,9,4,0,0,9,0,0,3,0,0,14,19,31,27,23,19,46,43,13,0,227,0,0,0,0,0,0,0,0,0,5,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,3,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,30,31,21,52,44,14,0,255,23,34,34,36,23,51,52,16,3,266,954,570,556,513,806,1067,958,542,278,6243
LGA21370,6472,3888,3746,3764,4748,5433,4739,3003,1222,37015,12,5,6,8,3,19,22,20,10,109,15,25,25,8,6,10,7,11,5,104,111,184,199,117,126,199,166,77,34,1202,5,0,0,3,3,6,3,0,0,20,3,3,3,0,0,0,0,0,0,10,4,0,4,3,0,0,5,0,0,13,3,5,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,131,213,235,128,143,223,176,83,38,1367,146,218,241,140,146,236,198,100,42,1477,6618,4105,3989,3901,4901,5676,4938,3102,1266,38493
LGA21450,26399,13881,18150,17205,14199,11260,8261,4410,1425,115199,4,11,9,14,19,16,15,14,7,108,3,3,12,7,5,7,7,4,0,45,308,398,338,211,166,159,118,52,32,1779,0,0,9,0,0,4,7,0,0,33,7,6,3,0,0,5,0,0,0,27,0,0,0,4,0,3,5,0,0,14,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,4,0,0,0,9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,325,411,363,226,178,177,144,57,32,1919,335,427,375,239,192,195,159,70,40,2032,26732,14308,18525,17441,14390,11460,8421,4485,1466,117228
LGA21610,82250,46418,54544,57276,44557,35388,22813,11263,4033,358543,38,25,35,34,27,22,34,33,7,259,3,14,15,11,22,8,7,6,4,89,747,840,941,554,441,428,314,260,111,4635,13,5,9,12,14,25,13,3,0,103,6,7,10,5,4,13,5,4,0,51,7,3,8,4,5,5,6,0,0,40,0,4,0,0,0,3,4,4,0,15,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,773,875,985,598,493,482,353,277,109,4943,815,903,1020,632,512,503,385,306,118,5197,83062,47317,55569,57909,45078,35891,23194,11572,4158,363743
LGA21670,1925,1179,1121,1071,1614,2025,2160,1388,480,12962,0,6,5,3,4,4,6,9,0,38,0,0,0,0,0,0,0,0,0,0,39,34,41,32,42,54,59,31,16,354,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,43,38,47,61,60,30,16,370,42,37,46,43,46,67,74,47,12,408,1968,1223,1161,1114,1663,2090,2226,1434,499,13372
LGA21750,3652,2162,2464,2350,2698,3013,2820,1512,606,21271,4,3,5,11,7,15,15,9,0,66,0,4,5,0,7,0,0,0,0,22,88,112,173,115,125,191,126,50,20,994,0,0,0,0,0,0,4,0,0,14,0,3,0,0,3,5,0,0,0,11,3,0,0,0,0,0,3,0,0,11,0,0,6,0,0,0,5,0,0,7,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,125,177,119,136,198,137,53,25,1062,94,129,180,129,137,212,155,58,29,1125,3744,2288,2649,2482,2835,3226,2972,1571,638,22402
LGA21830,2648,1589,1502,1541,2001,2408,1994,1233,482,15395,0,3,0,0,5,8,16,4,4,40,0,3,0,0,0,0,0,0,0,3,23,66,80,33,63,73,29,33,16,423,0,0,3,0,0,11,4,0,0,12,3,10,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,76,85,31,64,83,40,33,16,465,23,80,85,31,71,91,49,33,25,507,2674,1675,1588,1574,2069,2493,2047,1267,510,15897
LGA21890,21841,15557,27608,23184,19836,14878,10203,7129,3795,144029,13,31,26,11,20,28,29,30,13,193,0,30,7,12,13,11,7,4,0,87,278,480,633,368,352,275,140,122,79,2720,5,15,9,3,3,4,11,6,0,49,3,9,10,3,0,7,3,0,0,29,0,7,8,4,0,7,0,0,0,22,0,7,0,4,0,6,4,4,0,25,0,4,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,283,541,673,385,377,304,164,128,81,2945,297,575,696,401,397,334,196,159,93,3139,22134,16132,28309,23582,20233,15206,10396,7285,3884,147167
LGA22110,7121,3909,4181,4326,5368,7181,7949,4499,1430,45955,5,13,19,7,15,32,45,22,10,160,4,7,4,0,6,6,14,7,0,53,191,252,238,223,248,388,360,145,45,2095,5,0,7,0,5,12,7,0,0,40,0,3,0,5,4,3,7,0,0,21,0,4,0,0,0,0,0,4,0,9,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,3,4,0,0,10,0,0,3,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,203,265,251,234,270,437,387,157,51,2253,207,276,270,246,285,466,434,180,56,2415,7321,4187,4447,4566,5654,7647,8385,4680,1487,48371
LGA22170,25330,15032,18585,19245,18551,16407,12322,6933,2881,135298,11,16,14,17,13,31,24,23,7,155,3,9,9,4,0,7,16,4,0,45,402,459,463,338,313,259,275,227,164,2900,6,3,8,4,5,11,12,0,0,52,5,0,0,3,4,3,6,0,0,18,0,0,6,0,0,4,0,0,0,14,0,0,3,0,0,7,3,4,0,18,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,404,476,483,353,327,300,313,243,163,3062,418,497,497,371,339,325,343,260,174,3217,25749,15529,19079,19617,18895,16733,12665,7200,3051,138517
LGA22250,1644,867,843,969,1240,1576,1632,1010,382,10173,14,4,5,3,12,7,6,7,4,54,0,0,3,0,4,0,0,0,0,11,13,51,43,29,44,45,45,25,13,309,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60,43,29,50,57,48,22,13,336,27,61,46,34,58,61,60,30,15,390,1674,931,888,1004,1294,1638,1688,1047,399,10562
LGA22310,25645,17280,21788,21467,20010,15564,12492,6972,3820,145031,6,3,8,5,6,16,14,13,16,92,4,18,14,9,8,15,8,4,0,76,242,304,392,270,227,225,195,128,103,2084,0,7,3,5,3,0,20,5,0,46,0,0,9,0,0,0,0,0,0,11,0,4,0,0,0,12,9,3,0,34,3,0,9,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,245,335,422,289,244,256,243,142,109,2281,249,345,434,290,255,274,256,152,123,2371,25900,17621,22217,21757,20260,15832,12743,7123,3941,147403
LGA22410,3022,1838,1766,1952,2551,3146,2816,1444,558,19103,0,4,8,5,18,8,8,6,4,59,0,5,3,0,0,0,0,0,0,7,50,84,93,94,88,110,69,31,21,646,4,0,4,0,6,13,5,0,0,37,0,9,3,4,9,6,6,0,3,40,0,0,0,4,0,4,0,0,0,10,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,101,108,99,111,140,84,34,20,753,56,102,114,101,124,151,88,42,22,813,3078,1943,1879,2056,2681,3295,2912,1488,576,19917
LGA22490,5427,2698,2459,3255,3603,3117,2426,966,247,24195,0,4,3,3,4,0,0,3,0,17,0,0,0,0,0,0,0,0,0,7,65,94,55,52,47,40,34,18,17,423,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,102,57,55,53,41,38,18,16,438,68,102,62,56,53,45,44,24,17,462,5496,2796,2517,3315,3659,3162,2465,989,260,24656
LGA22620,22364,13670,15111,14250,14197,14595,12667,7160,2940,116953,12,9,13,16,15,23,33,36,12,172,3,30,13,4,15,12,20,16,4,115,346,704,583,375,400,390,277,152,114,3343,0,14,7,11,11,7,15,0,0,67,0,10,3,9,4,5,7,5,0,49,0,7,0,3,4,11,9,0,0,35,0,4,0,6,0,9,6,0,0,27,0,4,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,362,769,616,417,435,432,332,173,122,3659,372,780,625,435,451,454,366,210,131,3830,22734,14452,15733,14685,14648,15052,13027,7373,3075,120784
LGA22670,27077,19581,27150,22598,18117,16327,13009,7862,3285,155005,19,19,38,31,27,26,38,29,9,225,8,3,18,5,4,3,8,0,0,48,361,359,557,438,337,294,218,156,145,2860,0,0,7,0,4,10,3,0,0,36,10,0,4,0,5,3,0,0,0,19,0,0,0,0,5,4,0,0,0,8,0,0,5,0,0,0,5,0,0,16,0,0,0,3,0,0,0,0,0,6,0,0,6,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,376,368,594,460,359,311,227,162,153,3006,394,386,626,488,390,335,264,189,155,3232,27477,19960,27775,23091,18510,16664,13275,8046,3441,158237
LGA22750,46941,30847,36853,33463,32103,30710,27600,15807,6548,260864,44,39,32,42,49,60,82,65,30,435,17,63,35,19,25,28,15,8,0,202,737,1344,1088,698,724,795,636,403,229,6655,15,23,15,21,18,23,22,0,0,139,4,13,0,6,8,13,10,4,0,57,8,5,5,10,4,5,0,0,0,44,0,4,5,0,0,4,5,0,0,38,3,9,0,0,3,0,5,0,0,22,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,0,784,1467,1161,764,785,871,688,432,225,7176,824,1503,1191,805,837,930,772,490,252,7609,47765,32349,38040,34267,32937,31639,28367,16298,6801,268473
LGA22830,13016,7588,8585,7937,8275,8120,6731,3995,1594,65847,8,22,7,23,11,19,22,15,3,136,5,12,19,0,9,4,14,6,0,68,188,413,343,205,244,222,135,65,43,1862,0,4,5,3,9,3,5,4,0,34,0,0,0,0,3,0,0,3,0,16,0,0,0,0,0,6,4,0,0,11,0,0,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,195,431,369,214,261,242,157,86,44,1997,202,445,377,231,275,262,179,102,47,2134,13221,8039,8958,8172,8555,8385,6911,4097,1642,67982
LGA22910,2299,1129,1240,1685,2307,2740,2677,1244,448,15755,8,0,0,3,9,7,6,5,0,32,6,3,0,3,3,0,3,0,0,24,71,54,73,93,103,127,81,35,10,641,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,59,75,96,113,130,83,32,12,677,85,62,77,93,121,132,88,43,14,714,2378,1181,1314,1781,2424,2876,2765,1285,457,16472
LGA22980,834,477,584,513,640,870,734,515,266,5440,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,8,28,24,19,14,31,26,15,10,174,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,20,18,14,36,34,18,10,191,8,36,25,18,14,32,36,18,11,204,848,514,608,536,656,907,770,536,274,5644
LGA23110,16652,8776,12075,13962,12578,10717,7736,4416,2032,88944,12,11,9,10,19,13,12,13,14,117,4,6,10,9,12,10,9,0,0,57,133,185,251,148,168,155,116,85,56,1304,0,4,3,8,7,13,14,3,0,54,0,5,0,0,0,5,0,0,0,17,0,0,0,3,4,4,0,0,0,9,0,3,3,0,0,0,3,0,0,9,0,0,0,6,4,0,3,0,0,10,0,0,6,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,144,198,273,178,186,191,149,92,59,1470,154,209,281,187,204,203,153,107,74,1586,16807,8987,12358,14146,12786,10924,7892,4520,2109,90528
LGA23190,3691,2193,2448,2206,2343,2620,2106,1366,634,19595,4,11,7,4,0,11,11,10,0,55,0,6,4,4,3,0,0,0,0,21,46,145,107,63,73,80,50,27,30,615,0,0,3,3,8,3,3,0,0,23,0,8,3,0,7,3,0,0,0,28,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,166,115,75,95,94,55,28,30,702,49,181,114,77,102,100,67,41,30,761,3740,2369,2561,2282,2443,2723,2168,1398,660,20356
LGA23270,54230,31241,39331,36610,28287,24219,15816,7654,2369,239752,22,10,35,28,18,23,40,22,10,206,4,15,31,10,6,20,9,5,0,109,449,504,673,440,348,320,217,124,63,3151,11,17,21,29,15,16,14,6,0,123,0,7,20,14,5,10,0,0,0,60,7,5,8,3,3,7,4,0,0,34,0,3,15,6,10,9,13,3,0,61,0,0,9,5,3,0,0,0,0,14,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,477,558,776,518,386,380,261,141,65,3567,500,573,814,543,405,398,300,166,75,3778,54731,31811,40143,37150,28692,24614,16119,7823,2450,243524
LGA23350,2964,1461,1396,1849,2350,2659,2301,1169,381,16522,3,4,0,5,4,7,6,8,3,41,7,18,5,9,5,11,4,0,0,67,39,49,39,31,41,61,63,30,12,368,0,3,0,4,3,0,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,69,53,45,50,76,78,31,16,463,47,74,53,55,57,85,84,38,16,507,3006,1537,1446,1899,2401,2744,2385,1206,398,17029
LGA23430,26778,16514,19321,22325,22406,18647,14736,9167,4213,154099,11,6,8,12,13,15,19,29,13,127,3,4,10,14,5,6,11,6,3,59,274,364,400,306,284,279,214,177,143,2447,0,0,6,0,6,16,17,8,3,52,0,4,6,0,0,0,8,0,0,22,7,4,4,4,0,4,6,0,0,22,0,0,0,0,0,13,5,8,0,25,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,290,374,427,320,307,320,261,191,145,2639,296,382,432,338,316,336,285,228,162,2767,27075,16895,19755,22656,22718,18979,15019,9393,4374,156863
LGA23670,26788,18486,19724,21941,21190,20084,15412,8567,3399,155584,7,11,10,7,9,16,20,17,18,110,9,13,7,4,3,4,3,3,0,52,335,428,413,311,258,219,229,208,157,2555,0,9,6,8,10,11,9,5,0,62,0,0,0,0,3,5,0,0,0,22,0,5,3,0,0,0,3,3,0,16,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,345,458,442,326,282,246,246,219,161,2712,350,466,452,329,287,262,263,244,177,2822,27136,18947,20172,22267,21481,20347,15666,8803,3576,158406
LGA23810,13398,8317,9472,8607,8992,10105,8728,4777,1856,74256,23,14,10,13,20,23,28,33,6,181,0,3,4,7,5,5,6,4,0,48,318,403,414,291,276,287,269,229,166,2660,5,0,0,12,6,16,7,0,0,40,0,0,0,0,0,4,7,0,0,14,3,0,0,0,0,3,0,0,0,12,0,4,5,0,0,0,0,0,0,11,0,3,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,424,426,319,288,321,292,238,167,2803,359,434,438,333,308,345,317,266,176,2982,13752,8756,9913,8948,9303,10452,9053,5042,2029,77237
LGA23940,1134,606,598,666,951,1311,1243,617,294,7419,4,3,0,0,0,0,4,0,3,22,0,0,0,0,0,0,0,0,0,5,21,27,29,19,23,50,51,18,7,242,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,9,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,35,14,27,55,60,18,7,267,23,26,34,17,28,62,63,21,14,291,1156,636,635,684,978,1370,1303,639,304,7707
LGA24130,10073,5200,4257,6492,7647,6705,5551,2849,856,49628,6,4,3,7,7,6,17,5,3,58,0,0,0,0,6,4,7,0,0,30,96,231,134,117,112,137,111,62,28,1029,0,4,3,0,0,3,11,0,0,24,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,14,5,0,0,5,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,245,146,125,123,152,130,68,26,1118,111,250,155,134,123,155,149,77,28,1175,10186,5448,4407,6627,7771,6861,5697,2926,891,50802
LGA24210,19907,14365,13016,15771,16412,15524,12612,9793,4395,121790,12,4,8,4,10,8,7,21,22,90,5,10,9,7,3,18,8,8,0,69,217,254,296,226,191,164,151,116,78,1689,0,0,6,10,6,8,13,4,0,39,0,4,4,3,5,0,0,0,0,20,0,0,4,0,0,0,3,0,0,8,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,224,272,319,248,207,186,172,125,78,1836,239,274,328,256,207,192,179,145,102,1930,20142,14645,13337,16031,16626,15722,12787,9935,4493,123723
LGA24250,1646,787,784,1056,1157,1577,1471,697,225,9395,33,20,3,9,8,3,8,0,4,88,10,16,7,6,7,7,6,0,0,58,104,126,87,81,97,86,93,36,11,710,3,7,4,0,3,0,9,0,0,29,0,3,0,0,5,0,0,0,0,14,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,159,108,91,108,99,105,36,11,831,155,179,112,94,114,105,113,35,11,918,1802,963,891,1148,1271,1682,1586,735,230,10315
