SAL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SAL11068,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,11,0,11,..,0,0,0,0,0,153,13,0,11,0,168
SAL11069,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL11070,0,9,0,9,..,0,0,3,0,3,..,8,0,8,0,8,..,5,9,12,0,12,..,85,6,86,0,86,..,817,94,910,3,914,..,21,0,25,54,83,3470,835,97,932,59,4460
SAL11071,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,42,0,0,0,0,43
SAL11072,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,4,0,4,23,23,95,6,0,6,23,122
SAL11073,0,0,0,0,..,6,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,18,0,18,..,107,35,146,3,148,..,7,4,8,82,93,1559,112,38,158,79,1802
SAL11074,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,6,6,71,0,0,0,6,72
SAL11075,0,0,0,0,..,17,10,24,0,24,..,4,0,4,0,4,..,3,0,8,0,8,..,38,13,49,0,49,..,297,34,332,4,337,..,24,0,21,144,167,5192,315,33,354,149,5699
SAL11076,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,25,0,25,0,25,..,0,0,0,34,34,300,25,0,25,34,358
SAL11077,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,60,0,0,0,0,66
SAL11078,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,15,28,0,28,..,0,0,0,0,0,20,9,15,28,0,44
SAL11079,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,46,0,0,0,4,44
SAL11080,0,0,0,0,..,7,3,10,0,10,..,0,0,6,0,6,..,4,0,6,0,6,..,21,3,22,0,25,..,130,23,149,5,148,..,17,4,18,302,318,5130,141,24,166,305,5595
SAL11081,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL11082,0,0,0,0,..,32,9,42,0,42,..,12,7,17,0,17,..,28,5,35,0,35,..,76,9,83,0,85,..,786,133,914,11,924,..,27,3,32,171,207,5839,816,133,948,184,6972
SAL11083,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,3
SAL11084,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,25,0,0,0,0,23
SAL11085,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,10,10,75,0,0,0,10,83
SAL11086,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,11,0,11,0,11,..,0,0,0,22,22,67,11,0,11,22,96
SAL11087,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,22,0,0,0,0,20
SAL11088,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,31,0,0,0,0,30
SAL11089,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,38,0,0,0,0,38
SAL11090,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,11,11,95,0,0,0,11,112
SAL11091,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,29,0,0,0,0,29
SAL11092,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,9,0,0,0,0,9
SAL11093,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,20,0,20,..,0,0,0,17,17,251,18,0,20,17,282
SAL11094,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,61,61,986,5,0,5,61,1053
SAL11095,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,54,0,0,0,0,58
SAL11096,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,16,0,0,0,0,16
SAL11097,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,10,0,10,..,39,0,44,0,44,..,3,0,3,8,8,576,42,0,48,8,631
SAL11098,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,7,7,84,3,0,3,7,88
SAL11099,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,6,0,5,0,5,..,136,25,160,5,167,..,351,63,408,8,421,..,34,4,36,678,716,9011,384,63,450,683,10145
SAL11100,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,7,7,66,0,0,0,7,73
SAL11101,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,18,0,0,0,0,18
SAL11102,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,0,0,0,36,41,287,22,0,22,36,343
SAL11103,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,0,0,0,18,18,174,21,0,21,18,213
SAL11104,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,29,0,0,0,0,29
SAL11105,0,8,0,10,..,28,7,32,0,35,..,21,0,24,0,24,..,12,5,16,0,16,..,284,34,315,0,320,..,1347,165,1514,12,1528,..,54,9,66,695,758,13492,1404,177,1579,705,15779
SAL11106,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,3
SAL11107,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,9,6,103,0,0,0,9,104
SAL11108,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,8,7,0,0,0,8,14
SAL11109,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,5,5,40,5,0,5,5,57
SAL11110,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,7,7,34,0,0,0,7,48
SAL11111,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,0,4
SAL11112,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,10,10,27,0,0,0,10,36
SAL11113,0,11,0,11,..,72,20,84,0,84,..,26,0,31,0,31,..,28,7,34,0,34,..,184,13,197,10,201,..,2220,233,2448,34,2485,..,39,3,46,357,400,8383,2256,238,2491,391,11263
SAL11114,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,6,0,6,..,43,4,47,0,47,..,289,13,303,3,307,..,8,0,8,67,76,1886,299,13,313,75,2270
SAL11115,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,4,9,0,9,..,62,8,62,0,67,..,0,0,0,118,112,1449,62,8,69,115,1633
SAL11116,0,17,0,17,..,8,0,8,0,8,..,0,0,0,0,0,..,9,0,14,0,14,..,130,16,143,0,148,..,1118,128,1239,11,1252,..,20,0,24,222,247,3436,1132,126,1266,235,4936
SAL11117,0,0,0,0,..,3,0,3,0,3,..,48,22,67,0,67,..,3,0,5,0,5,..,109,42,152,4,150,..,820,319,1141,4,1143,..,21,11,29,106,134,879,841,327,1171,113,2156
SAL11118,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,33,0,0,0,4,34
SAL11119,0,10,0,10,..,12,4,14,0,14,..,0,0,0,0,0,..,12,7,11,0,11,..,136,14,151,0,151,..,925,112,1038,6,1047,..,24,0,26,248,277,6712,951,117,1061,256,8030
SAL11120,0,0,0,0,..,52,3,58,0,58,..,14,0,13,0,13,..,19,0,21,0,21,..,203,20,222,4,228,..,1451,129,1578,27,1601,..,52,5,56,857,912,15376,1503,129,1636,883,17899
SAL11121,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,54,0,0,0,0,54
SAL11122,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,14,14,156,3,0,3,14,174
SAL11123,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,13,12,67,3,0,3,13,78
SAL11124,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,18,0,18,..,58,8,64,0,64,..,12,0,12,169,181,2439,68,8,72,169,2686
SAL11125,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,8,0,8,..,0,0,0,8,11,90,9,0,7,8,112
SAL11126,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,19,19,80,0,0,0,19,104
SAL11127,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,17,0,0,0,3,19
SAL11128,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,0,0,0,..,8,3,9,0,9,..,3,0,3,28,31,585,13,3,14,28,626
SAL11129,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,6,0,6,..,20,3,24,0,24,..,0,0,0,9,9,609,20,3,24,9,641
SAL11130,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,6,0,0,0,0,6
SAL11131,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,12,12,68,0,0,0,12,78
SAL11132,0,11,0,11,..,23,3,26,0,26,..,3,0,3,0,3,..,35,4,39,0,40,..,70,9,74,0,76,..,1105,114,1220,14,1233,..,24,0,20,160,186,3554,1123,115,1237,179,4974
SAL11133,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,74,3,0,3,0,78
SAL11134,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL11135,4,44,0,46,..,42,13,54,0,54,..,15,0,23,0,23,..,184,34,220,0,220,..,150,28,174,5,181,..,3774,1008,4786,31,4810,..,27,10,40,411,445,5500,3800,1017,4820,436,10755
SAL11136,0,35,0,35,..,32,15,44,0,44,..,38,0,40,0,40,..,105,21,122,0,122,..,257,48,303,9,310,..,3863,855,4715,36,4752,..,44,15,56,368,428,5759,3907,867,4769,409,10929
SAL11137,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,14,14,52,0,0,0,14,68
SAL11138,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,22,22,22,0,0,0,22,39
SAL11139,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,6,..,0,0,0,26,26,238,7,0,6,26,263
SAL11140,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,25,0,0,0,0,26
SAL11141,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,25,25,555,8,0,8,25,586
SAL11142,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,6,6,63,0,0,0,6,66
SAL11143,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,27,9,0,9,0,36
SAL11144,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,34,3,39,0,39,..,5,0,5,49,54,865,32,3,39,49,952
SAL11145,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,5,0,5,..,0,0,0,39,41,288,9,0,7,39,339
SAL11146,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,24,24,252,0,0,0,24,284
SAL11147,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,5,0,5,..,27,0,23,0,23,..,108,12,119,3,122,..,4,0,4,86,93,2742,106,12,123,94,2946
SAL11148,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,27,3,30,0,30,..,49,10,56,0,56,..,3,0,3,81,85,1344,47,6,60,81,1483
SAL11149,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,6,13,156,3,0,3,6,166
SAL11150,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,52,0,0,0,0,49
SAL11151,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,10,0,0,0,0,10
SAL11152,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,37,0,0,0,4,41
SAL11153,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,10,0,0,0,0,10
SAL11154,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,21,0,0,0,0,21
SAL11155,0,0,0,0,..,10,0,4,0,4,..,0,0,0,0,0,..,9,6,6,0,6,..,22,0,21,0,21,..,136,14,150,0,150,..,4,0,4,77,79,1986,141,14,155,77,2211
SAL11156,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,25,0,0,0,0,22
SAL11157,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,29,33,170,6,0,6,29,208
SAL11158,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,3
SAL11159,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,21,21,181,0,0,0,21,198
SAL11160,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,46,45,438,3,0,3,46,491
SAL11161,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,12,0,0,0,0,12
SAL11162,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,14,0,14,..,45,3,50,0,50,..,4,0,4,140,145,1864,50,3,51,140,2050
SAL11163,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,42,0,0,0,0,44
SAL11164,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,4,103,9,0,9,0,111
SAL11165,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,18,18,139,0,0,0,18,163
SAL11166,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,5,5,22,0,0,0,5,24
SAL11167,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,12,12,123,0,0,0,12,137
SAL11168,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,50,0,49,0,51,..,200,3,205,4,205,..,11,0,12,74,84,2075,213,9,215,75,2364
SAL11169,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,8,16,0,0,0,8,21
SAL11170,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,11,0,11,..,17,0,17,0,17,..,0,0,0,38,38,725,17,0,17,38,779
SAL11171,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,8,..,15,0,15,0,19,..,0,0,4,80,85,398,15,0,15,84,496
SAL11172,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,38,0,0,0,0,43
SAL11173,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,27,27,313,4,0,4,27,339
SAL11174,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL11175,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,14,14,202,8,0,8,14,220
SAL11176,0,4,0,4,..,18,12,28,0,28,..,4,0,8,0,8,..,20,9,26,3,33,..,136,25,156,5,160,..,683,87,771,8,776,..,23,9,30,123,155,4615,699,97,799,131,5541
SAL11177,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,6,0,6,..,0,0,0,26,28,442,11,5,12,26,479
SAL11178,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,10,10,154,0,0,0,10,167
SAL11179,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,5,8,183,4,0,4,5,199
SAL11180,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,63,0,0,0,0,67
SAL11181,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,8,0,0,0,0,8
SAL11182,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,23,23,43,0,0,0,23,72
SAL11183,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,..,0,0,0,6,6,32,0,0,0,3,37
SAL11184,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,60,0,0,0,4,61
SAL11185,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,10,10,31,0,0,0,10,42
SAL11186,0,0,0,0,..,6,0,5,0,5,..,6,0,10,0,10,..,10,3,14,8,19,..,28,3,35,0,33,..,203,62,266,9,271,..,12,3,13,147,158,718,216,63,272,154,1146
SAL11187,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,9,9,34,0,0,0,9,43
SAL11188,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,4,4,14,3,0,3,4,22
SAL11189,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,10,0,9,0,9,..,0,0,0,22,22,157,10,0,9,22,183
SAL11190,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,7,..,8,3,11,0,11,..,45,5,52,0,56,..,3,0,3,60,69,579,49,5,55,64,705
SAL11191,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,14,19,230,5,0,5,14,252
SAL11192,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,6,25,0,24,..,88,18,110,9,110,..,0,0,0,169,174,1909,91,18,112,179,2194
SAL11193,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,6,0,0,0,0,6
SAL11194,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,46,3,0,3,0,57
SAL11195,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,21,23,203,0,0,0,21,230
SAL11196,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,10,4,7,0,7,..,0,0,0,6,6,203,10,4,7,6,218
SAL11197,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,4,105,5,0,5,0,111
SAL11198,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,38,0,0,0,0,38
SAL11199,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,10,10,40,12,0,12,10,65
SAL11200,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,20,0,20,..,5,0,5,7,13,283,24,0,25,7,313
SAL11201,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,109,0,0,0,3,120
