SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL31549,9,5,13,54,46,3,101,425,64,587
SAL31550,3,0,3,14,8,0,20,69,9,94
SAL31551,0,0,0,5,4,0,7,42,6,59
SAL31552,0,0,0,12,5,0,17,38,7,68
SAL31553,0,0,0,5,0,0,9,12,0,24
SAL31554,313,44,354,1405,551,76,2027,5464,528,8019
SAL31555,0,0,0,15,5,0,22,32,5,52
SAL31556,4,0,4,589,95,38,721,944,85,1744
SAL31557,0,0,0,5,0,0,5,0,0,8
SAL31558,268,22,287,3214,1401,184,4794,10752,1052,16598
SAL31559,0,0,0,0,0,0,4,12,0,11
SAL31560,13,0,18,505,103,23,627,882,80,1592
SAL31561,0,0,0,11,3,0,15,32,5,49
SAL31562,3,0,3,113,47,8,161,312,81,562
SAL31563,3,0,3,112,37,4,148,335,54,531
SAL31564,0,0,6,19,7,0,26,122,37,188
SAL31565,0,0,0,11,0,0,12,59,7,78
SAL31566,0,0,0,0,0,0,0,30,4,33
SAL31567,0,0,0,0,0,0,0,5,0,0
SAL31568,64,6,71,611,224,48,880,2209,282,3368
SAL31569,26,4,28,193,68,15,280,1060,114,1447
SAL31570,3,0,4,6,0,0,4,38,7,47
SAL31571,0,0,0,0,0,0,0,35,10,43
SAL31572,0,0,0,0,0,0,0,0,0,0
SAL31573,0,0,0,3,0,0,4,35,3,45
SAL31574,6,0,4,115,46,3,172,365,82,617
SAL31575,0,0,0,155,100,13,270,355,177,795
SAL31576,0,0,0,6,0,0,6,29,13,51
SAL31577,0,0,0,0,0,0,0,23,0,26
SAL31578,3,0,3,71,14,3,100,238,22,362
SAL31579,0,0,0,21,7,0,28,59,3,88
SAL31580,0,0,0,13,7,0,24,72,13,105
SAL31581,6,0,6,9,9,0,17,49,6,65
SAL31582,51,37,85,478,140,17,631,1419,145,2191
SAL31583,4,0,4,28,10,0,39,125,28,186
SAL31584,3,0,3,28,18,0,45,172,35,259
SAL31585,4,0,4,4,0,0,3,16,0,16
SAL31586,0,0,0,4,0,0,4,14,8,24
SAL31587,0,0,0,7,10,0,13,39,0,55
SAL31588,68,5,67,1701,432,42,2184,4239,258,6678
SAL31589,32,3,39,405,201,21,630,1682,355,2668
SAL31590,11,3,11,147,48,0,196,571,45,812
SAL31591,0,0,0,26,9,0,31,74,15,127
SAL31592,0,0,0,3,0,0,3,33,4,36
SAL31593,16,3,15,64,23,0,79,492,105,679
SAL31594,0,0,0,0,3,0,3,13,0,10
SAL31595,0,0,0,9,3,0,10,15,0,31
SAL31596,7,0,8,258,116,17,384,794,66,1251
SAL31597,5,0,8,122,51,0,167,374,59,596
SAL31598,3,0,3,45,14,0,61,237,32,320
SAL31599,0,0,0,5,0,0,5,23,10,38
SAL31600,0,0,0,14,7,0,22,45,0,71
SAL31601,497,71,573,2270,754,72,3093,11962,1253,16310
SAL31602,0,0,0,48,20,0,67,150,14,231
SAL31603,0,0,0,3,0,0,3,13,0,13
SAL31604,0,0,0,36,4,3,41,81,4,130
SAL31605,0,0,0,14,0,0,12,54,7,77
SAL31606,113,64,176,474,152,29,651,2164,339,3158
SAL31607,3,0,3,16,7,0,28,86,5,125
SAL31608,16,0,17,211,59,12,275,815,72,1164
SAL31609,0,0,0,93,21,3,121,287,38,443
SAL31610,4,0,4,46,11,0,59,136,30,227
SAL31611,9,0,11,21,13,0,35,94,19,147
SAL31612,0,0,0,0,0,0,0,4,0,12
SAL31613,6,0,7,40,14,8,57,178,16,255
SAL31614,4,3,9,60,27,3,90,261,28,374
SAL31615,17,0,22,187,68,8,263,803,58,1122
SAL31616,0,0,0,0,0,0,0,12,0,18
SAL31617,0,0,0,10,4,0,16,57,12,83
SAL31618,0,0,0,0,0,0,0,0,0,0
SAL31619,0,0,0,0,0,0,0,0,0,6
SAL31620,0,0,0,0,0,0,0,0,0,3
SAL31621,0,0,0,0,0,0,0,0,0,7
SAL31622,0,0,0,0,0,0,0,12,9,27
SAL31623,0,0,0,30,11,3,41,187,53,283
SAL31624,7,0,7,84,48,4,142,338,37,513
SAL31625,5,0,5,12,0,0,12,39,0,49
SAL31626,15,0,21,20,21,0,44,403,43,481
SAL31627,0,0,0,0,0,0,0,0,0,5
SAL31628,0,0,0,0,3,0,6,64,12,86
SAL31629,26,0,30,475,136,18,632,1232,121,1987
SAL31630,0,0,0,50,17,0,66,165,22,250
SAL31631,48,3,55,777,219,38,1034,2437,147,3619
SAL31632,4,0,4,8,16,0,22,56,14,91
SAL31633,0,0,0,3,0,0,4,12,0,18
SAL31634,0,0,0,9,0,0,9,17,5,32
