SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL13054,12,74,69,24,18,197,3,198
SAL13055,0,0,0,0,0,0,0,0
SAL13056,0,0,0,0,0,0,0,0
SAL13057,0,0,0,6,0,7,0,7
SAL13058,0,10,9,6,4,27,0,27
SAL13059,0,35,52,6,9,101,5,107
SAL13060,48,260,252,108,67,744,34,773
SAL13061,0,0,0,0,0,5,0,5
SAL13062,0,4,4,0,0,8,0,8
SAL13063,0,27,86,54,53,211,0,211
SAL13064,115,859,945,372,218,2508,32,2539
SAL13065,11,115,243,113,138,624,14,634
SAL13066,6,46,47,14,11,131,0,132
SAL13067,3,20,21,4,9,58,0,55
SAL13068,0,3,21,6,16,41,0,41
SAL13069,64,593,775,347,186,1975,22,1989
SAL13070,3,47,30,20,22,124,6,128
SAL13071,8,70,169,146,192,587,9,594
SAL13072,0,14,24,21,3,61,0,64
SAL13073,0,16,29,7,11,64,0,62
SAL13074,98,549,772,235,174,1825,25,1853
SAL13075,183,1356,1486,440,227,3695,31,3729
SAL13076,0,0,0,0,0,0,0,0
SAL13077,0,0,5,0,3,8,0,8
SAL13078,0,6,4,3,3,17,3,23
SAL13079,62,446,492,172,99,1265,27,1292
SAL13080,0,9,18,3,6,34,0,34
SAL13081,58,761,908,319,126,2169,40,2208
SAL13082,5,11,33,16,3,60,5,60
SAL13083,0,6,11,0,4,19,0,19
SAL13084,79,860,807,208,106,2062,51,2109
SAL13085,0,16,9,0,0,32,0,33
SAL13086,9,161,161,42,26,401,14,414
SAL13087,0,9,6,4,0,28,0,28
SAL13088,44,202,231,94,88,655,16,673
SAL13089,0,29,40,18,15,98,9,112
SAL13090,0,3,0,0,0,9,0,9
SAL13091,0,5,0,0,0,9,0,14
SAL13092,58,371,443,154,70,1101,13,1118
SAL13093,0,0,4,4,4,6,0,6
SAL13094,0,0,0,0,0,0,0,0
SAL13095,0,0,0,0,0,0,0,0
SAL13096,7,57,50,20,27,163,3,169
SAL13097,0,3,8,3,0,10,0,10
SAL13098,0,5,10,3,0,19,0,19
SAL13099,0,0,5,3,0,14,0,14
SAL13100,0,0,0,5,0,19,0,19
SAL13101,0,5,22,7,7,39,0,39
SAL13102,91,1402,2582,705,328,5107,56,5164
SAL13103,974,5688,5844,1795,849,15155,257,15412
SAL13104,0,3,7,9,3,18,0,18
SAL13105,0,37,129,89,130,386,3,388
SAL13106,10,88,166,113,180,547,11,558
SAL13107,15,97,93,39,5,248,7,253
SAL13108,0,0,5,0,6,9,0,9
SAL13109,0,0,5,5,3,15,0,15
SAL13110,0,4,13,15,13,37,0,37
SAL13111,0,11,14,8,0,29,0,29
SAL13112,3,38,60,19,12,125,0,125
SAL13113,0,10,33,13,12,72,4,72
SAL13114,28,428,584,201,160,1408,21,1425
SAL13115,0,0,4,6,0,15,0,15
SAL13116,0,6,15,4,3,33,0,35
SAL13117,6,68,25,3,14,119,5,119
SAL13118,0,4,3,0,6,11,0,11
SAL13119,0,0,3,0,0,3,0,3
SAL13120,0,26,45,18,19,105,0,112
SAL13121,79,594,487,124,43,1328,22,1356
SAL13122,71,511,528,161,74,1348,28,1373
SAL13123,55,412,871,291,163,1788,12,1799
SAL13124,0,11,12,5,0,37,0,37
SAL13125,0,3,0,5,10,15,0,22
SAL13126,1157,2911,1095,188,74,5431,65,5498
SAL13127,0,0,0,0,0,0,0,0
SAL13128,0,0,0,0,0,4,0,4
SAL13129,0,3,4,0,3,7,0,7
SAL13130,0,0,11,7,0,23,0,23
SAL13131,453,1768,1668,567,248,4710,61,4777
SAL13132,99,392,456,197,108,1249,13,1264
SAL13133,0,0,0,0,0,5,0,5
SAL13134,0,3,6,0,0,3,0,3
SAL13135,0,0,0,0,0,0,0,0
SAL13136,145,427,471,163,85,1292,10,1304
SAL13137,0,3,8,0,0,12,0,12
SAL13138,0,0,0,0,0,0,0,0
SAL13139,0,0,3,0,0,7,0,7
SAL13140,0,0,5,0,4,4,0,4
SAL13141,0,3,11,4,3,25,0,25
SAL13142,3,41,57,21,13,140,0,147
SAL13143,10,181,319,91,53,655,4,665
SAL13144,0,4,14,11,6,34,0,34
SAL13145,0,6,15,8,7,37,0,37
SAL13146,4,8,27,9,5,45,0,45
SAL13147,3,33,82,31,11,165,4,168
SAL13148,0,0,4,3,6,13,0,13
SAL13149,0,4,12,6,4,28,0,25
SAL13150,0,6,6,5,3,22,0,22
SAL13151,15,174,130,40,22,380,3,382
SAL13152,4,100,127,39,12,281,7,288
SAL13153,0,34,59,28,24,144,0,152
SAL13154,0,0,0,0,0,4,0,7
SAL13155,343,1635,1664,521,278,4449,61,4511
SAL13156,0,0,4,5,0,6,0,11
SAL13157,0,0,9,6,6,22,0,22
SAL13158,0,7,15,3,4,29,0,29
SAL13159,0,0,0,0,0,5,0,5
SAL13160,0,0,0,0,0,3,0,4
SAL13161,0,3,4,0,0,10,0,10
SAL13162,278,1533,1556,488,338,4199,77,4278
SAL13163,0,8,17,18,8,56,0,56
SAL13164,11,189,303,100,63,663,6,665
SAL13165,0,21,40,21,15,96,0,96
SAL13166,0,11,23,10,15,63,0,63
SAL13167,3050,6545,1560,237,106,11505,250,11749
SAL13168,0,3,0,9,9,14,0,14
SAL13169,0,0,10,5,6,14,0,20
SAL13170,4,64,143,66,51,329,9,340
SAL13171,6,60,39,5,4,111,0,111
SAL13172,0,0,0,0,0,3,0,3
SAL13173,5,116,151,81,50,403,8,406
SAL13174,0,7,5,4,6,19,0,19
SAL13175,0,7,8,13,6,35,0,37
SAL13176,0,6,5,0,0,13,0,13
SAL13177,43,153,142,64,38,436,11,450
SAL13178,0,7,4,0,3,18,0,18
SAL13179,374,1547,1431,506,224,4083,54,4141
SAL13180,36,241,326,142,85,837,15,850
SAL13181,0,6,37,14,9,65,0,67
SAL13182,9,95,94,23,9,223,0,229
SAL13183,0,12,27,21,23,84,0,83
SAL13184,0,0,0,0,0,0,0,0
SAL13185,0,7,28,22,19,80,0,80
SAL13186,4,6,9,7,0,19,0,23
SAL13187,0,5,10,6,7,29,0,29
SAL13188,27,143,159,50,38,421,4,424
SAL13189,13,111,137,46,28,342,5,346
SAL13190,0,12,8,11,0,32,0,30
SAL13191,0,6,18,9,4,42,0,42
SAL13192,39,513,827,197,86,1660,22,1681
SAL13193,323,1143,703,195,91,2452,50,2513
SAL13194,160,1040,1005,275,119,2596,22,2618
SAL13195,1293,3958,1848,395,201,7702,137,7837
SAL13196,0,34,37,20,12,105,0,107
SAL13197,654,2101,1306,311,141,4512,67,4580
SAL13198,0,7,0,0,0,7,0,10
SAL13199,0,0,0,0,0,0,0,0
SAL13200,0,0,0,0,0,0,0,0
SAL13201,0,41,93,38,27,197,5,201
SAL13202,729,1757,727,127,46,3388,37,3426
SAL13203,0,32,66,45,65,211,0,211
SAL13204,0,65,67,20,10,161,4,164
SAL13205,14,62,76,43,30,222,3,221
SAL13206,0,8,9,3,9,31,0,31
SAL13207,0,4,36,25,18,83,4,93
SAL13208,0,8,22,4,9,39,0,39
SAL13209,0,9,20,14,11,58,0,58
SAL13210,0,0,22,24,14,61,0,62
SAL13211,67,536,952,309,219,2089,11,2103
SAL13212,72,469,664,328,284,1808,21,1830
SAL13213,0,0,0,0,3,0,0,0
SAL13214,0,19,41,24,25,101,0,101
SAL13215,0,0,0,0,0,0,0,0
SAL13216,5,37,51,28,16,130,7,134
SAL13217,7,25,17,11,11,65,3,68
SAL13218,0,0,0,0,0,0,0,0
SAL13219,3,25,50,16,20,115,0,118
SAL13220,0,0,0,0,0,0,0,0
SAL13221,0,0,0,0,0,0,0,0
SAL13222,0,5,9,4,0,21,0,21
SAL13223,6,44,67,21,19,155,0,155
SAL13224,0,0,0,0,0,5,0,5
SAL13225,0,0,0,0,0,3,0,3
SAL13226,0,5,0,0,0,3,0,3
SAL13227,0,3,6,4,5,14,0,14
SAL13228,0,0,12,7,3,26,0,26
SAL13229,0,0,4,0,3,8,0,8
SAL13230,0,0,12,7,5,28,0,28
SAL13231,0,3,12,7,3,18,3,25
SAL13232,0,3,8,3,4,13,0,13
SAL13233,0,0,11,0,0,12,0,12
SAL13234,0,0,0,0,0,0,0,0
SAL13235,0,7,12,10,0,24,0,28
SAL13236,0,5,10,7,6,34,0,34
SAL13237,0,4,0,0,3,14,0,14
SAL13238,8,168,487,240,262,1170,9,1181
SAL13239,0,0,3,6,8,12,0,16
SAL13240,0,4,17,10,12,40,0,41
SAL13241,0,32,64,46,28,171,3,173
SAL13242,127,812,1095,433,276,2736,28,2769
SAL13243,117,594,536,165,77,1488,18,1509
SAL13244,100,451,290,64,26,932,20,953
SAL13245,29,196,201,57,43,523,8,532
SAL13246,0,0,0,0,0,0,0,0
SAL13247,0,0,3,0,0,5,0,5
SAL13248,7,103,174,71,46,399,3,401
SAL13249,0,3,7,11,0,20,0,20
SAL13250,0,5,0,0,0,6,0,6
SAL13251,0,4,5,10,7,29,3,31
SAL13252,0,8,14,8,9,46,0,53
SAL13253,0,3,8,0,9,17,0,17
SAL13254,0,10,22,15,0,52,3,54
SAL13255,0,0,0,0,0,0,0,0
SAL13256,9,76,145,65,61,358,0,361
SAL13257,268,746,647,218,101,1977,27,2008
SAL13258,1380,8429,6772,1951,858,19385,323,19702
SAL13259,0,0,0,0,0,0,0,0
SAL13260,0,0,0,0,0,0,0,0
SAL13261,0,8,12,0,6,26,5,26
SAL13262,54,299,327,169,97,934,12,949
SAL13263,0,10,28,9,4,48,0,48
SAL13264,0,17,35,17,20,92,0,99
SAL13265,0,25,45,9,0,69,0,74
SAL13266,9,25,6,4,4,51,3,52
SAL13267,22,145,180,53,20,423,10,433
SAL13268,2199,1398,227,27,24,3875,59,3933
SAL13269,57,836,1190,296,118,2499,21,2520
SAL13270,76,357,347,160,103,1045,10,1059
SAL13271,0,16,6,3,3,30,0,31
SAL13272,106,868,1758,862,480,4084,58,4142
SAL13273,6,45,56,22,0,125,5,126
SAL13274,0,0,0,0,0,0,0,0
SAL13275,0,7,5,8,4,21,0,21
SAL13276,51,218,214,85,65,635,12,642
SAL13277,0,14,23,7,8,53,0,53
SAL13278,53,530,686,263,161,1692,20,1708
SAL13279,0,0,0,0,0,0,0,0
SAL13280,0,0,5,3,0,15,0,15
SAL13281,0,0,12,3,0,17,0,17
SAL13282,0,0,0,0,0,0,0,0
SAL13283,0,3,4,8,0,19,0,19
SAL13284,0,4,7,9,6,22,0,22
SAL13285,5,26,42,16,11,94,6,96
SAL13286,667,2221,1804,737,466,5894,144,6043
SAL13287,0,0,0,0,0,0,0,0
SAL13288,10,10,0,0,0,28,4,31
SAL13289,4,9,12,9,0,28,0,32
SAL13290,47,322,548,236,168,1317,12,1326
SAL13291,0,5,32,14,11,69,0,72
SAL13292,0,17,24,8,4,48,0,48
SAL13293,0,0,5,3,6,11,0,11
SAL13294,131,1275,1754,508,213,3880,31,3909
SAL13295,0,5,9,4,0,23,0,23
SAL13296,0,11,14,8,11,40,0,40
SAL13297,1580,2940,844,97,26,5490,93,5583
SAL13298,4,35,44,18,16,113,0,113
SAL13299,311,3092,3470,1110,576,8553,94,8650
SAL13300,0,14,10,6,0,30,0,33
SAL13301,0,0,3,0,0,7,0,7
SAL13302,0,5,9,9,3,15,0,22
SAL13303,3,21,16,19,14,66,0,67
SAL13304,242,1394,809,214,108,2761,36,2800
SAL13305,133,992,585,158,72,1938,36,1973
SAL13306,56,378,489,155,91,1172,14,1187
SAL13307,135,571,352,58,30,1142,11,1153
SAL13308,0,0,6,0,3,10,0,13
SAL13309,131,721,502,97,37,1486,6,1494
SAL13310,0,14,33,17,25,91,0,89
SAL13311,0,0,6,0,0,4,0,4
SAL13312,0,0,0,0,0,0,0,0
SAL13313,0,9,37,12,8,63,0,65
SAL13314,79,432,466,158,108,1238,21,1262
SAL13315,0,22,80,43,41,178,0,178
