SAL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SAL10909,25,38,60,64,108,177,0,3,4,10,6,17,0,0,0,447,559,1004,0,0,0,59,82,144,0,4,4,0,0,0,0,3,0,13,9,19,4,4,8,6,8,12,12,26,40,0,0,0,0,0,3,14,19,32,18,22,40,0,0,0,653,849,1499,11,27,47,26,34,59,3,0,4,0,0,0,7,4,6,3,0,5,3,5,10,456,471,926,0,10,11,0,5,5,466,484,948,115,169,277,1299,1608,2909
SAL10910,0,9,9,180,236,415,0,0,0,12,10,18,0,0,0,188,252,441,0,3,3,8,8,14,8,6,19,0,0,0,5,4,4,0,4,0,16,15,31,8,12,17,16,17,35,0,0,5,0,0,4,19,28,43,15,18,35,0,0,0,468,604,1072,7,3,8,6,7,3,0,0,0,0,0,0,0,0,0,0,6,8,0,6,8,417,362,775,8,7,8,0,0,0,424,362,786,49,45,92,958,1033,1987
SAL10911,0,0,0,87,103,188,0,0,0,9,7,18,0,0,0,103,104,207,0,0,0,6,0,3,0,9,15,0,0,0,0,3,3,0,0,0,8,6,11,8,3,12,9,13,20,0,0,0,0,0,4,13,14,25,19,13,32,0,0,0,258,276,534,0,0,0,7,5,9,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,195,162,354,0,0,0,0,0,0,195,162,358,18,17,37,483,464,947
SAL10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,4,5,7,14,0,0,0,0,0,0,5,7,14,13,20,28,22,35,57
SAL10913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,3,5,14
SAL10914,3,5,7,114,89,205,0,0,0,8,3,16,0,0,0,69,78,146,0,0,0,3,6,15,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,13,7,22,0,0,0,4,0,6,16,18,29,9,6,12,0,0,0,232,224,463,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,4,4,0,4,4,229,257,489,8,0,8,0,0,3,235,262,499,44,47,89,525,543,1066
SAL10915,0,0,0,25,17,47,0,0,0,0,3,3,0,0,0,19,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,46,49,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,65,0,0,0,0,0,0,34,31,62,11,6,20,102,82,186
SAL10916,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,6,13,14,11,27
SAL10917,28,44,69,283,331,610,5,3,7,15,25,37,7,0,5,772,824,1592,0,0,0,43,40,81,3,8,8,11,15,21,4,8,7,30,35,67,16,12,28,42,43,82,36,52,80,0,0,0,7,10,15,29,28,63,66,66,130,0,0,0,1357,1500,2853,106,108,207,142,139,282,0,0,0,0,0,0,74,59,139,8,10,15,84,74,153,708,647,1357,6,3,7,0,5,4,715,656,1366,124,118,239,2550,2625,5177
SAL10918,0,0,0,17,20,36,0,0,0,0,0,0,0,0,0,16,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,3,3,8,9,3,3,3,0,0,0,45,50,96,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,76,0,0,0,0,0,0,40,35,78,15,8,18,104,97,200
SAL10919,3,5,6,237,238,476,0,0,0,16,12,26,0,0,0,176,205,379,0,0,0,4,0,4,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,10,11,17,42,34,80,5,8,7,0,0,0,32,39,71,16,21,35,0,0,0,538,568,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,8,526,494,1019,3,0,6,3,0,6,529,496,1029,67,56,124,1145,1121,2265
SAL10920,0,0,0,20,21,36,0,0,0,3,4,3,0,0,0,20,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,8,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,45,49,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,49,0,0,0,0,0,0,24,23,45,0,3,10,68,79,147
SAL10921,0,5,5,53,68,121,0,0,0,5,9,11,0,0,0,61,59,114,0,0,0,0,0,0,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,14,46,0,6,4,3,8,9,7,11,20,6,3,6,0,0,0,177,179,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,110,105,212,0,0,0,0,0,0,110,108,215,11,16,27,301,296,602
SAL10922,0,3,9,66,75,145,0,0,0,0,5,0,0,0,0,54,82,136,0,0,0,0,0,3,0,0,0,0,0,0,8,5,8,0,0,0,0,3,3,0,0,0,3,9,12,0,0,0,0,0,0,6,12,18,7,11,18,0,0,0,150,195,345,0,0,3,0,0,5,4,0,4,0,0,0,0,0,0,0,6,5,0,6,5,208,181,389,4,5,8,0,0,0,210,182,396,32,33,67,398,415,822
SAL10923,25,34,58,66,122,182,4,4,10,6,20,28,0,0,0,149,209,356,0,0,0,10,18,31,3,8,7,27,34,64,0,0,0,3,0,4,15,5,26,23,30,51,9,17,23,0,0,6,15,21,40,21,22,48,63,60,126,0,0,3,426,580,1007,56,56,108,228,229,457,0,0,0,0,0,0,3,7,9,3,10,13,8,21,22,253,278,532,0,0,0,0,0,3,255,278,531,192,205,394,1183,1400,2579
SAL10924,0,0,0,12,11,25,0,0,0,0,0,4,0,0,0,18,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,41,48,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,24,0,0,0,0,0,0,12,13,24,0,6,4,52,60,115
SAL10925,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,21,0,0,0,0,0,0,12,6,21,0,0,0,19,12,34
SAL10926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
SAL10927,18,30,51,23,29,54,0,0,0,0,10,6,0,0,0,228,195,424,0,0,0,197,227,423,0,4,4,0,0,0,0,6,6,11,12,21,8,4,15,9,3,7,12,13,22,0,3,3,0,0,0,6,11,9,18,25,38,0,0,0,506,521,1024,7,4,11,41,54,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,147,143,285,0,0,0,0,3,3,147,146,289,82,117,200,801,876,1676
SAL10928,0,0,0,16,29,47,0,0,0,0,0,0,0,0,0,35,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,8,12,0,0,0,0,0,0,64,63,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,63,0,0,0,0,0,0,36,31,63,7,8,12,101,109,206
SAL10929,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,10,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,3,0,0,0,12,6,22
SAL10930,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,18,0,0,0,0,0,0,8,5,18,0,0,0,9,19,27
SAL10931,3,3,7,125,174,299,0,0,0,9,18,31,0,0,0,183,214,393,6,3,3,11,5,15,0,0,0,0,0,0,0,6,5,0,0,0,5,6,11,13,13,22,17,23,36,0,8,10,3,8,14,16,33,45,17,18,41,0,0,0,408,523,930,9,9,21,11,9,18,0,0,3,0,0,0,7,6,11,0,4,11,11,13,20,623,575,1195,4,10,13,0,0,0,625,586,1211,43,56,96,1107,1198,2309
SAL10932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,0,0,0,0,0,0,7,7,15,0,4,0,21,18,35
SAL10933,0,3,3,84,73,158,0,0,0,4,6,10,0,0,0,131,127,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,5,3,4,13,9,20,0,0,0,0,0,0,26,32,63,12,13,31,0,0,5,279,289,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,179,155,333,3,4,7,0,3,3,187,156,346,15,16,28,487,462,950
SAL10934,8,10,18,157,189,351,0,0,0,8,5,12,0,0,0,159,193,351,0,0,0,35,42,76,0,0,0,3,0,3,0,0,4,3,6,4,0,0,0,0,0,0,22,20,38,0,0,0,0,0,0,18,20,35,10,9,18,0,0,0,415,490,902,4,8,10,5,8,10,0,8,8,0,0,0,0,0,0,4,6,6,4,6,6,359,348,705,0,0,3,0,3,5,362,358,712,43,26,74,838,903,1746
SAL10935,0,0,0,8,12,25,0,0,0,0,0,0,0,0,0,22,27,52,0,0,0,0,0,0,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,4,0,0,0,6,5,3,0,5,3,9,8,11,0,0,0,49,61,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,65,148,0,0,4,0,0,0,85,64,147,17,14,28,151,144,293
SAL10936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10937,17,39,55,208,265,476,0,0,0,5,4,9,0,0,0,522,556,1077,0,0,0,57,57,114,0,0,4,0,0,0,6,14,17,3,9,8,6,11,13,6,4,13,18,20,36,0,0,0,0,0,0,15,26,42,25,24,46,0,0,0,869,989,1862,0,4,6,17,17,29,147,122,267,0,0,0,0,0,0,11,0,9,14,0,17,1198,1217,2419,8,9,19,0,4,9,1209,1236,2446,110,96,210,2389,2500,4887
SAL10938,0,9,12,40,39,77,0,0,0,0,0,3,0,0,0,36,50,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,0,0,0,4,0,4,10,17,26,8,8,16,0,0,4,117,122,239,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,291,269,554,3,0,5,0,0,0,295,270,565,45,46,88,462,445,907
SAL10939,4,0,3,22,20,43,0,0,0,0,0,0,0,0,0,22,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,6,6,9,6,0,5,0,0,0,56,50,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,96,0,0,0,0,0,0,47,47,96,8,6,12,111,105,214
SAL10940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,8,0,0,0,5,0,9
SAL10941,0,0,0,13,14,32,0,0,0,0,0,0,0,0,0,14,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,13,0,0,0,0,0,0,35,34,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,29,0,0,0,0,0,0,20,14,32,3,4,6,62,52,114
SAL10942,8,7,15,144,140,285,0,0,0,13,11,25,0,0,0,157,214,374,0,0,0,0,0,3,5,3,5,0,0,0,0,5,10,0,0,0,0,4,4,4,10,14,17,21,41,0,0,0,5,3,9,45,55,100,13,12,26,0,0,3,405,489,897,4,8,10,0,4,4,0,0,3,0,0,0,0,0,0,0,4,4,0,4,4,414,337,746,0,0,7,0,0,4,416,337,752,36,29,70,876,877,1749
SAL10943,0,3,3,16,17,31,0,0,0,0,0,0,0,0,0,31,27,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,48,45,91,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,51,45,96,0,0,0,0,0,0,55,48,102,12,4,15,110,98,212
SAL10944,0,0,0,8,3,17,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,38,0,0,0,0,0,0,15,17,36,5,10,18,38,40,73
SAL10945,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,18,0,0,0,0,0,0,10,5,18,4,7,7,14,19,30
SAL10946,5,3,9,14,12,26,0,0,0,0,0,3,0,0,0,28,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,0,0,0,0,0,0,0,0,5,6,6,13,0,0,0,56,59,111,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,66,0,0,0,0,0,0,27,39,66,7,7,6,100,105,203
SAL10947,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,8,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,22,0,0,0,0,0,0,13,14,22,0,0,0,19,26,42
SAL10948,16,18,28,220,261,489,0,0,0,47,50,91,0,0,0,509,539,1052,0,0,0,5,6,4,0,0,0,5,5,8,0,4,0,0,0,0,5,3,7,6,6,18,24,29,62,3,0,3,3,5,3,65,70,138,12,19,31,0,0,0,919,1000,1919,7,4,11,9,10,12,0,0,0,0,0,0,8,3,12,7,0,3,11,9,17,533,467,1005,4,0,11,0,0,5,543,473,1012,301,296,596,1803,1800,3603
SAL10949,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,13,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,14,0,0,0,0,0,0,7,4,14,0,0,0,23,17,36
SAL10950,0,5,6,55,63,120,0,0,0,5,4,8,0,0,0,47,44,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,5,9,3,12,0,0,0,8,3,14,6,18,25,13,18,29,0,0,0,139,169,306,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,188,196,388,3,0,3,0,0,0,188,196,388,28,28,57,363,408,766
SAL10951,0,0,0,10,7,14,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,23,0,0,0,0,0,0,11,10,23,3,6,8,26,25,47
SAL10952,0,0,0,23,16,39,0,0,0,0,0,0,0,0,0,17,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,39,37,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,14,0,0,0,0,0,0,9,10,14,0,0,3,45,42,95
SAL10953,10,21,31,333,427,755,3,3,5,23,30,57,7,0,4,699,776,1479,3,4,3,37,30,68,0,3,3,0,0,0,6,8,14,4,5,5,4,6,12,16,32,50,21,24,46,3,3,11,3,5,9,18,22,45,74,81,151,10,10,22,1281,1479,2761,9,9,20,38,33,76,3,0,3,0,0,0,3,11,12,0,4,3,4,14,18,549,518,1065,11,6,10,4,5,9,557,522,1083,118,96,214,2032,2174,4206
SAL10954,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,3,0,6,5,15,16,25
SAL10955,0,0,0,10,5,13,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,3,0,3,10,0,10,5,0,4,28,16,41
SAL10956,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9,0,0,4,13,7,25
SAL10957,0,0,0,6,7,16,0,0,0,0,0,0,0,0,0,11,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,26,0,0,0,0,0,0,12,14,26,3,0,8,44,44,83
SAL10958,0,5,6,10,11,25,0,0,0,0,0,5,0,0,0,4,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,3,10,10,4,0,6,0,0,0,26,41,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,40,95,0,0,0,0,0,0,53,40,99,13,21,34,101,101,201
SAL10959,149,193,343,1664,2064,3733,0,0,0,314,351,669,5,0,11,2156,2622,4780,11,11,24,41,49,88,71,92,159,15,20,35,17,30,47,7,9,16,48,62,104,223,300,522,388,445,837,34,48,84,47,69,115,259,370,631,302,400,699,4,3,8,5608,6944,12552,78,72,152,109,100,213,14,7,19,9,0,9,156,133,294,251,279,531,416,425,833,5225,5233,10458,51,40,88,32,44,72,5302,5317,10624,1174,1186,2361,12843,14250,27089
SAL10960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3
SAL10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,0,10,0,0,0,6,7,13
SAL10962,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,11,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18,0,0,0,0,0,0,8,9,17,4,4,10,24,20,44
SAL10963,0,0,0,13,9,25,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,4,9,0,0,5,0,0,0,22,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,0,0,0,5,6,7,3,0,9,31,28,61
SAL10964,0,3,4,107,128,232,0,0,0,4,0,4,0,0,0,162,163,323,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,3,3,21,29,55,0,0,0,7,7,10,45,51,95,8,8,19,0,0,0,354,395,748,3,0,3,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,3,3,4,171,114,284,0,0,0,0,0,0,174,114,287,58,40,100,596,552,1152
SAL10965,45,49,94,135,153,288,5,0,5,22,39,61,0,0,0,692,737,1429,11,15,26,41,36,74,0,3,0,9,7,15,0,0,0,49,49,95,17,21,35,51,55,102,41,35,72,0,0,0,0,7,11,43,32,78,84,114,194,0,0,0,1189,1288,2476,360,325,680,166,158,321,0,0,0,0,0,0,135,130,270,13,13,24,148,144,296,419,380,800,4,0,4,0,0,0,421,380,803,135,111,242,2460,2450,4914
SAL10966,0,0,0,72,78,154,0,0,0,0,0,0,0,0,0,130,118,245,0,0,0,5,8,18,4,0,3,0,4,3,3,0,3,4,4,7,3,0,3,0,0,0,9,15,22,0,0,0,0,0,0,12,11,26,9,7,22,4,7,4,258,259,517,4,4,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,4,0,5,386,354,732,3,9,12,0,3,3,393,361,752,39,43,83,697,670,1372
SAL10967,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,11,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,0,6,3,4,3,4,0,0,0,17,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0,0,0,5,5,12,4,0,4,29,25,51
