SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL13185,0,3,0,9,0,0,0,0,0,12,56,37,13,47,36,34,28,12,0,263
SAL13186,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,6,16,5,0,40
SAL13187,0,0,0,0,0,3,0,0,0,3,4,3,3,7,19,18,6,6,0,66
SAL13188,13,3,11,5,3,9,14,7,0,65,211,135,139,103,150,126,142,47,19,1072
SAL13189,8,6,4,11,4,12,7,0,0,52,146,75,65,118,111,140,142,76,16,889
SAL13190,3,0,0,0,0,0,0,0,0,3,15,8,13,8,6,7,12,6,0,75
SAL13191,0,3,4,0,0,0,5,0,0,12,23,0,15,10,16,21,17,10,0,112
SAL13192,64,33,44,56,40,29,35,42,61,404,1326,637,600,1073,805,477,327,201,92,5538
SAL13193,144,67,149,124,92,60,68,54,78,836,1398,814,1335,1353,852,745,586,394,258,7735
SAL13194,60,54,57,49,44,48,29,21,11,373,1301,985,701,1015,1102,1063,763,460,196,7586
SAL13195,359,264,333,241,213,169,164,185,217,2145,2677,2448,3558,2443,2020,1755,1474,1030,563,17968
SAL13196,0,0,3,0,0,4,0,4,0,11,34,34,19,26,19,53,53,13,10,261
SAL13197,129,104,172,122,102,81,76,46,71,903,1910,1589,2113,1745,1577,1595,1175,600,292,12596
SAL13198,5,4,6,0,0,4,0,0,0,19,5,4,6,0,0,7,0,0,0,22
SAL13199,0,0,5,0,7,0,0,0,0,12,10,8,35,14,20,10,3,0,0,100
SAL13200,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
SAL13201,6,9,3,0,9,8,0,0,0,35,116,60,57,65,74,97,56,36,4,565
SAL13202,58,86,152,96,101,82,50,18,12,655,1036,973,1823,1368,1215,826,561,291,108,8201
SAL13203,16,10,19,4,12,12,0,0,0,73,119,94,77,77,127,99,80,28,5,706
SAL13204,3,8,4,3,3,8,5,0,0,34,50,44,46,44,73,96,43,15,3,414
SAL13205,6,5,4,10,5,0,4,0,0,34,125,94,62,82,97,101,84,56,20,721
SAL13206,0,0,0,0,3,0,0,0,0,3,17,3,0,12,13,12,8,3,3,71
SAL13207,6,3,0,0,0,0,7,0,5,21,63,20,12,34,49,30,42,22,0,272
SAL13208,0,3,0,0,3,6,0,0,0,12,23,8,6,14,20,20,16,10,0,117
SAL13209,5,0,0,0,0,7,0,0,0,12,31,11,18,15,28,38,7,7,5,160
SAL13210,5,0,0,0,0,0,0,0,0,5,53,22,16,24,33,31,22,11,0,212
SAL13211,80,49,40,43,56,37,26,17,3,351,1355,747,692,931,881,765,597,316,128,6412
SAL13212,59,54,47,40,43,37,30,9,3,322,1078,644,653,650,770,700,508,218,63,5284
SAL13213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8
SAL13214,8,8,0,3,3,3,0,0,0,25,63,47,27,37,52,57,32,15,4,334
SAL13215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
SAL13216,12,4,3,5,8,5,9,3,0,49,51,34,24,37,66,75,56,14,0,357
SAL13217,3,12,4,3,9,4,6,0,0,41,22,29,4,17,31,37,22,5,8,175
SAL13218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13219,5,6,0,6,3,5,0,0,0,25,66,41,38,51,52,46,35,22,3,354
SAL13220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13222,0,0,0,0,0,0,0,0,0,0,5,4,4,5,10,16,0,9,0,53
SAL13223,0,5,0,0,6,5,3,0,0,19,29,21,14,15,51,94,81,40,6,351
SAL13224,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,13
SAL13225,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6
SAL13226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SAL13227,0,0,0,0,0,0,0,0,0,0,3,5,4,5,9,0,0,5,0,31
SAL13228,3,9,9,3,0,0,0,0,0,24,20,13,16,6,20,3,7,8,0,93
SAL13229,0,0,0,0,0,0,5,0,0,5,8,0,0,8,4,3,6,4,0,33
SAL13230,0,0,0,0,0,0,0,0,0,0,11,9,9,3,11,16,6,3,0,68
SAL13231,8,5,0,6,0,0,3,0,0,22,18,12,7,8,14,12,7,3,0,81
SAL13232,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,12,8,4,0,39
SAL13233,6,0,0,3,0,0,0,0,0,9,10,4,0,3,7,9,4,3,0,40
SAL13234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13235,0,0,0,0,0,0,3,0,0,3,9,6,0,7,14,13,11,5,0,65
SAL13236,7,6,0,4,0,0,0,0,0,17,19,7,6,9,13,20,14,7,0,95
SAL13237,0,0,0,0,0,0,0,0,0,0,0,18,0,4,13,7,0,3,5,50
SAL13238,53,30,20,45,44,36,21,11,4,264,915,510,342,565,558,457,326,164,36,3873
SAL13239,3,5,0,4,3,0,0,0,0,15,17,17,17,12,16,11,3,0,0,93
SAL13240,0,6,0,0,5,4,0,0,0,15,26,15,8,16,19,21,13,3,4,125
SAL13241,8,6,5,4,3,5,5,3,0,39,139,77,53,92,97,78,39,25,4,604
SAL13242,147,137,84,102,100,60,38,12,10,690,2252,1513,1360,1421,1324,1176,656,252,112,10066
SAL13243,36,24,12,23,34,29,15,21,14,208,709,396,342,461,532,551,412,366,203,3972
SAL13244,14,22,23,15,34,20,21,5,13,167,247,209,254,238,250,316,295,167,74,2050
SAL13245,24,21,16,22,18,11,15,9,0,136,146,143,137,137,160,194,228,145,43,1333
SAL13246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13247,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,4,0,0,14
SAL13248,9,4,5,7,6,13,13,0,0,57,119,71,56,111,127,239,229,86,6,1044
SAL13249,4,0,0,4,0,0,0,0,0,8,22,8,9,9,9,10,13,10,0,90
SAL13250,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,5,0,0,16
SAL13251,4,0,0,0,0,0,0,4,0,8,16,18,10,9,16,16,8,10,0,103
SAL13252,4,0,0,5,7,4,6,0,0,26,26,13,10,19,33,35,17,10,5,168
SAL13253,0,0,0,0,0,0,5,0,0,5,12,6,0,4,0,8,7,3,0,40
SAL13254,3,4,13,13,9,9,3,0,0,54,30,10,45,38,29,35,23,13,0,223
SAL13255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13256,16,5,8,6,9,8,4,4,3,63,268,168,96,128,174,155,120,74,23,1206
SAL13257,67,49,61,38,47,55,32,15,11,375,874,540,662,627,622,714,524,328,199,5090
SAL13258,609,438,349,353,376,439,395,303,205,3467,7428,5096,4419,4995,5742,6251,6726,4892,2147,47696
SAL13259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13261,0,0,0,0,0,0,0,0,0,0,7,9,8,9,7,11,13,8,0,72
SAL13262,66,34,29,49,43,30,37,12,3,303,416,228,247,278,285,372,373,191,49,2439
SAL13263,0,3,0,0,0,8,4,0,0,15,19,10,8,11,16,33,24,7,5,133
SAL13264,4,0,8,3,10,7,10,0,0,42,43,19,36,44,43,44,42,8,4,283
SAL13265,3,0,0,0,3,8,9,0,0,23,15,7,15,11,14,44,45,18,6,175
SAL13266,4,0,3,6,0,3,0,0,0,16,14,4,15,8,17,17,19,8,4,106
SAL13267,26,17,27,16,8,6,6,7,0,113,344,204,299,254,149,116,75,19,0,1460
SAL13268,19,215,334,160,129,67,54,27,5,1010,180,655,2265,1397,999,763,584,270,71,7184
SAL13269,156,54,47,87,86,62,57,36,14,599,1690,605,540,1103,929,849,861,450,193,7220
SAL13270,38,22,28,26,24,23,28,28,5,222,565,439,399,398,438,454,425,268,75,3461
SAL13271,3,5,0,0,4,10,3,5,0,30,25,22,6,12,15,22,18,10,0,130
SAL13272,244,162,96,142,120,90,52,43,76,1025,3531,2613,1749,2171,2339,1761,857,446,225,15692
SAL13273,0,0,3,0,0,6,5,4,0,18,38,28,21,19,37,57,71,36,9,316
SAL13274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13275,0,0,0,0,0,5,3,0,0,8,12,15,9,0,8,14,9,0,0,67
SAL13276,20,8,7,13,12,19,14,10,3,106,272,182,189,179,191,249,187,126,45,1620
SAL13277,0,0,3,3,0,7,3,0,0,16,33,14,23,22,21,27,8,3,0,151
SAL13278,67,46,49,49,37,31,27,12,0,318,954,667,715,771,667,623,528,224,43,5192
SAL13279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL13280,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,10,10,9,0,38
SAL13281,5,0,0,0,0,0,0,0,0,5,13,6,0,4,8,9,9,0,3,52
SAL13282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13283,0,0,0,0,0,0,0,0,0,0,17,6,8,9,4,3,3,0,0,50
SAL13284,3,0,5,0,0,0,0,0,0,8,11,8,7,3,9,12,4,0,0,54
SAL13285,0,0,0,3,0,3,0,0,0,6,29,18,19,23,30,55,53,11,3,241
SAL13286,478,356,355,282,229,223,127,89,24,2163,4551,3189,3349,2788,2463,2309,1529,877,334,21389
SAL13287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL13288,3,4,6,4,6,0,0,0,0,23,25,17,17,16,8,12,5,0,4,104
SAL13289,0,0,0,0,0,0,0,0,0,0,20,0,10,3,8,24,11,3,0,79
SAL13290,50,37,12,25,32,38,27,13,4,238,694,565,365,456,602,649,471,194,104,4100
SAL13291,0,0,0,4,0,0,0,0,0,4,33,21,7,18,27,32,28,15,3,184
SAL13292,4,0,0,3,5,0,0,0,0,12,14,9,12,18,18,12,18,15,0,116
SAL13293,0,0,0,0,0,0,0,0,0,0,6,6,6,0,6,5,3,4,0,36
SAL13294,104,60,50,64,92,77,49,30,15,541,2319,1559,997,1626,1785,1575,1125,562,230,11778
SAL13295,0,0,0,0,0,0,0,0,0,0,10,3,6,4,7,7,12,10,0,59
SAL13296,3,0,0,0,0,0,0,0,0,3,19,10,8,19,16,24,10,3,4,113
SAL13297,122,79,295,243,130,111,106,28,10,1124,1298,1003,3197,2708,1489,1325,1087,447,98,12652
SAL13298,4,3,0,0,4,4,4,0,0,19,38,25,23,23,37,60,59,21,5,291
SAL13299,394,242,230,266,227,152,115,30,16,1672,6360,3369,4000,5052,3428,2754,2005,705,216,27889
SAL13300,4,0,4,6,3,6,4,3,0,30,28,4,11,20,15,23,10,11,5,127
SAL13301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL13302,0,0,0,0,0,0,0,0,0,0,12,13,0,7,8,5,13,0,0,58
SAL13303,0,0,0,3,3,5,6,0,0,17,28,13,15,13,29,24,26,16,0,164
SAL13304,74,50,87,58,40,53,58,36,36,492,920,613,1263,922,774,768,531,358,256,6405
SAL13305,44,32,77,38,31,45,17,4,5,293,677,432,1015,677,532,455,269,136,51,4244
SAL13306,59,32,44,35,32,36,15,10,0,263,621,343,548,431,423,425,233,89,26,3139
SAL13307,24,18,17,21,28,12,23,14,8,165,685,319,330,455,521,348,274,152,58,3142
SAL13308,6,0,0,0,0,0,0,0,0,6,9,8,0,6,0,5,9,4,0,41
SAL13309,29,19,53,36,24,29,3,7,3,203,431,280,899,640,416,379,219,109,43,3416
SAL13310,10,9,3,15,9,7,5,0,0,58,38,48,14,39,48,40,43,7,3,280
SAL13311,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,8
SAL13312,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SAL13313,7,0,5,4,4,3,9,8,0,40,43,22,18,20,24,23,39,16,0,205
SAL13314,88,50,38,53,68,52,74,38,27,488,606,345,296,363,416,452,464,293,121,3356
SAL13315,8,0,4,0,6,10,0,6,0,34,96,56,52,50,95,124,68,22,0,563
SAL13316,116,49,54,64,45,53,36,13,5,435,1278,724,785,856,670,859,564,158,46,5940
SAL13317,18,24,6,22,5,14,8,6,0,103,276,172,125,181,146,137,159,62,16,1274
SAL13318,19,13,0,6,5,4,3,3,0,53,110,68,36,64,98,128,131,45,12,692
SAL13319,0,0,0,0,0,0,0,0,0,0,11,8,3,5,9,20,15,14,0,85
SAL13320,16,7,4,18,11,9,6,7,5,83,90,73,58,69,98,119,81,49,43,680
SAL13321,0,0,0,0,0,0,0,0,0,0,30,17,16,21,21,40,31,18,4,198
SAL13322,14,14,17,9,21,12,8,3,4,102,154,107,151,134,186,164,128,81,47,1152
SAL13323,19,11,12,11,26,14,4,14,3,114,282,114,206,263,228,224,202,167,65,1751
SAL13324,6,0,0,8,0,0,0,4,0,18,51,13,18,24,21,21,21,14,12,195
SAL13325,249,244,398,307,227,165,152,157,308,2207,4264,3052,6420,4713,3635,2674,2003,1336,847,28944
SAL13326,7,0,4,4,0,0,0,0,0,15,9,0,6,4,8,6,5,3,0,41
SAL13327,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,5,0,0,0,18
SAL13328,23,11,11,15,19,12,9,9,3,112,523,260,296,381,305,246,320,193,32,2556
SAL13329,11,3,0,6,5,3,0,0,0,28,57,24,26,29,25,28,15,9,3,216
SAL13330,5,0,0,4,0,0,0,0,0,9,21,9,4,13,6,8,9,4,0,74
SAL13331,4,6,6,0,9,6,0,6,0,37,30,9,21,13,19,28,15,16,5,156
SAL13332,44,16,5,11,20,30,24,10,7,167,364,234,177,209,260,309,337,142,42,2074
SAL13333,3,0,4,0,0,0,0,0,0,7,12,8,8,6,13,15,11,6,0,79
SAL13334,13,0,9,3,8,6,10,21,27,97,65,40,38,27,44,74,57,50,51,446
SAL13335,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4
SAL13336,5,0,4,5,0,0,0,0,0,14,34,23,14,13,18,23,16,6,0,147
SAL13337,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,6,0,0,0,20
SAL13338,45,20,10,21,20,11,12,7,0,146,515,244,234,332,280,202,192,70,17,2086
SAL13339,0,0,0,0,6,0,0,0,0,6,10,6,9,4,13,8,10,0,0,60
SAL13340,346,124,168,145,146,122,83,69,15,1218,2774,1721,1764,1639,1636,1625,1340,711,240,13450
SAL13341,22,12,11,15,17,11,9,0,0,97,229,183,86,127,201,184,116,48,7,1181
SAL13342,6,6,4,6,4,13,20,6,0,65,106,56,47,71,87,168,183,77,14,809
SAL13343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13344,0,0,0,0,6,0,0,0,0,6,3,3,0,0,6,5,0,4,0,21
SAL13345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13346,8,11,4,5,9,3,3,0,0,43,59,14,20,26,35,40,31,11,0,236
SAL13347,5,0,5,0,3,5,7,5,0,30,52,35,18,39,57,81,85,31,11,409
SAL13348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL13349,5,4,0,0,6,3,3,0,0,21,69,27,39,43,55,63,60,31,7,394
SAL13350,7,4,0,5,0,6,0,0,0,22,49,35,26,25,31,30,22,10,8,236
SAL13351,0,0,0,0,0,0,0,0,0,0,5,3,0,7,7,16,9,6,0,53
SAL13352,84,114,300,218,181,143,103,54,29,1226,1074,1327,3578,2286,1649,1391,978,569,211,13063
SAL13353,52,34,12,29,27,39,39,33,29,294,662,376,243,401,515,513,499,343,225,3777
SAL13354,0,0,0,5,0,0,0,0,0,5,8,3,4,8,3,0,5,0,0,31
SAL13355,0,4,0,0,0,0,0,0,0,4,24,24,8,17,25,29,11,8,0,146
SAL13356,6,0,3,0,0,0,6,0,0,15,20,8,8,14,24,13,14,5,0,106
SAL13357,0,0,0,0,4,5,0,0,0,9,0,7,10,0,0,10,5,0,0,32
SAL13358,62,53,66,48,31,46,13,13,5,337,893,675,852,626,573,650,458,188,67,4982
SAL13359,6,8,10,11,14,3,6,3,0,61,162,116,113,98,124,91,75,37,6,822
SAL13360,0,0,0,0,0,0,0,0,0,0,18,0,8,5,15,17,19,0,0,82
SAL13361,6,0,0,0,0,4,0,0,0,10,24,3,10,15,14,31,16,3,4,120
SAL13362,0,0,0,0,0,0,0,0,0,0,5,3,3,0,6,8,3,0,0,28
SAL13363,3,0,0,0,7,3,3,0,0,16,36,10,14,17,17,13,21,4,0,132
SAL13364,24,7,8,7,9,6,8,0,0,69,360,119,188,236,164,132,158,84,11,1452
SAL13365,5,0,0,0,3,4,0,0,0,12,20,8,6,11,22,29,14,5,0,115
SAL13366,3,5,4,3,7,8,12,4,0,46,115,64,44,75,108,125,110,23,8,672
SAL13367,11,0,7,3,0,0,0,0,0,21,38,25,22,21,25,40,27,4,0,202
SAL13368,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,14,10,3,0,44
SAL13369,185,144,164,128,144,110,118,128,175,1296,2846,1860,2061,2093,1893,1862,1356,768,514,15253
SAL13370,29,12,20,25,12,8,10,0,0,116,405,272,274,289,269,212,136,39,24,1920
SAL13371,0,0,0,0,0,0,0,0,0,0,10,5,4,0,5,5,6,0,0,35
SAL13372,60,71,225,104,38,50,35,15,21,619,1393,1147,4322,2376,741,749,507,163,63,11461
SAL13373,0,4,0,0,8,0,0,0,0,12,3,5,3,0,14,11,5,0,0,41
SAL13374,0,0,0,0,0,0,0,0,0,0,14,0,4,10,5,5,11,3,0,52
SAL13375,60,94,89,46,50,55,43,65,81,583,681,612,910,567,584,614,560,510,378,5416
SAL13376,0,4,0,5,7,6,5,0,0,27,126,74,41,74,142,146,163,66,23,855
SAL13377,4,0,3,5,0,0,3,0,0,15,14,0,16,6,9,0,3,6,0,54
SAL13378,0,0,0,0,0,0,0,0,0,0,17,11,8,9,10,30,11,0,0,96
SAL13379,4,0,0,0,3,0,0,0,0,7,42,13,14,22,24,37,35,9,3,199
SAL13380,0,3,0,0,0,0,0,0,0,3,6,3,4,4,10,6,0,0,0,33
SAL13381,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,6,4,0,24
SAL13382,4,4,6,0,7,5,5,3,0,34,51,18,22,31,29,46,65,35,5,302
SAL13383,188,102,110,98,81,45,39,22,7,692,2088,1070,1560,1404,970,729,497,245,72,8635
SAL13384,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,3,0,0,0,8
SAL13385,27,24,8,19,25,23,13,6,4,149,686,478,159,339,551,414,299,166,56,3148
SAL13386,192,156,160,148,137,140,104,85,23,1145,1972,1480,1931,1733,1525,1685,1331,820,311,12788
SAL13387,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,8,0,0,0,26
SAL13388,0,0,0,0,0,3,4,0,0,7,9,14,4,12,6,13,17,3,0,78
SAL13389,30,9,12,17,24,36,30,7,3,168,368,196,178,200,315,312,310,119,26,2024
SAL13390,7,9,3,0,10,8,4,0,0,41,169,126,44,77,152,165,140,36,14,923
SAL13391,0,0,0,0,0,0,0,0,0,0,9,15,10,0,17,17,5,8,0,81
SAL13392,0,0,0,0,0,0,5,0,0,5,20,17,11,13,30,25,27,4,4,151
SAL13393,5,4,3,0,0,10,0,0,0,22,43,25,15,31,29,71,37,15,6,272
SAL13394,151,169,287,193,120,104,69,52,27,1172,2115,2056,3846,2579,1557,1419,1044,601,260,15477
SAL13395,0,4,4,4,3,6,3,0,0,24,31,9,15,13,27,41,33,4,5,178
SAL13396,3,0,0,5,0,0,0,0,0,8,9,13,7,6,13,11,9,6,0,74
SAL13397,0,0,0,0,0,3,0,0,0,3,5,6,0,5,0,6,6,3,0,31
SAL13398,0,0,0,0,0,0,4,0,0,4,0,3,0,0,3,4,8,4,0,22
SAL13399,0,0,0,0,0,3,0,0,0,3,9,0,4,0,9,5,0,0,0,27
SAL13400,0,0,0,0,0,3,0,0,0,3,10,3,0,4,12,11,13,7,4,64
SAL13401,0,0,0,0,0,6,4,0,0,10,0,0,4,3,4,10,16,4,0,41
SAL13402,0,0,0,3,0,0,5,0,0,8,16,11,4,11,8,7,7,3,0,67
SAL13403,0,3,4,0,0,0,0,0,3,10,48,43,25,24,48,39,25,11,11,274
SAL13404,0,0,0,0,0,5,3,0,0,8,6,0,0,4,4,10,8,3,0,35
SAL13405,8,17,0,10,7,10,7,0,0,59,37,43,19,34,43,46,50,17,8,297
SAL13406,8,6,5,7,9,3,9,5,4,56,266,163,111,155,243,182,153,68,40,1381
SAL13407,6,0,0,0,0,0,0,0,0,6,27,13,11,19,18,27,28,3,7,153
SAL13408,0,5,0,5,0,0,0,0,0,10,3,7,3,4,8,12,18,6,0,61
SAL13409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SAL13410,249,155,197,169,141,151,100,111,188,1461,3262,2057,2245,2310,1898,1771,1382,695,549,16169
SAL13411,156,57,70,81,36,22,8,14,6,450,2236,823,1113,1581,635,396,241,191,68,7284
SAL13412,87,82,92,100,87,74,61,64,64,711,1616,1011,1427,1452,1326,1063,936,710,361,9902
SAL13413,0,0,3,0,0,5,0,0,0,8,13,16,9,9,10,11,11,5,0,84
SAL13414,0,0,3,0,3,0,0,0,0,6,10,0,0,6,9,5,3,0,0,33
SAL13415,16,10,9,9,15,7,10,0,0,76,62,33,40,54,77,76,73,13,0,428
SAL13416,0,0,0,0,0,3,4,0,0,7,0,8,4,5,0,11,7,8,0,43
SAL13417,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,10,0,0,3,22
SAL13418,0,0,0,0,0,4,0,0,0,4,7,0,0,4,11,18,21,0,0,61
SAL13419,96,165,313,143,77,71,54,34,15,968,1635,1756,3980,2353,1389,997,732,512,186,13540
SAL13420,0,0,0,0,0,0,0,0,0,0,11,13,9,6,17,12,7,5,0,80
SAL13421,9,0,0,0,4,0,5,5,0,23,25,23,17,12,37,40,40,15,3,212
SAL13422,42,31,81,68,40,30,11,0,0,303,774,379,1162,873,340,272,175,55,21,4051
SAL13423,180,133,124,130,141,99,75,59,53,994,2483,1587,1609,1643,1670,1411,1010,639,303,12355
SAL13424,161,91,87,84,84,78,46,18,5,654,1828,1099,1138,1048,973,969,672,241,46,8014
SAL13425,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,4,4,3,0,22
SAL13426,93,74,45,52,60,50,50,38,51,513,2081,1380,979,1478,1525,1162,979,535,234,10353
SAL13427,6,3,3,8,3,14,6,5,0,48,343,212,80,172,288,237,156,90,49,1627
SAL13428,0,0,0,0,0,3,0,0,0,3,31,19,21,21,27,49,39,14,4,225
SAL13429,7,0,0,3,0,0,3,0,3,16,50,18,14,23,28,33,22,23,7,218
SAL13430,0,0,0,0,0,0,0,0,0,0,14,12,8,8,14,17,24,3,0,100
SAL13431,0,0,0,0,4,4,4,0,0,12,6,0,6,0,3,11,11,7,4,48
SAL13432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13433,6,0,0,4,0,4,0,0,0,14,32,7,26,6,23,8,11,7,0,120
SAL13434,40,38,26,25,38,28,11,10,8,224,406,339,229,240,341,250,247,149,39,2240
SAL13435,0,0,0,0,0,0,0,3,0,3,8,5,5,4,9,15,15,3,0,64
SAL13436,0,0,0,0,0,0,0,0,0,0,8,0,0,6,6,6,0,0,0,26
SAL13437,4,4,0,0,8,3,0,0,4,23,11,22,22,9,24,31,11,0,4,134
SAL13438,0,0,0,0,0,0,0,0,0,0,6,0,0,5,4,9,0,0,0,24
SAL13439,0,0,4,0,4,0,9,0,0,17,19,12,3,17,19,12,17,3,0,102
SAL13440,8,0,0,3,0,0,0,0,0,11,30,9,10,20,27,30,17,12,4,159
SAL13441,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,0,0,13
SAL13442,0,4,0,0,3,0,0,0,0,7,27,44,19,12,42,34,28,18,6,230
SAL13443,9,3,0,4,0,4,0,0,0,20,40,17,15,24,30,35,32,9,3,205
SAL13444,127,137,124,100,105,50,34,13,8,698,2363,1829,1636,2013,1710,957,542,235,64,11349
SAL13445,0,0,0,0,0,3,0,0,0,3,24,8,6,14,19,20,10,5,0,106
SAL13446,6,9,10,0,3,0,0,0,0,28,34,26,38,15,22,24,12,5,6,182
SAL13447,0,0,5,0,0,0,3,0,0,8,8,0,4,12,8,21,23,0,3,79
SAL13448,7,5,0,4,0,0,0,0,0,16,12,12,6,8,4,0,0,0,0,42
SAL13449,18,19,4,12,12,11,10,0,0,86,227,164,60,125,214,152,96,26,3,1067
SAL13450,83,43,60,87,81,59,48,12,6,479,1474,665,1292,1604,1353,968,796,337,55,8544
SAL13451,0,0,0,0,3,6,0,0,0,9,5,4,0,3,12,19,17,6,0,66
SAL13452,3,0,0,0,0,0,0,0,0,3,3,3,0,3,7,9,5,0,0,30
SAL13453,0,3,0,0,0,5,5,0,0,13,15,10,11,5,3,21,15,0,4,84
SAL13454,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,5,0,13
SAL13455,8,3,0,7,3,7,0,0,0,28,106,58,44,80,72,91,107,31,11,600
SAL13456,4,0,0,6,0,3,3,0,0,16,10,11,0,8,21,25,32,15,4,126
SAL13457,0,0,0,0,0,0,0,0,0,0,6,0,3,0,10,10,8,0,0,37
SAL13458,80,48,53,54,31,33,37,5,0,341,1153,687,729,787,643,602,736,239,55,5631
SAL13459,12,9,60,34,21,13,20,38,56,263,128,107,678,484,257,240,199,141,95,2329
SAL13460,0,5,0,0,0,0,0,0,0,5,17,6,9,4,14,25,13,4,3,95
SAL13461,3,0,0,4,7,0,3,3,0,20,46,35,26,28,36,52,40,18,5,286
SAL13462,55,16,53,45,43,32,34,14,15,307,913,502,514,635,816,614,458,272,187,4911
SAL13463,26,12,12,16,10,9,4,3,0,92,368,177,154,230,206,172,151,98,38,1594
SAL13464,301,144,154,152,116,79,75,60,32,1113,2867,1505,2082,1665,1377,1221,1269,798,304,13088
SAL13465,8,0,0,0,0,0,4,0,0,12,26,13,14,15,6,17,15,4,5,115
SAL13466,0,0,0,0,0,0,0,0,0,0,12,9,0,8,6,7,9,5,0,56
SAL13467,0,0,0,0,4,0,0,5,0,9,15,16,14,15,29,25,28,16,3,161
SAL13468,82,50,90,81,65,60,48,20,12,508,1390,882,1039,1066,1011,927,548,303,106,7272
SAL13469,296,181,355,310,198,207,152,112,159,1970,5442,3150,6352,5692,3626,3226,2304,1384,736,31912
SAL13470,4,8,6,0,8,4,0,0,4,34,29,31,17,21,47,33,33,17,7,235
SAL13471,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,8,4,3,0,32
SAL13472,10,10,5,3,9,17,12,9,4,79,127,71,62,92,107,156,160,100,31,906
SAL13473,0,0,0,0,0,3,0,0,0,3,34,17,37,19,35,47,24,12,0,225
SAL13474,4,7,3,8,4,3,10,0,0,39,81,47,30,61,47,55,43,20,9,393
SAL13475,0,0,3,0,4,6,0,0,0,13,7,14,3,7,4,13,6,14,0,68
SAL13476,133,62,50,74,43,44,15,11,10,442,778,507,397,420,361,400,213,128,45,3249
SAL13477,15,0,5,5,5,12,12,0,4,58,232,84,78,143,137,146,202,69,16,1107
