SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL11715,0,0,5,0,0,0,0,4,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,6,18,11,9,14,0,0,52,0,0,0,0,0,0,0,0,13,23,16,9,14,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,0,13,0,0,0,0,0,0,0,0,3,3,3,0,6,0,0,13,16,24,19,3,19,0,0,79
SAL11716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,10,8,0,0,0,0,16
SAL11717,28,53,22,19,13,0,3,141,49,35,17,11,18,3,0,131,37,27,18,11,10,4,0,110,472,438,265,160,196,59,14,1602,0,0,0,0,0,0,0,8,583,558,322,200,244,72,16,1992,8,13,3,0,16,7,6,40,11,11,11,5,18,0,0,62,0,11,7,3,8,0,0,31,122,156,108,94,90,16,9,594,7,5,6,6,0,0,0,22,145,200,140,110,127,24,7,749,733,756,463,312,369,90,24,2740
SAL11718,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,7,3,0,0,0,0,32,0,0,0,0,0,0,0,0,11,9,4,0,4,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,11,11,14,5,10,5,0,0,46
SAL11719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10
SAL11721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,5,4,0,31,0,0,0,0,0,0,0,0,6,9,0,0,5,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,5,4,0,31
SAL11722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3
SAL11723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL11724,235,299,174,116,154,104,62,1145,24,16,19,16,18,29,15,142,40,48,23,16,19,24,13,180,49,64,47,45,70,61,21,358,0,0,0,0,0,0,0,9,352,429,265,201,265,209,113,1830,9,54,31,40,66,38,21,252,0,9,7,0,4,0,0,21,3,6,5,9,9,9,0,35,6,9,8,12,5,8,3,48,0,0,5,0,0,0,0,5,18,78,55,54,88,49,31,366,369,507,322,252,350,254,143,2196
SAL11725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11726,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,12,12,5,7,0,0,59,0,0,0,0,0,0,0,3,16,16,19,9,5,3,0,71,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,8,6,6,0,0,37,0,0,0,0,0,0,0,0,9,11,10,7,11,4,0,48,25,28,29,10,13,0,0,119
SAL11727,20,22,9,10,6,4,3,69,30,22,10,8,6,0,0,82,28,27,13,9,6,3,0,77,268,210,120,82,101,30,8,813,0,0,0,0,0,0,0,3,346,278,149,106,118,40,11,1051,3,4,0,0,0,0,0,8,14,12,18,10,11,0,0,65,9,5,5,0,8,0,0,27,114,149,76,66,55,11,4,485,10,0,0,0,0,0,0,8,147,176,94,77,83,15,7,596,491,454,245,183,199,55,16,1641
SAL11728,99,75,35,7,13,5,4,241,3,3,0,0,0,0,0,7,29,15,5,3,0,0,0,51,50,23,13,14,13,0,0,106,0,0,0,0,0,0,0,0,178,113,50,24,24,7,0,397,0,11,6,3,4,3,0,31,4,5,3,3,4,0,0,19,3,8,6,5,0,3,0,20,31,29,16,15,22,6,0,103,0,0,0,0,0,0,0,0,40,45,23,27,31,9,5,181,217,159,78,50,53,17,10,573
SAL11729,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,8,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,11,5,0,7,0,0,19
SAL11730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL11731,144,98,38,26,27,19,5,351,41,41,24,19,23,6,0,162,38,50,34,17,23,6,0,172,827,792,444,330,319,55,19,2776,3,3,0,0,0,0,0,11,1057,984,542,389,387,89,21,3475,4,15,14,7,11,0,0,56,18,22,9,3,8,0,0,75,0,16,17,8,9,3,0,51,233,338,210,130,137,23,4,1076,0,5,9,3,3,0,0,15,255,396,256,162,166,29,9,1273,1320,1386,796,546,555,121,25,4745
SAL11732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL11733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL11734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
SAL11735,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,7,0,0,3,0,0,0,0,7,9,22,11,7,4,0,3,62,0,0,0,0,0,0,0,0,17,27,18,11,6,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,8,15,31,18,8,6,0,3,85
SAL11736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,5,4,0,0,23,0,0,0,0,0,0,0,0,4,5,11,5,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,5,4,0,0,26
SAL11737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,14,0,0,4,0,3,32,0,0,0,0,0,0,0,0,6,11,0,0,9,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,7,15,0,0,6,0,3,43
SAL11738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL11739,34,19,3,5,0,0,0,71,13,12,5,3,5,3,0,42,18,17,11,8,5,3,0,60,350,317,212,134,160,29,3,1212,0,0,0,0,0,0,0,0,412,371,235,158,169,32,3,1383,0,3,0,0,0,0,0,9,3,7,11,4,3,0,0,32,6,4,4,0,0,0,0,16,123,177,126,84,89,9,4,611,8,6,0,0,0,0,0,13,145,196,142,93,96,13,4,687,554,574,377,252,268,48,8,2071
SAL11740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,5
SAL11741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,13
SAL11742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,8,0,6,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,8,4,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,9,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,9,3,11,5,0,10,0,0,27
SAL11743,213,164,83,40,47,24,22,593,34,23,7,0,4,0,0,71,33,9,0,5,3,0,0,49,181,61,22,13,12,7,0,295,0,5,0,0,0,0,0,0,461,260,112,63,66,30,26,1008,4,7,10,8,3,0,7,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,17,23,6,7,13,4,6,67,0,0,3,0,0,0,0,3,21,30,14,12,16,6,10,113,481,293,124,77,80,34,29,1125
SAL11744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11745,615,495,202,154,195,120,71,1856,63,63,27,16,27,9,7,211,54,42,32,9,14,13,0,160,89,85,38,27,29,8,6,280,6,8,3,0,0,0,0,18,821,685,306,210,267,152,84,2523,46,59,41,34,53,36,30,297,16,14,13,7,9,9,5,67,7,17,6,8,5,3,0,46,27,32,13,7,10,0,0,88,5,6,3,4,6,0,0,13,104,126,74,58,73,47,38,514,917,808,376,276,334,197,120,3035
SAL11746,0,3,3,0,8,3,0,21,3,0,5,5,0,3,0,20,0,3,5,6,3,0,0,19,44,60,34,32,45,24,4,248,0,0,0,0,0,0,0,0,44,72,50,42,62,32,15,311,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,4,6,3,6,4,0,3,34,0,0,0,0,0,0,0,0,11,7,9,11,10,7,3,44,58,78,53,50,62,37,17,355
SAL11747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
SAL11748,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,10,6,6,0,0,36,0,0,0,0,0,0,0,0,3,0,15,9,15,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,11,8,15,11,14,0,0,50
SAL11749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,15,6,14,0,5,65,0,0,0,0,0,0,0,0,16,14,15,6,14,0,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,10,16,22,17,13,11,0,5,77
SAL11750,8,14,12,6,11,0,4,54,5,25,27,12,11,11,6,95,17,22,18,8,17,14,10,110,78,116,80,64,77,48,10,470,0,0,0,0,0,0,0,0,114,171,134,91,119,70,31,730,0,0,0,0,0,0,0,7,0,3,4,0,3,0,0,7,0,7,0,0,0,0,0,4,0,10,8,3,8,8,0,37,0,0,0,0,0,0,0,4,0,20,8,12,16,8,0,58,115,194,141,104,133,78,31,791
SAL11751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9
SAL11752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,6,4,0,28,0,0,0,0,0,0,0,0,7,9,0,0,6,4,0,28,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,10,11,15,3,0,8,4,0,40
SAL11753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3
SAL11755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
SAL11756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,14
SAL11757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,4,0,6,0,0,18,0,0,0,0,0,0,0,0,3,3,4,3,7,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,3,7,4,9,13,0,0,31
SAL11760,41,49,32,24,35,20,12,221,36,37,18,13,20,10,11,140,53,39,23,15,12,8,0,147,154,170,100,68,86,39,23,636,0,0,0,4,0,0,0,3,290,301,178,119,156,70,43,1152,0,4,3,5,0,3,0,17,3,3,8,5,15,3,0,44,0,5,0,7,5,0,3,19,37,45,34,29,38,10,3,194,0,0,3,0,0,0,0,4,47,58,53,40,57,19,3,278,331,355,232,160,211,89,50,1433
SAL11761,0,0,0,0,4,0,0,4,3,4,3,0,0,0,0,7,4,0,0,0,0,0,0,5,15,10,10,4,7,0,0,50,0,0,0,0,0,0,0,0,16,16,15,9,13,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0,0,15,0,0,0,0,0,0,0,0,4,7,5,4,0,0,0,16,23,21,18,11,16,0,0,76
SAL11762,385,454,277,203,272,220,127,1940,57,62,27,28,27,13,9,227,56,43,28,17,18,8,0,170,84,82,54,40,63,29,22,368,10,0,0,0,0,0,0,11,595,635,390,290,380,270,163,2717,56,79,71,63,70,63,36,434,11,17,9,13,14,9,0,67,21,13,9,4,6,7,0,62,49,36,16,16,17,9,0,145,4,8,0,0,4,0,0,24,139,146,109,98,112,83,40,727,729,788,496,388,495,351,203,3442
SAL11763,526,757,513,390,513,374,213,3285,264,317,195,157,185,88,32,1233,134,153,102,57,66,20,15,547,500,375,193,108,139,53,25,1399,26,19,3,8,0,0,0,56,1449,1620,1014,715,902,545,285,6525,41,93,90,69,87,72,52,506,50,55,45,23,38,27,16,248,11,24,23,17,12,5,7,94,142,125,55,48,42,21,6,437,16,18,15,3,6,0,0,56,257,322,230,158,188,120,72,1345,1707,1938,1238,869,1089,670,361,7870
SAL11764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,3,0,0,5,0,0,16,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,17
SAL11765,6,4,5,0,0,0,0,13,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,6,7,10,4,3,4,0,0,29,0,0,0,0,0,0,0,0,12,12,8,6,6,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,19,21,17,13,6,12,5,3,68
SAL11766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,7,3,3,0,0,17,0,0,0,0,0,0,0,0,7,5,9,7,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,13,13,10,7,3,0,0,34
SAL11767,176,216,137,115,147,116,62,964,15,8,0,3,12,0,0,34,15,6,5,6,3,3,4,37,27,23,5,4,13,4,3,79,0,0,0,0,0,0,0,0,222,252,145,129,170,121,66,1116,22,36,38,20,23,19,22,175,3,9,7,0,0,0,0,17,8,4,0,0,5,0,0,15,9,9,0,0,0,0,4,35,0,0,0,0,0,0,0,6,41,64,39,20,38,27,26,250,269,320,187,147,210,143,95,1364
SAL11768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,5,24,9,5,10,6,4,0,53,5,3,0,0,0,0,0,8,24,17,12,9,12,4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,4,16,15,16,12,8,0,0,67,0,0,0,0,0,0,0,8,22,23,15,15,8,0,0,87,43,44,26,26,23,4,0,157
SAL11770,11,11,4,8,11,8,0,57,12,17,6,10,5,7,7,53,13,22,8,13,7,12,6,77,42,77,49,31,42,26,14,275,0,3,0,0,0,0,0,3,76,130,72,50,62,48,20,465,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,0,0,3,4,0,13,0,0,0,0,0,0,0,0,4,8,0,0,4,7,7,21,80,137,72,55,64,53,25,483
SAL11771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,3,0,0,23,0,0,0,0,0,0,0,0,3,0,9,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,3,0,0,23
